nnm_id,month_end,nnm_amount
NNM_A047_PER202411,2024-11-30,28320.0
NNM_A048_PER202411,2024-11-30,40320.0
NNM_A049_PER202411,2024-11-30,-31680.0
NNM_A050_PER202411,2024-11-30,-19680.0
NNM_A051_PER202411,2024-11-30,-17280.0
NNM_A052_PER202411,2024-11-30,-5280.0
NNM_A053_PER202411,2024-11-30,6720.0
NNM_A054_PER202411,2024-11-30,18720.0
NNM_A055_PER202411,2024-11-30,30720.0
NNM_A056_PER202411,2024-11-30,-41280.0
NNM_A057_PER202411,2024-11-30,-29280.0
NNM_A058_PER202411,2024-11-30,-17280.0
NNM_A059_PER202411,2024-11-30,-5280.0
NNM_A060_PER202411,2024-11-30,6720.0
NNM_A001_PER202412,2024-12-31,1760.0
NNM_A002_PER202412,2024-12-31,13760.0
NNM_A003_PER202412,2024-12-31,25760.0
NNM_A004_PER202412,2024-12-31,37760.0
NNM_A005_PER202412,2024-12-31,49760.0
NNM_A006_PER202412,2024-12-31,61760.0
NNM_A007_PER202412,2024-12-31,-10240.0
NNM_A008_PER202412,2024-12-31,1760.0
NNM_A009_PER202412,2024-12-31,13760.0
NNM_A010_PER202412,2024-12-31,25760.0
NNM_A011_PER202412,2024-12-31,17760.0
NNM_A012_PER202412,2024-12-31,29760.0
NNM_A013_PER202412,2024-12-31,41760.0
NNM_A014_PER202412,2024-12-31,-30240.0
NNM_A015_PER202412,2024-12-31,-18240.0
NNM_A016_PER202412,2024-12-31,-6240.0
NNM_A017_PER202412,2024-12-31,5760.0
NNM_A018_PER202412,2024-12-31,17760.0
NNM_A019_PER202412,2024-12-31,29760.0
NNM_A020_PER202412,2024-12-31,41760.0
NNM_A021_PER202412,2024-12-31,-30240.0
NNM_A022_PER202412,2024-12-31,-18240.0
NNM_A023_PER202412,2024-12-31,-6240.0
NNM_A024_PER202412,2024-12-31,5760.0
NNM_A025_PER202412,2024-12-31,17760.0
NNM_A026_PER202412,2024-12-31,29760.0
NNM_A027_PER202412,2024-12-31,41760.0
NNM_A028_PER202412,2024-12-31,-30240.0
NNM_A029_PER202412,2024-12-31,-18240.0
NNM_A030_PER202412,2024-12-31,-6240.0
NNM_A031_PER202412,2024-12-31,5760.0
NNM_A032_PER202412,2024-12-31,17760.0
NNM_A033_PER202412,2024-12-31,29760.0
NNM_A034_PER202412,2024-12-31,41760.0
NNM_A035_PER202412,2024-12-31,-30240.0
NNM_A036_PER202412,2024-12-31,-18240.0
NNM_A037_PER202412,2024-12-31,-6240.0
NNM_A038_PER202412,2024-12-31,5760.0
NNM_A039_PER202412,2024-12-31,17760.0
NNM_A040_PER202412,2024-12-31,29760.0
NNM_A041_PER202412,2024-12-31,41760.0
NNM_A042_PER202412,2024-12-31,-30240.0
NNM_A043_PER202412,2024-12-31,-18240.0
NNM_A044_PER202412,2024-12-31,-6240.0
NNM_A045_PER202412,2024-12-31,5760.0
NNM_A046_PER202412,2024-12-31,17760.0
NNM_A047_PER202412,2024-12-31,29760.0
NNM_A048_PER202412,2024-12-31,41760.0
NNM_A049_PER202412,2024-12-31,-30240.0
NNM_A050_PER202412,2024-12-31,-18240.0
NNM_A051_PER202412,2024-12-31,-15840.0
NNM_A052_PER202412,2024-12-31,-3840.0
NNM_A053_PER202412,2024-12-31,8160.0
NNM_A054_PER202412,2024-12-31,20160.0
NNM_A055_PER202412,2024-12-31,32160.0
NNM_A056_PER202412,2024-12-31,-39840.0
NNM_A057_PER202412,2024-12-31,-27840.0
NNM_A058_PER202412,2024-12-31,-15840.0
NNM_A059_PER202412,2024-12-31,-3840.0
NNM_A060_PER202412,2024-12-31,8160.0
NNM_A001_PER202501,2025-01-31,3200.0
NNM_A002_PER202501,2025-01-31,15200.0
NNM_A003_PER202501,2025-01-31,27200.0
NNM_A004_PER202501,2025-01-31,39200.0
NNM_A005_PER202501,2025-01-31,51200.0
NNM_A006_PER202501,2025-01-31,63200.0
NNM_A007_PER202501,2025-01-31,-8800.0
NNM_A008_PER202501,2025-01-31,3200.0
NNM_A009_PER202501,2025-01-31,15200.0
NNM_A010_PER202501,2025-01-31,27200.0
NNM_A011_PER202501,2025-01-31,19200.0
NNM_A012_PER202501,2025-01-31,31200.0
NNM_A013_PER202501,2025-01-31,43200.0
NNM_A014_PER202501,2025-01-31,-28800.0
NNM_A015_PER202501,2025-01-31,-16800.0
NNM_A016_PER202501,2025-01-31,-4800.0
NNM_A017_PER202501,2025-01-31,7200.0
NNM_A018_PER202501,2025-01-31,19200.0
NNM_A019_PER202501,2025-01-31,31200.0
NNM_A020_PER202501,2025-01-31,43200.0
NNM_A021_PER202501,2025-01-31,-28800.0
NNM_A022_PER202501,2025-01-31,-16800.0
NNM_A023_PER202501,2025-01-31,-4800.0
NNM_A024_PER202501,2025-01-31,7200.0
NNM_A025_PER202501,2025-01-31,19200.0
NNM_A026_PER202501,2025-01-31,31200.0
NNM_A027_PER202501,2025-01-31,43200.0
NNM_A028_PER202501,2025-01-31,-28800.0
NNM_A029_PER202501,2025-01-31,-16800.0
NNM_A030_PER202501,2025-01-31,-4800.0
NNM_A031_PER202501,2025-01-31,7200.0
NNM_A032_PER202501,2025-01-31,19200.0
NNM_A033_PER202501,2025-01-31,31200.0
NNM_A034_PER202501,2025-01-31,43200.0
NNM_A035_PER202501,2025-01-31,-28800.0
NNM_A036_PER202501,2025-01-31,-16800.0
NNM_A037_PER202501,2025-01-31,-4800.0
NNM_A038_PER202501,2025-01-31,7200.0
NNM_A039_PER202501,2025-01-31,19200.0
NNM_A040_PER202501,2025-01-31,31200.0
NNM_A041_PER202501,2025-01-31,43200.0
NNM_A042_PER202501,2025-01-31,-28800.0
NNM_A043_PER202501,2025-01-31,-16800.0
NNM_A044_PER202501,2025-01-31,-4800.0
NNM_A045_PER202501,2025-01-31,7200.0
NNM_A046_PER202501,2025-01-31,19200.0
NNM_A047_PER202501,2025-01-31,31200.0
NNM_A048_PER202501,2025-01-31,43200.0
NNM_A049_PER202501,2025-01-31,-28800.0
NNM_A050_PER202501,2025-01-31,-16800.0
NNM_A051_PER202501,2025-01-31,-14400.0
NNM_A052_PER202501,2025-01-31,-2400.0
NNM_A053_PER202501,2025-01-31,9600.0
NNM_A054_PER202501,2025-01-31,21600.0
NNM_A055_PER202501,2025-01-31,33600.0
NNM_A056_PER202501,2025-01-31,-38400.0
NNM_A057_PER202501,2025-01-31,-26400.0
NNM_A058_PER202501,2025-01-31,-14400.0
NNM_A059_PER202501,2025-01-31,-2400.0
NNM_A060_PER202501,2025-01-31,9600.0
NNM_A001_PER202502,2025-02-28,4640.0
NNM_A002_PER202502,2025-02-28,16640.0
NNM_A003_PER202502,2025-02-28,28640.0
NNM_A004_PER202502,2025-02-28,40640.0
NNM_A005_PER202502,2025-02-28,52640.0
NNM_A006_PER202502,2025-02-28,64640.0
NNM_A007_PER202502,2025-02-28,-7360.0
NNM_A008_PER202502,2025-02-28,4640.0
NNM_A009_PER202502,2025-02-28,16640.0
NNM_A010_PER202502,2025-02-28,28640.0
NNM_A011_PER202502,2025-02-28,20640.0
NNM_A012_PER202502,2025-02-28,32640.0
NNM_A013_PER202502,2025-02-28,44640.0
NNM_A014_PER202502,2025-02-28,-27360.0
NNM_A015_PER202502,2025-02-28,-15360.0
NNM_A016_PER202502,2025-02-28,-3360.0
NNM_A017_PER202502,2025-02-28,8640.0
NNM_A018_PER202502,2025-02-28,20640.0
NNM_A019_PER202502,2025-02-28,32640.0
NNM_A020_PER202502,2025-02-28,44640.0
NNM_A021_PER202502,2025-02-28,-27360.0
NNM_A022_PER202502,2025-02-28,-15360.0
NNM_A023_PER202502,2025-02-28,-3360.0
NNM_A024_PER202502,2025-02-28,8640.0
NNM_A025_PER202502,2025-02-28,20640.0
NNM_A026_PER202502,2025-02-28,32640.0
NNM_A027_PER202502,2025-02-28,44640.0
NNM_A028_PER202502,2025-02-28,-27360.0
NNM_A029_PER202502,2025-02-28,-15360.0
NNM_A030_PER202502,2025-02-28,-3360.0
NNM_A031_PER202502,2025-02-28,8640.0
NNM_A032_PER202502,2025-02-28,20640.0
NNM_A033_PER202502,2025-02-28,32640.0
NNM_A034_PER202502,2025-02-28,44640.0
NNM_A035_PER202502,2025-02-28,-27360.0
NNM_A036_PER202502,2025-02-28,-15360.0
NNM_A037_PER202502,2025-02-28,-3360.0
NNM_A038_PER202502,2025-02-28,8640.0
NNM_A039_PER202502,2025-02-28,20640.0
NNM_A040_PER202502,2025-02-28,32640.0
NNM_A041_PER202502,2025-02-28,44640.0
NNM_A042_PER202502,2025-02-28,-27360.0
NNM_A043_PER202502,2025-02-28,-15360.0
NNM_A044_PER202502,2025-02-28,-3360.0
NNM_A045_PER202502,2025-02-28,8640.0
NNM_A046_PER202502,2025-02-28,20640.0
NNM_A047_PER202502,2025-02-28,32640.0
NNM_A048_PER202502,2025-02-28,44640.0
NNM_A049_PER202502,2025-02-28,-27360.0
NNM_A050_PER202502,2025-02-28,-15360.0
NNM_A051_PER202502,2025-02-28,-12960.0
NNM_A052_PER202502,2025-02-28,-960.0
NNM_A053_PER202502,2025-02-28,11040.0
NNM_A054_PER202502,2025-02-28,23040.0
NNM_A055_PER202502,2025-02-28,35040.0
NNM_A056_PER202502,2025-02-28,-36960.0
NNM_A057_PER202502,2025-02-28,-24960.0
NNM_A058_PER202502,2025-02-28,-12960.0
NNM_A059_PER202502,2025-02-28,-960.0
NNM_A060_PER202502,2025-02-28,11040.0
NNM_A001_PER202503,2025-03-31,6080.0
NNM_A002_PER202503,2025-03-31,18080.0
NNM_A003_PER202503,2025-03-31,30080.0
NNM_A004_PER202503,2025-03-31,42080.0
NNM_A005_PER202503,2025-03-31,54080.0
NNM_A006_PER202503,2025-03-31,66080.0
NNM_A007_PER202503,2025-03-31,-5920.0
NNM_A008_PER202503,2025-03-31,6080.0
NNM_A009_PER202503,2025-03-31,18080.0
NNM_A010_PER202503,2025-03-31,30080.0
NNM_A011_PER202503,2025-03-31,22080.0
NNM_A012_PER202503,2025-03-31,34080.0
NNM_A013_PER202503,2025-03-31,46080.0
NNM_A014_PER202503,2025-03-31,-25920.0
NNM_A015_PER202503,2025-03-31,-13920.0
NNM_A016_PER202503,2025-03-31,-1920.0
NNM_A017_PER202503,2025-03-31,10080.0
NNM_A018_PER202503,2025-03-31,22080.0
NNM_A019_PER202503,2025-03-31,34080.0
NNM_A020_PER202503,2025-03-31,46080.0
NNM_A021_PER202503,2025-03-31,-25920.0
NNM_A022_PER202503,2025-03-31,-13920.0
NNM_A023_PER202503,2025-03-31,-1920.0
NNM_A024_PER202503,2025-03-31,10080.0
NNM_A025_PER202503,2025-03-31,22080.0
NNM_A026_PER202503,2025-03-31,34080.0
NNM_A027_PER202503,2025-03-31,46080.0
NNM_A028_PER202503,2025-03-31,-25920.0
NNM_A029_PER202503,2025-03-31,-13920.0
NNM_A030_PER202503,2025-03-31,-1920.0
NNM_A031_PER202503,2025-03-31,10080.0
NNM_A032_PER202503,2025-03-31,22080.0
NNM_A033_PER202503,2025-03-31,34080.0
NNM_A034_PER202503,2025-03-31,46080.0
NNM_A035_PER202503,2025-03-31,-25920.0
NNM_A036_PER202503,2025-03-31,-13920.0
NNM_A037_PER202503,2025-03-31,-1920.0
NNM_A038_PER202503,2025-03-31,10080.0
NNM_A039_PER202503,2025-03-31,22080.0
NNM_A040_PER202503,2025-03-31,34080.0
NNM_A041_PER202503,2025-03-31,46080.0
NNM_A042_PER202503,2025-03-31,-25920.0
NNM_A043_PER202503,2025-03-31,-13920.0
NNM_A044_PER202503,2025-03-31,-1920.0
NNM_A045_PER202503,2025-03-31,10080.0
NNM_A046_PER202503,2025-03-31,22080.0
NNM_A047_PER202503,2025-03-31,34080.0
NNM_A048_PER202503,2025-03-31,46080.0
NNM_A049_PER202503,2025-03-31,-25920.0
NNM_A050_PER202503,2025-03-31,-13920.0
NNM_A051_PER202503,2025-03-31,-11520.0
NNM_A052_PER202503,2025-03-31,480.0
NNM_A053_PER202503,2025-03-31,12480.0
NNM_A054_PER202503,2025-03-31,24480.0
NNM_A055_PER202503,2025-03-31,36480.0
NNM_A056_PER202503,2025-03-31,-35520.0
NNM_A057_PER202503,2025-03-31,-23520.0
NNM_A058_PER202503,2025-03-31,-11520.0
NNM_A059_PER202503,2025-03-31,480.0
NNM_A060_PER202503,2025-03-31,12480.0
NNM_A001_PER202504,2025-04-30,7520.0
NNM_A002_PER202504,2025-04-30,19520.0
NNM_A003_PER202504,2025-04-30,31520.0
NNM_A004_PER202504,2025-04-30,43520.0
NNM_A005_PER202504,2025-04-30,55520.0
NNM_A006_PER202504,2025-04-30,67520.0
NNM_A007_PER202504,2025-04-30,-4480.0
NNM_A008_PER202504,2025-04-30,7520.0
NNM_A009_PER202504,2025-04-30,19520.0
NNM_A010_PER202504,2025-04-30,31520.0
NNM_A011_PER202504,2025-04-30,23520.0
NNM_A012_PER202504,2025-04-30,35520.0
NNM_A013_PER202504,2025-04-30,47520.0
NNM_A014_PER202504,2025-04-30,-24480.0
NNM_A015_PER202504,2025-04-30,-12480.0
NNM_A016_PER202504,2025-04-30,-480.0
NNM_A017_PER202504,2025-04-30,11520.0
NNM_A018_PER202504,2025-04-30,23520.0
NNM_A019_PER202504,2025-04-30,35520.0
NNM_A020_PER202504,2025-04-30,47520.0
NNM_A021_PER202504,2025-04-30,-24480.0
NNM_A022_PER202504,2025-04-30,-12480.0
NNM_A023_PER202504,2025-04-30,-480.0
NNM_A024_PER202504,2025-04-30,11520.0
NNM_A025_PER202504,2025-04-30,23520.0
NNM_A026_PER202504,2025-04-30,35520.0
NNM_A027_PER202504,2025-04-30,47520.0
NNM_A028_PER202504,2025-04-30,-24480.0
NNM_A029_PER202504,2025-04-30,-12480.0
NNM_A030_PER202504,2025-04-30,-480.0
NNM_A031_PER202504,2025-04-30,11520.0
NNM_A032_PER202504,2025-04-30,23520.0
NNM_A033_PER202504,2025-04-30,35520.0
NNM_A034_PER202504,2025-04-30,47520.0
NNM_A035_PER202504,2025-04-30,-24480.0
NNM_A036_PER202504,2025-04-30,-12480.0
NNM_A037_PER202504,2025-04-30,-480.0
NNM_A038_PER202504,2025-04-30,11520.0
NNM_A039_PER202504,2025-04-30,23520.0
NNM_A040_PER202504,2025-04-30,35520.0
NNM_A041_PER202504,2025-04-30,47520.0
NNM_A042_PER202504,2025-04-30,-24480.0
NNM_A043_PER202504,2025-04-30,-12480.0
NNM_A044_PER202504,2025-04-30,-480.0
NNM_A045_PER202504,2025-04-30,11520.0
NNM_A046_PER202504,2025-04-30,23520.0
NNM_A047_PER202504,2025-04-30,35520.0
NNM_A048_PER202504,2025-04-30,47520.0
NNM_A049_PER202504,2025-04-30,-24480.0
NNM_A050_PER202504,2025-04-30,-12480.0
NNM_A051_PER202504,2025-04-30,-10080.0
NNM_A052_PER202504,2025-04-30,1920.0
NNM_A053_PER202504,2025-04-30,13920.0
NNM_A054_PER202504,2025-04-30,25920.0
NNM_A055_PER202504,2025-04-30,37920.0
NNM_A056_PER202504,2025-04-30,-34080.0
NNM_A057_PER202504,2025-04-30,-22080.0
NNM_A058_PER202504,2025-04-30,-10080.0
NNM_A059_PER202504,2025-04-30,1920.0
NNM_A060_PER202504,2025-04-30,13920.0
NNM_A001_PER202505,2025-05-31,8960.0
NNM_A002_PER202505,2025-05-31,20960.0
NNM_A003_PER202505,2025-05-31,32960.0
NNM_A004_PER202505,2025-05-31,44960.0
NNM_A005_PER202505,2025-05-31,56960.0
NNM_A006_PER202505,2025-05-31,68960.0
NNM_A007_PER202505,2025-05-31,-3040.0
NNM_A008_PER202505,2025-05-31,8960.0
NNM_A009_PER202505,2025-05-31,20960.0
NNM_A010_PER202505,2025-05-31,32960.0
NNM_A011_PER202505,2025-05-31,24960.0
NNM_A012_PER202505,2025-05-31,36960.0
NNM_A013_PER202505,2025-05-31,48960.0
NNM_A014_PER202505,2025-05-31,-23040.0
NNM_A015_PER202505,2025-05-31,-11040.0
NNM_A016_PER202505,2025-05-31,960.0
NNM_A017_PER202505,2025-05-31,12960.0
NNM_A018_PER202505,2025-05-31,24960.0
NNM_A019_PER202505,2025-05-31,36960.0
NNM_A020_PER202505,2025-05-31,48960.0
NNM_A021_PER202505,2025-05-31,-23040.0
NNM_A022_PER202505,2025-05-31,-11040.0
NNM_A023_PER202505,2025-05-31,960.0
NNM_A024_PER202505,2025-05-31,12960.0
NNM_A025_PER202505,2025-05-31,24960.0
NNM_A026_PER202505,2025-05-31,36960.0
NNM_A027_PER202505,2025-05-31,48960.0
NNM_A028_PER202505,2025-05-31,-23040.0
NNM_A029_PER202505,2025-05-31,-11040.0
NNM_A030_PER202505,2025-05-31,960.0
NNM_A031_PER202505,2025-05-31,12960.0
NNM_A032_PER202505,2025-05-31,24960.0
NNM_A033_PER202505,2025-05-31,36960.0
