product_revenue_id,month_end,revenue_amount
PR_A009_PER202409_2,2024-09-30,8118.31
PR_A010_PER202409_0,2024-09-30,20847.62
PR_A010_PER202409_1,2024-09-30,12508.57
PR_A010_PER202409_2,2024-09-30,8339.05
PR_A011_PER202409_0,2024-09-30,18135.15
PR_A011_PER202409_1,2024-09-30,10881.09
PR_A011_PER202409_2,2024-09-30,7254.06
PR_A012_PER202409_0,2024-09-30,18602.81
PR_A012_PER202409_1,2024-09-30,11161.69
PR_A012_PER202409_2,2024-09-30,7441.13
PR_A013_PER202409_0,2024-09-30,19070.48
PR_A013_PER202409_1,2024-09-30,11442.29
PR_A013_PER202409_2,2024-09-30,7628.19
PR_A014_PER202409_0,2024-09-30,19538.15
PR_A014_PER202409_1,2024-09-30,11722.89
PR_A014_PER202409_2,2024-09-30,7815.26
PR_A015_PER202409_0,2024-09-30,20005.82
PR_A015_PER202409_1,2024-09-30,12003.49
PR_A015_PER202409_2,2024-09-30,8002.33
PR_A016_PER202409_0,2024-09-30,20473.49
PR_A016_PER202409_1,2024-09-30,12284.09
PR_A016_PER202409_2,2024-09-30,8189.4
PR_A017_PER202409_0,2024-09-30,20941.16
PR_A017_PER202409_1,2024-09-30,12564.69
PR_A017_PER202409_2,2024-09-30,8376.46
PR_A018_PER202409_0,2024-09-30,21408.83
PR_A018_PER202409_1,2024-09-30,12845.3
PR_A018_PER202409_2,2024-09-30,8563.53
PR_A019_PER202409_0,2024-09-30,21876.49
PR_A019_PER202409_1,2024-09-30,13125.9
PR_A019_PER202409_2,2024-09-30,8750.6
PR_A020_PER202409_0,2024-09-30,22344.16
PR_A020_PER202409_1,2024-09-30,13406.5
PR_A020_PER202409_2,2024-09-30,8937.66
PR_A021_PER202409_0,2024-09-30,22811.83
PR_A021_PER202409_1,2024-09-30,13687.1
PR_A021_PER202409_2,2024-09-30,9124.73
PR_A022_PER202409_0,2024-09-30,23279.5
PR_A022_PER202409_1,2024-09-30,13967.7
PR_A022_PER202409_2,2024-09-30,9311.8
PR_A023_PER202409_0,2024-09-30,23747.17
PR_A023_PER202409_1,2024-09-30,14248.3
PR_A023_PER202409_2,2024-09-30,9498.87
PR_A024_PER202409_0,2024-09-30,24214.84
PR_A024_PER202409_1,2024-09-30,14528.9
PR_A024_PER202409_2,2024-09-30,9685.93
PR_A025_PER202409_0,2024-09-30,24682.5
PR_A025_PER202409_1,2024-09-30,14809.5
PR_A025_PER202409_2,2024-09-30,9873.0
PR_A026_PER202409_0,2024-09-30,25150.17
PR_A026_PER202409_1,2024-09-30,15090.1
PR_A026_PER202409_2,2024-09-30,10060.07
PR_A027_PER202409_0,2024-09-30,25617.84
PR_A027_PER202409_1,2024-09-30,15370.71
PR_A027_PER202409_2,2024-09-30,10247.14
PR_A028_PER202409_0,2024-09-30,26085.51
PR_A028_PER202409_1,2024-09-30,15651.31
PR_A028_PER202409_2,2024-09-30,10434.2
PR_A029_PER202409_0,2024-09-30,26553.18
PR_A029_PER202409_1,2024-09-30,15931.91
PR_A029_PER202409_2,2024-09-30,10621.27
PR_A030_PER202409_0,2024-09-30,27020.85
PR_A030_PER202409_1,2024-09-30,16212.51
PR_A030_PER202409_2,2024-09-30,10808.34
PR_A031_PER202409_0,2024-09-30,27488.52
PR_A031_PER202409_1,2024-09-30,16493.11
PR_A031_PER202409_2,2024-09-30,10995.41
PR_A032_PER202409_0,2024-09-30,27956.18
PR_A032_PER202409_1,2024-09-30,16773.71
PR_A032_PER202409_2,2024-09-30,11182.47
PR_A033_PER202409_0,2024-09-30,28423.85
PR_A033_PER202409_1,2024-09-30,17054.31
PR_A033_PER202409_2,2024-09-30,11369.54
PR_A034_PER202409_0,2024-09-30,28891.52
PR_A034_PER202409_1,2024-09-30,17334.91
PR_A034_PER202409_2,2024-09-30,11556.61
PR_A035_PER202409_0,2024-09-30,29359.19
PR_A035_PER202409_1,2024-09-30,17615.51
PR_A035_PER202409_2,2024-09-30,11743.68
PR_A036_PER202409_0,2024-09-30,29826.86
PR_A036_PER202409_1,2024-09-30,17896.12
PR_A036_PER202409_2,2024-09-30,11930.74
PR_A037_PER202409_0,2024-09-30,30294.53
PR_A037_PER202409_1,2024-09-30,18176.72
PR_A037_PER202409_2,2024-09-30,12117.81
PR_A038_PER202409_0,2024-09-30,30762.2
PR_A038_PER202409_1,2024-09-30,18457.32
PR_A038_PER202409_2,2024-09-30,12304.88
PR_A039_PER202409_0,2024-09-30,31229.86
PR_A039_PER202409_1,2024-09-30,18737.92
PR_A039_PER202409_2,2024-09-30,12491.95
PR_A040_PER202409_0,2024-09-30,31697.53
PR_A040_PER202409_1,2024-09-30,19018.52
PR_A040_PER202409_2,2024-09-30,12679.01
PR_A041_PER202409_0,2024-09-30,32165.2
PR_A041_PER202409_1,2024-09-30,19299.12
PR_A041_PER202409_2,2024-09-30,12866.08
PR_A042_PER202409_0,2024-09-30,32632.87
PR_A042_PER202409_1,2024-09-30,19579.72
PR_A042_PER202409_2,2024-09-30,13053.15
PR_A043_PER202409_0,2024-09-30,33100.54
PR_A043_PER202409_1,2024-09-30,19860.32
PR_A043_PER202409_2,2024-09-30,13240.22
PR_A044_PER202409_0,2024-09-30,33568.21
PR_A044_PER202409_1,2024-09-30,20140.92
PR_A044_PER202409_2,2024-09-30,13427.28
PR_A045_PER202409_0,2024-09-30,34035.88
PR_A045_PER202409_1,2024-09-30,20421.53
PR_A045_PER202409_2,2024-09-30,13614.35
PR_A046_PER202409_0,2024-09-30,34503.54
PR_A046_PER202409_1,2024-09-30,20702.13
PR_A046_PER202409_2,2024-09-30,13801.42
PR_A047_PER202409_0,2024-09-30,34971.21
PR_A047_PER202409_1,2024-09-30,20982.73
PR_A047_PER202409_2,2024-09-30,13988.48
PR_A048_PER202409_0,2024-09-30,35438.88
PR_A048_PER202409_1,2024-09-30,21263.33
PR_A048_PER202409_2,2024-09-30,14175.55
PR_A049_PER202409_0,2024-09-30,35906.55
PR_A049_PER202409_1,2024-09-30,21543.93
PR_A049_PER202409_2,2024-09-30,14362.62
PR_A050_PER202409_0,2024-09-30,36374.22
PR_A050_PER202409_1,2024-09-30,21824.53
PR_A050_PER202409_2,2024-09-30,14549.69
PR_A051_PER202409_0,2024-09-30,30210.35
PR_A051_PER202409_1,2024-09-30,18126.21
PR_A051_PER202409_2,2024-09-30,12084.14
PR_A052_PER202409_0,2024-09-30,30593.83
PR_A052_PER202409_1,2024-09-30,18356.3
PR_A052_PER202409_2,2024-09-30,12237.53
PR_A053_PER202409_0,2024-09-30,30977.32
PR_A053_PER202409_1,2024-09-30,18586.39
PR_A053_PER202409_2,2024-09-30,12390.93
PR_A054_PER202409_0,2024-09-30,31360.81
PR_A054_PER202409_1,2024-09-30,18816.49
PR_A054_PER202409_2,2024-09-30,12544.32
PR_A055_PER202409_0,2024-09-30,31744.3
PR_A055_PER202409_1,2024-09-30,19046.58
PR_A055_PER202409_2,2024-09-30,12697.72
PR_A056_PER202409_0,2024-09-30,32127.79
PR_A056_PER202409_1,2024-09-30,19276.67
PR_A056_PER202409_2,2024-09-30,12851.12
PR_A057_PER202409_0,2024-09-30,32511.28
PR_A057_PER202409_1,2024-09-30,19506.77
PR_A057_PER202409_2,2024-09-30,13004.51
PR_A058_PER202409_0,2024-09-30,32894.76
PR_A058_PER202409_1,2024-09-30,19736.86
PR_A058_PER202409_2,2024-09-30,13157.91
PR_A059_PER202409_0,2024-09-30,33278.25
PR_A059_PER202409_1,2024-09-30,19966.95
PR_A059_PER202409_2,2024-09-30,13311.3
PR_A060_PER202409_0,2024-09-30,33661.74
PR_A060_PER202409_1,2024-09-30,20197.04
PR_A060_PER202409_2,2024-09-30,13464.7
PR_A001_PER202410_0,2024-10-31,16414.92
PR_A001_PER202410_1,2024-10-31,9848.95
PR_A001_PER202410_2,2024-10-31,6565.97
PR_A002_PER202410_0,2024-10-31,16985.32
PR_A002_PER202410_1,2024-10-31,10191.19
PR_A002_PER202410_2,2024-10-31,6794.13
PR_A003_PER202410_0,2024-10-31,17555.72
PR_A003_PER202410_1,2024-10-31,10533.43
PR_A003_PER202410_2,2024-10-31,7022.29
PR_A004_PER202410_0,2024-10-31,18126.12
PR_A004_PER202410_1,2024-10-31,10875.67
PR_A004_PER202410_2,2024-10-31,7250.45
PR_A005_PER202410_0,2024-10-31,18696.53
PR_A005_PER202410_1,2024-10-31,11217.92
PR_A005_PER202410_2,2024-10-31,7478.61
PR_A006_PER202410_0,2024-10-31,19266.93
PR_A006_PER202410_1,2024-10-31,11560.16
PR_A006_PER202410_2,2024-10-31,7706.77
PR_A007_PER202410_0,2024-10-31,19837.33
PR_A007_PER202410_1,2024-10-31,11902.4
PR_A007_PER202410_2,2024-10-31,7934.93
PR_A008_PER202410_0,2024-10-31,20407.73
PR_A008_PER202410_1,2024-10-31,12244.64
PR_A008_PER202410_2,2024-10-31,8163.09
PR_A009_PER202410_0,2024-10-31,20978.14
PR_A009_PER202410_1,2024-10-31,12586.88
PR_A009_PER202410_2,2024-10-31,8391.25
PR_A010_PER202410_0,2024-10-31,21548.54
PR_A010_PER202410_1,2024-10-31,12929.12
PR_A010_PER202410_2,2024-10-31,8619.42
PR_A011_PER202410_0,2024-10-31,18744.87
PR_A011_PER202410_1,2024-10-31,11246.92
PR_A011_PER202410_2,2024-10-31,7497.95
PR_A012_PER202410_0,2024-10-31,19228.26
PR_A012_PER202410_1,2024-10-31,11536.96
PR_A012_PER202410_2,2024-10-31,7691.3
PR_A013_PER202410_0,2024-10-31,19711.65
PR_A013_PER202410_1,2024-10-31,11826.99
PR_A013_PER202410_2,2024-10-31,7884.66
PR_A014_PER202410_0,2024-10-31,20195.04
PR_A014_PER202410_1,2024-10-31,12117.03
PR_A014_PER202410_2,2024-10-31,8078.02
PR_A015_PER202410_0,2024-10-31,20678.43
PR_A015_PER202410_1,2024-10-31,12407.06
PR_A015_PER202410_2,2024-10-31,8271.37
PR_A016_PER202410_0,2024-10-31,21161.83
PR_A016_PER202410_1,2024-10-31,12697.1
PR_A016_PER202410_2,2024-10-31,8464.73
PR_A017_PER202410_0,2024-10-31,21645.22
PR_A017_PER202410_1,2024-10-31,12987.13
PR_A017_PER202410_2,2024-10-31,8658.09
PR_A018_PER202410_0,2024-10-31,22128.61
PR_A018_PER202410_1,2024-10-31,13277.17
PR_A018_PER202410_2,2024-10-31,8851.44
PR_A019_PER202410_0,2024-10-31,22612.0
PR_A019_PER202410_1,2024-10-31,13567.2
PR_A019_PER202410_2,2024-10-31,9044.8
PR_A020_PER202410_0,2024-10-31,23095.39
PR_A020_PER202410_1,2024-10-31,13857.24
PR_A020_PER202410_2,2024-10-31,9238.16
PR_A021_PER202410_0,2024-10-31,23578.79
PR_A021_PER202410_1,2024-10-31,14147.27
PR_A021_PER202410_2,2024-10-31,9431.51
PR_A022_PER202410_0,2024-10-31,24062.18
PR_A022_PER202410_1,2024-10-31,14437.31
PR_A022_PER202410_2,2024-10-31,9624.87
PR_A023_PER202410_0,2024-10-31,24545.57
PR_A023_PER202410_1,2024-10-31,14727.34
PR_A023_PER202410_2,2024-10-31,9818.23
PR_A024_PER202410_0,2024-10-31,25028.96
PR_A024_PER202410_1,2024-10-31,15017.38
PR_A024_PER202410_2,2024-10-31,10011.58
PR_A025_PER202410_0,2024-10-31,25512.35
PR_A025_PER202410_1,2024-10-31,15307.41
PR_A025_PER202410_2,2024-10-31,10204.94
PR_A026_PER202410_0,2024-10-31,25995.75
PR_A026_PER202410_1,2024-10-31,15597.45
PR_A026_PER202410_2,2024-10-31,10398.3
PR_A027_PER202410_0,2024-10-31,26479.14
PR_A027_PER202410_1,2024-10-31,15887.48
PR_A027_PER202410_2,2024-10-31,10591.66
PR_A028_PER202410_0,2024-10-31,26962.53
PR_A028_PER202410_1,2024-10-31,16177.52
PR_A028_PER202410_2,2024-10-31,10785.01
PR_A029_PER202410_0,2024-10-31,27445.92
PR_A029_PER202410_1,2024-10-31,16467.55
PR_A029_PER202410_2,2024-10-31,10978.37
PR_A030_PER202410_0,2024-10-31,27929.31
PR_A030_PER202410_1,2024-10-31,16757.59
PR_A030_PER202410_2,2024-10-31,11171.73
PR_A031_PER202410_0,2024-10-31,28412.71
PR_A031_PER202410_1,2024-10-31,17047.62
PR_A031_PER202410_2,2024-10-31,11365.08
PR_A032_PER202410_0,2024-10-31,28896.1
PR_A032_PER202410_1,2024-10-31,17337.66
PR_A032_PER202410_2,2024-10-31,11558.44
PR_A033_PER202410_0,2024-10-31,29379.49
PR_A033_PER202410_1,2024-10-31,17627.69
PR_A033_PER202410_2,2024-10-31,11751.8
PR_A034_PER202410_0,2024-10-31,29862.88
PR_A034_PER202410_1,2024-10-31,17917.73
PR_A034_PER202410_2,2024-10-31,11945.15
PR_A035_PER202410_0,2024-10-31,30346.27
PR_A035_PER202410_1,2024-10-31,18207.76
PR_A035_PER202410_2,2024-10-31,12138.51
PR_A036_PER202410_0,2024-10-31,30829.67
PR_A036_PER202410_1,2024-10-31,18497.8
PR_A036_PER202410_2,2024-10-31,12331.87
PR_A037_PER202410_0,2024-10-31,31313.06
PR_A037_PER202410_1,2024-10-31,18787.83
PR_A037_PER202410_2,2024-10-31,12525.22
PR_A038_PER202410_0,2024-10-31,31796.45
PR_A038_PER202410_1,2024-10-31,19077.87
PR_A038_PER202410_2,2024-10-31,12718.58
PR_A039_PER202410_0,2024-10-31,32279.84
PR_A039_PER202410_1,2024-10-31,19367.9
PR_A039_PER202410_2,2024-10-31,12911.94
PR_A040_PER202410_0,2024-10-31,32763.23
PR_A040_PER202410_1,2024-10-31,19657.94
PR_A040_PER202410_2,2024-10-31,13105.29
PR_A041_PER202410_0,2024-10-31,33246.63
PR_A041_PER202410_1,2024-10-31,19947.98
PR_A041_PER202410_2,2024-10-31,13298.65
PR_A042_PER202410_0,2024-10-31,33730.02
PR_A042_PER202410_1,2024-10-31,20238.01
PR_A042_PER202410_2,2024-10-31,13492.01
PR_A043_PER202410_0,2024-10-31,34213.41
PR_A043_PER202410_1,2024-10-31,20528.05
PR_A043_PER202410_2,2024-10-31,13685.36
PR_A044_PER202410_0,2024-10-31,34696.8
PR_A044_PER202410_1,2024-10-31,20818.08
PR_A044_PER202410_2,2024-10-31,13878.72
PR_A045_PER202410_0,2024-10-31,35180.19
PR_A045_PER202410_1,2024-10-31,21108.12
PR_A045_PER202410_2,2024-10-31,14072.08
PR_A046_PER202410_0,2024-10-31,35663.59
PR_A046_PER202410_1,2024-10-31,21398.15
PR_A046_PER202410_2,2024-10-31,14265.43
PR_A047_PER202410_0,2024-10-31,36146.98
PR_A047_PER202410_1,2024-10-31,21688.19
PR_A047_PER202410_2,2024-10-31,14458.79
PR_A048_PER202410_0,2024-10-31,36630.37
PR_A048_PER202410_1,2024-10-31,21978.22
PR_A048_PER202410_2,2024-10-31,14652.15
PR_A049_PER202410_0,2024-10-31,37113.76
PR_A049_PER202410_1,2024-10-31,22268.26
PR_A049_PER202410_2,2024-10-31,14845.5
PR_A050_PER202410_0,2024-10-31,37597.15
PR_A050_PER202410_1,2024-10-31,22558.29
PR_A050_PER202410_2,2024-10-31,15038.86
PR_A051_PER202410_0,2024-10-31,31226.05
PR_A051_PER202410_1,2024-10-31,18735.63
PR_A051_PER202410_2,2024-10-31,12490.42
PR_A052_PER202410_0,2024-10-31,31622.43
PR_A052_PER202410_1,2024-10-31,18973.46
PR_A052_PER202410_2,2024-10-31,12648.97
PR_A053_PER202410_0,2024-10-31,32018.81
PR_A053_PER202410_1,2024-10-31,19211.29
PR_A053_PER202410_2,2024-10-31,12807.52
PR_A054_PER202410_0,2024-10-31,32415.19
PR_A054_PER202410_1,2024-10-31,19449.11
PR_A054_PER202410_2,2024-10-31,12966.08
PR_A055_PER202410_0,2024-10-31,32811.57
PR_A055_PER202410_1,2024-10-31,19686.94
PR_A055_PER202410_2,2024-10-31,13124.63
PR_A056_PER202410_0,2024-10-31,33207.95
PR_A056_PER202410_1,2024-10-31,19924.77
PR_A056_PER202410_2,2024-10-31,13283.18
PR_A057_PER202410_0,2024-10-31,33604.34
PR_A057_PER202410_1,2024-10-31,20162.6
PR_A057_PER202410_2,2024-10-31,13441.73
PR_A058_PER202410_0,2024-10-31,34000.72
PR_A058_PER202410_1,2024-10-31,20400.43
PR_A058_PER202410_2,2024-10-31,13600.29
PR_A059_PER202410_0,2024-10-31,34397.1
PR_A059_PER202410_1,2024-10-31,20638.26
PR_A059_PER202410_2,2024-10-31,13758.84
PR_A060_PER202410_0,2024-10-31,34793.48
PR_A060_PER202410_1,2024-10-31,20876.09
PR_A060_PER202410_2,2024-10-31,13917.39
PR_A001_PER202411_0,2024-11-30,16824.02
PR_A001_PER202411_1,2024-11-30,10094.41
PR_A001_PER202411_2,2024-11-30,6729.61
PR_A002_PER202411_0,2024-11-30,17408.64
PR_A002_PER202411_1,2024-11-30,10445.18
PR_A002_PER202411_2,2024-11-30,6963.46
PR_A003_PER202411_0,2024-11-30,17993.26
PR_A003_PER202411_1,2024-11-30,10795.96
PR_A003_PER202411_2,2024-11-30,7197.3
PR_A004_PER202411_0,2024-11-30,18577.88
PR_A004_PER202411_1,2024-11-30,11146.73
PR_A004_PER202411_2,2024-11-30,7431.15
PR_A005_PER202411_0,2024-11-30,19162.5
PR_A005_PER202411_1,2024-11-30,11497.5
PR_A005_PER202411_2,2024-11-30,7665.0
PR_A006_PER202411_0,2024-11-30,19747.11
PR_A006_PER202411_1,2024-11-30,11848.27
PR_A006_PER202411_2,2024-11-30,7898.85
