notification_id,notification_type,title,message,severity,status,created_at,due_date
NOTIF_A040,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A041,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A042,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A043,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A044,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A045,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A046,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A047,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A048,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A049,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A050,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A051,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A052,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A053,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A054,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A055,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A056,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
NOTIF_A057,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A058,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A059,RECOMMENDATION,Attention advisor action,Review the latest recommendation and evidence.,ATTENTION,UNREAD,2026-07-01,2026-07-08
NOTIF_A060,RECOMMENDATION,Info advisor action,Review the latest recommendation and evidence.,INFO,UNREAD,2026-07-01,2026-07-08
