embedding_id,entity_type,entity_id,model_name,model_version,dimensions,vector_preview,generated_at
EMB_A045,ADVISOR,A045,deterministic-feature-projection,v1.0,8,"[0.9255, 0.947, 0.5442, 0.0994, 0.035, 0.412, 0.8726, 0.9795]",2026-07-01
EMB_A046,ADVISOR,A046,deterministic-feature-projection,v1.0,8,"[0.9509, 0.1103, 0.386, 0.9883, 0.192, 0.278, 1.0, 0.2899]",2026-07-01
EMB_A047,ADVISOR,A047,deterministic-feature-projection,v1.0,8,"[0.5618, 0.3774, 0.6816, 0.2622, 0.7903, 0.1616, 0.8813, 0.0817]",2026-07-01
EMB_A048,ADVISOR,A048,deterministic-feature-projection,v1.0,8,"[0.1159, 0.9918, 0.2545, 0.3225, 0.9727, 0.0722, 0.5749, 0.8318]",2026-07-01
EMB_A049,ADVISOR,A049,deterministic-feature-projection,v1.0,8,"[0.0231, 0.2133, 0.8045, 0.9698, 0.4779, 0.0169, 0.2317, 0.8218]",2026-07-01
EMB_A050,ADVISOR,A050,deterministic-feature-projection,v1.0,8,"[0.3688, 0.2468, 0.1426, 0.0634, 0.0147, 0.0001, 0.0205, 0.0745]",2026-07-01
EMB_A051,ADVISOR,A051,deterministic-feature-projection,v1.0,8,"[0.8351, 0.9974, 0.9032, 0.6011, 0.2468, 0.0231, 0.0454, 0.3021]",2026-07-01
EMB_A052,ADVISOR,A052,deterministic-feature-projection,v1.0,8,"[0.9933, 0.3392, 0.0591, 0.8045, 0.8416, 0.0841, 0.294, 0.9831]",2026-07-01
EMB_A053,ADVISOR,A053,deterministic-feature-projection,v1.0,8,"[0.698, 0.1364, 0.9698, 0.0008, 0.947, 0.1782, 0.644, 0.5574]",2026-07-01
EMB_A054,ADVISOR,A054,deterministic-feature-projection,v1.0,8,"[0.2206, 0.9634, 0.0108, 0.848, 0.412, 0.298, 0.9231, 0.0002]",2026-07-01
EMB_A055,ADVISOR,A055,deterministic-feature-projection,v1.0,8,"[0.0001, 0.4779, 0.9989, 0.5442, 0.0031, 0.4338, 0.994, 0.5881]",2026-07-01
EMB_A056,ADVISOR,A056,deterministic-feature-projection,v1.0,8,"[0.2392, 0.055, 0.0014, 0.0942, 0.3061, 0.5749, 0.8218, 0.9741]",2026-07-01
EMB_A057,ADVISOR,A057,deterministic-feature-projection,v1.0,8,"[0.7181, 0.8925, 0.9883, 0.9863, 0.8869, 0.7101, 0.4911, 0.274]",2026-07-01
EMB_A058,ADVISOR,A058,deterministic-feature-projection,v1.0,8,"[0.9964, 0.6183, 0.0318, 0.2701, 0.9134, 0.8285, 0.1649, 0.0916]",2026-07-01
EMB_A059,ADVISOR,A059,deterministic-feature-projection,v1.0,8,"[0.8184, 0.009, 0.9388, 0.3143, 0.3476, 0.9207, 0.0036, 0.8449]",2026-07-01
EMB_A060,ADVISOR,A060,deterministic-feature-projection,v1.0,8,"[0.3476, 0.7903, 0.0994, 0.9727, 0.0001, 0.9795, 0.0866, 0.808]",2026-07-01
EMB_HH_H0001,HOUSEHOLD,H0001,deterministic-feature-projection,v1.1,8,"[0.0699, 0.9387, 0.4825, 0.0792, 0.9469, 0.4649, 0.0889, 0.9545]",2026-07-01
EMB_HH_H0002,HOUSEHOLD,H0002,deterministic-feature-projection,v1.1,8,"[0.0530, 0.0994, 0.5879, 0.9794, 0.8418, 0.3270, 0.0031, 0.2277]",2026-07-01
EMB_HH_H0003,HOUSEHOLD,H0003,deterministic-feature-projection,v1.1,8,"[0.4471, 0.3947, 0.3435, 0.2941, 0.2470, 0.2028, 0.1619, 0.1248]",2026-07-01
EMB_HH_H0004,HOUSEHOLD,H0004,deterministic-feature-projection,v1.1,8,"[0.8898, 0.9883, 0.7219, 0.2897, 0.0147, 0.1023, 0.4871, 0.8815]",2026-07-01
EMB_HH_H0005,HOUSEHOLD,H0005,deterministic-feature-projection,v1.1,8,"[0.9741, 0.1989, 0.2171, 0.9808, 0.4776, 0.0334, 0.8186, 0.7642]",2026-07-01
EMB_HH_H0006,HOUSEHOLD,H0006,deterministic-feature-projection,v1.1,8,"[0.6226, 0.2623, 0.8383, 0.0818, 0.9726, 0.0018, 0.9934, 0.0416]",2026-07-01
EMB_HH_H0007,HOUSEHOLD,H0007,deterministic-feature-projection,v1.1,8,"[0.1583, 0.9989, 0.1132, 0.5660, 0.7905, 0.0098, 0.9253, 0.3692]",2026-07-01
EMB_HH_H0008,HOUSEHOLD,H0008,deterministic-feature-projection,v1.1,8,"[0.0082, 0.3224, 0.9277, 0.8320, 0.1922, 0.0569, 0.6479, 0.9965]",2026-07-01
EMB_HH_H0009,HOUSEHOLD,H0009,deterministic-feature-projection,v1.1,8,"[0.3102, 0.1489, 0.0400, 0.0000, 0.0349, 0.1393, 0.2977, 0.4863]",2026-07-01
EMB_HH_H0010,HOUSEHOLD,H0010,deterministic-feature-projection,v1.1,8,"[0.7867, 0.9698, 0.9830, 0.8216, 0.5439, 0.2504, 0.0471, 0.0075]",2026-07-01
EMB_HH_H0011,HOUSEHOLD,H0011,deterministic-feature-projection,v1.1,8,"[0.9996, 0.4601, 0.0036, 0.5795, 0.9901, 0.3814, 0.0194, 0.6570]",2026-07-01
EMB_HH_H0012,HOUSEHOLD,H0012,deterministic-feature-projection,v1.1,8,"[0.7531, 0.0634, 0.9999, 0.0744, 0.7341, 0.5218, 0.2283, 0.9468]",2026-07-01
EMB_HH_H0013,HOUSEHOLD,H0013,deterministic-feature-projection,v1.1,8,"[0.2739, 0.9033, 0.0067, 0.9768, 0.1427, 0.6605, 0.5709, 0.2130]",2026-07-01
EMB_HH_H0014,HOUSEHOLD,H0014,deterministic-feature-projection,v1.1,8,"[0.0026, 0.6010, 0.9769, 0.3022, 0.0632, 0.7864, 0.8786, 0.1367]",2026-07-01
EMB_HH_H0015,HOUSEHOLD,H0015,deterministic-feature-projection,v1.1,8,"[0.1885, 0.0127, 0.0490, 0.2817, 0.6095, 0.8895, 1.0000, 0.8927]",2026-07-01
EMB_HH_H0016,HOUSEHOLD,H0016,deterministic-feature-projection,v1.1,8,"[0.6609, 0.8046, 0.9160, 0.9831, 0.9989, 0.9616, 0.8753, 0.7490]",2026-07-01
EMB_HH_H0017,HOUSEHOLD,H0017,deterministic-feature-projection,v1.1,8,"[0.9853, 0.7338, 0.1273, 0.0867, 0.6736, 0.9969, 0.5658, 0.0348]",2026-07-01
EMB_HH_H0018,HOUSEHOLD,H0018,deterministic-feature-projection,v1.1,8,"[0.8635, 0.0008, 0.8219, 0.5572, 0.0996, 0.9926, 0.2240, 0.3864]",2026-07-01
EMB_HH_H0019,HOUSEHOLD,H0019,deterministic-feature-projection,v1.1,8,"[0.4076, 0.6817, 0.2353, 0.8385, 0.0993, 0.9491, 0.0180, 0.9983]",2026-07-01
EMB_HH_H0020,HOUSEHOLD,H0020,deterministic-feature-projection,v1.1,8,"[0.0366, 0.8480, 0.7022, 0.0002, 0.6731, 0.8698, 0.0493, 0.4686]",2026-07-01
EMB_HH_H0021,HOUSEHOLD,H0021,deterministic-feature-projection,v1.1,8,"[0.0917, 0.0287, 0.3644, 0.8148, 0.9989, 0.7610, 0.3024, 0.0109]",2026-07-01
EMB_HH_H0022,HOUSEHOLD,H0022,deterministic-feature-projection,v1.1,8,"[0.5222, 0.5443, 0.5663, 0.5882, 0.6100, 0.6315, 0.6527, 0.6737]",2026-07-01
EMB_HH_H0023,HOUSEHOLD,H0023,deterministic-feature-projection,v1.1,8,"[0.9323, 0.9344, 0.5043, 0.0699, 0.0635, 0.4915, 0.9279, 0.9386]",2026-07-01
EMB_HH_H0024,HOUSEHOLD,H0024,deterministic-feature-projection,v1.1,8,"[0.9450, 0.0941, 0.4252, 0.9741, 0.1424, 0.3521, 0.9925, 0.1987]",2026-07-01
EMB_HH_H0025,HOUSEHOLD,H0025,deterministic-feature-projection,v1.1,8,"[0.5485, 0.4034, 0.6438, 0.3104, 0.7336, 0.2245, 0.8147, 0.1491]",2026-07-01
EMB_HH_H0026,HOUSEHOLD,H0026,deterministic-feature-projection,v1.1,8,"[0.1075, 0.9863, 0.2901, 0.2738, 0.9902, 0.1189, 0.4820, 0.9034]",2026-07-01
EMB_HH_H0027,HOUSEHOLD,H0027,deterministic-feature-projection,v1.1,8,"[0.0273, 0.1919, 0.7719, 0.9853, 0.5444, 0.0437, 0.1581, 0.7335]",2026-07-01
EMB_HH_H0028,HOUSEHOLD,H0028,deterministic-feature-projection,v1.1,8,"[0.3817, 0.2701, 0.1716, 0.0917, 0.0350, 0.0047, 0.0026, 0.0286]",2026-07-01
EMB_HH_H0029,HOUSEHOLD,H0029,deterministic-feature-projection,v1.1,8,"[0.8449, 0.9994, 0.8783, 0.5484, 0.1918, 0.0053, 0.0918, 0.4037]",2026-07-01
EMB_HH_H0030,HOUSEHOLD,H0030,deterministic-feature-projection,v1.1,8,"[0.9910, 0.3142, 0.0793, 0.8450, 0.7901, 0.0452, 0.3820, 0.9994]",2026-07-01
EMB_HH_H0031,HOUSEHOLD,H0031,deterministic-feature-projection,v1.1,8,"[0.6857, 0.1552, 0.9546, 0.0006, 0.9728, 0.1214, 0.7303, 0.4510]",2026-07-01
EMB_HH_H0032,HOUSEHOLD,H0032,deterministic-feature-projection,v1.1,8,"[0.2097, 0.9728, 0.0206, 0.8079, 0.4781, 0.2277, 0.9652, 0.0148]",2026-07-01
EMB_HH_H0033,HOUSEHOLD,H0033,deterministic-feature-projection,v1.1,8,"[0.0006, 0.4513, 0.9947, 0.5969, 0.0148, 0.3558, 0.9711, 0.6902]",2026-07-01
EMB_HH_H0034,HOUSEHOLD,H0034,deterministic-feature-projection,v1.1,8,"[0.2507, 0.0678, 0.0000, 0.0654, 0.2466, 0.4953, 0.7452, 0.9298]",2026-07-01
EMB_HH_H0035,HOUSEHOLD,H0035,deterministic-feature-projection,v1.1,8,"[0.7300, 0.9084, 0.9953, 0.9712, 0.8414, 0.6352, 0.3986, 0.1847]",2026-07-01
EMB_HH_H0036,HOUSEHOLD,H0036,deterministic-feature-projection,v1.1,8,"[0.9978, 0.5923, 0.0193, 0.3186, 0.9471, 0.7643, 0.1019, 0.1619]",2026-07-01
EMB_HH_H0037,HOUSEHOLD,H0037,deterministic-feature-projection,v1.1,8,"[0.8080, 0.0148, 0.9565, 0.2660, 0.4122, 0.8724, 0.0011, 0.9136]",2026-07-01
EMB_HH_H0038,HOUSEHOLD,H0038,deterministic-feature-projection,v1.1,8,"[0.3350, 0.8116, 0.0768, 0.9874, 0.0031, 0.9508, 0.1459, 0.7177]",2026-07-01
EMB_HH_H0039,HOUSEHOLD,H0039,deterministic-feature-projection,v1.1,8,"[0.0137, 0.7259, 0.8814, 0.0969, 0.3059, 0.9933, 0.4650, 0.0230]",2026-07-01
EMB_HH_H0040,HOUSEHOLD,H0040,deterministic-feature-projection,v1.1,8,"[0.1395, 0.0004, 0.1681, 0.5396, 0.8868, 0.9965, 0.8013, 0.4211]",2026-07-01
EMB_HH_H0041,HOUSEHOLD,H0041,deterministic-feature-projection,v1.1,8,"[0.5968, 0.6899, 0.7758, 0.8513, 0.9136, 0.9601, 0.9893, 1.0000]",2026-07-01
EMB_HH_H0042,HOUSEHOLD,H0042,deterministic-feature-projection,v1.1,8,"[0.9651, 0.8416, 0.2858, 0.0011, 0.3478, 0.8871, 0.9365, 0.4334]",2026-07-01
EMB_HH_H0043,HOUSEHOLD,H0043,deterministic-feature-projection,v1.1,8,"[0.9058, 0.0258, 0.6483, 0.8008, 0.0001, 0.7833, 0.6688, 0.0194]",2026-07-01
EMB_HH_H0044,HOUSEHOLD,H0044,deterministic-feature-projection,v1.1,8,"[0.4734, 0.5531, 0.4205, 0.6056, 0.3686, 0.6569, 0.3181, 0.7064]",2026-07-01
EMB_HH_H0045,HOUSEHOLD,H0045,deterministic-feature-projection,v1.1,8,"[0.0655, 0.9300, 0.5090, 0.0611, 0.9253, 0.5180, 0.0569, 0.9205]",2026-07-01
EMB_HH_H0046,HOUSEHOLD,H0046,deterministic-feature-projection,v1.1,8,"[0.0571, 0.0890, 0.5616, 0.9682, 0.8727, 0.3777, 0.0138, 0.1712]",2026-07-01
EMB_HH_H0047,HOUSEHOLD,H0047,deterministic-feature-projection,v1.1,8,"[0.4559, 0.4121, 0.3690, 0.3269, 0.2861, 0.2471, 0.2100, 0.1752]",2026-07-01
EMB_HH_H0048,HOUSEHOLD,H0048,deterministic-feature-projection,v1.1,8,"[0.8952, 0.9842, 0.6978, 0.2582, 0.0059, 0.1366, 0.5490, 0.9233]",2026-07-01
EMB_HH_H0049,HOUSEHOLD,H0049,deterministic-feature-projection,v1.1,8,"[0.9712, 0.1850, 0.2394, 0.9893, 0.4336, 0.0551, 0.8638, 0.7016]",2026-07-01
EMB_HH_H0050,HOUSEHOLD,H0050,deterministic-feature-projection,v1.1,8,"[0.6140, 0.2780, 0.8183, 0.1022, 0.9564, 0.0091, 0.9996, 0.0180]",2026-07-01
EMB_HH_H0051,HOUSEHOLD,H0051,deterministic-feature-projection,v1.1,8,"[0.1519, 0.9998, 0.1305, 0.5307, 0.8253, 0.0021, 0.8895, 0.4386]",2026-07-01
EMB_HH_H0052,HOUSEHOLD,H0052,deterministic-feature-projection,v1.1,8,"[0.0099, 0.3060, 0.9133, 0.8576, 0.2282, 0.0348, 0.5877, 0.9999]",2026-07-01
EMB_HH_H0053,HOUSEHOLD,H0053,deterministic-feature-projection,v1.1,8,"[0.3185, 0.1617, 0.0511, 0.0018, 0.0205, 0.1046, 0.2427, 0.4159]",2026-07-01
EMB_HH_H0054,HOUSEHOLD,H0054,deterministic-feature-projection,v1.1,8,"[0.7939, 0.9756, 0.9755, 0.7937, 0.4997, 0.2059, 0.0244, 0.0246]",2026-07-01
EMB_HH_H0055,HOUSEHOLD,H0055,deterministic-feature-projection,v1.1,8,"[0.9992, 0.4425, 0.0075, 0.6142, 0.9794, 0.3305, 0.0401, 0.7224]",2026-07-01
EMB_HH_H0056,HOUSEHOLD,H0056,deterministic-feature-projection,v1.1,8,"[0.7455, 0.0723, 0.9998, 0.0569, 0.7722, 0.4687, 0.2822, 0.9107]",2026-07-01
EMB_HH_H0057,HOUSEHOLD,H0057,deterministic-feature-projection,v1.1,8,"[0.2661, 0.9135, 0.0030, 0.9650, 0.1751, 0.6094, 0.6315, 0.1581]",2026-07-01
EMB_HH_H0058,HOUSEHOLD,H0058,deterministic-feature-projection,v1.1,8,"[0.0018, 0.5836, 0.9842, 0.3352, 0.0434, 0.7414, 0.9161, 0.1888]",2026-07-01
EMB_HH_H0059,HOUSEHOLD,H0059,deterministic-feature-projection,v1.1,8,"[0.1955, 0.0170, 0.0382, 0.2505, 0.5659, 0.8541, 0.9958, 0.9325]",2026-07-01
EMB_HH_H0060,HOUSEHOLD,H0060,deterministic-feature-projection,v1.1,8,"[0.6692, 0.8185, 0.9301, 0.9910, 0.9940, 0.9386, 0.8315, 0.6853]",2026-07-01
EMB_AC_AC00001,ACCOUNT,AC00001,deterministic-feature-projection,v1.1,8,"[0.9999, 0.4778, 0.0011, 0.5444, 0.9969, 0.4335, 0.0060, 0.5884]",2026-07-01
EMB_AC_AC00002,ACCOUNT,AC00002,deterministic-feature-projection,v1.1,8,"[0.7607, 0.0550, 0.9986, 0.0941, 0.6941, 0.5747, 0.1785, 0.9740]",2026-07-01
EMB_AC_AC00003,ACCOUNT,AC00003,deterministic-feature-projection,v1.1,8,"[0.2819, 0.8925, 0.0117, 0.9863, 0.1132, 0.7098, 0.5092, 0.2737]",2026-07-01
EMB_AC_AC00004,ACCOUNT,AC00004,deterministic-feature-projection,v1.1,8,"[0.0036, 0.6182, 0.9683, 0.2702, 0.0865, 0.8283, 0.8354, 0.0918]",2026-07-01
EMB_AC_AC00005,ACCOUNT,AC00005,deterministic-feature-projection,v1.1,8,"[0.1817, 0.0090, 0.0611, 0.3141, 0.6522, 0.9206, 0.9965, 0.8451]",2026-07-01
EMB_AC_AC00006,ACCOUNT,AC00006,deterministic-feature-projection,v1.1,8,"[0.6524, 0.7904, 0.9007, 0.9728, 0.9999, 0.9794, 0.9132, 0.8077]",2026-07-01
EMB_AC_AC00007,ACCOUNT,AC00007,deterministic-feature-projection,v1.1,8,"[0.9831, 0.7493, 0.1456, 0.0678, 0.6314, 1.0000, 0.6266, 0.0653]",2026-07-01
EMB_AC_AC00008,ACCOUNT,AC00008,deterministic-feature-projection,v1.1,8,"[0.8696, 0.0021, 0.8011, 0.5922, 0.0747, 0.9808, 0.2776, 0.3188]",2026-07-01
EMB_AC_AC00009,ACCOUNT,AC00009,deterministic-feature-projection,v1.1,8,"[0.4163, 0.6651, 0.2582, 0.8116, 0.1273, 0.9233, 0.0381, 0.9874]",2026-07-01
EMB_AC_AC00010,ACCOUNT,AC00010,deterministic-feature-projection,v1.1,8,"[0.0400, 0.8605, 0.6776, 0.0004, 0.7139, 0.8320, 0.0260, 0.5394]",2026-07-01
EMB_AC_AC00011,ACCOUNT,AC00011,deterministic-feature-projection,v1.1,8,"[0.0866, 0.0349, 0.3901, 0.8415, 0.9941, 0.7144, 0.2471, 0.0011]",2026-07-01
EMB_AC_AC00012,ACCOUNT,AC00012,deterministic-feature-projection,v1.1,8,"[0.5133, 0.5266, 0.5399, 0.5532, 0.5664, 0.5796, 0.5927, 0.6058]",2026-07-01
EMB_AC_AC00013,ACCOUNT,AC00013,deterministic-feature-projection,v1.1,8,"[0.9278, 0.9429, 0.5308, 0.0890, 0.0436, 0.4385, 0.8927, 0.9681]",2026-07-01
EMB_AC_AC00014,ACCOUNT,AC00014,deterministic-feature-projection,v1.1,8,"[0.9489, 0.1047, 0.3991, 0.9841, 0.1747, 0.3023, 0.9994, 0.2580]",2026-07-01
EMB_AC_AC00015,ACCOUNT,AC00015,deterministic-feature-projection,v1.1,8,"[0.5573, 0.3861, 0.6690, 0.2781, 0.7718, 0.1819, 0.8603, 0.1023]",2026-07-01
EMB_AC_AC00016,ACCOUNT,AC00016,deterministic-feature-projection,v1.1,8,"[0.1130, 0.9901, 0.2663, 0.3059, 0.9795, 0.0867, 0.5439, 0.8577]",2026-07-01
EMB_AC_AC00017,ACCOUNT,AC00017,deterministic-feature-projection,v1.1,8,"[0.0245, 0.2060, 0.7938, 0.9756, 0.5002, 0.0246, 0.2058, 0.7936]",2026-07-01
EMB_AC_AC00018,ACCOUNT,AC00018,deterministic-feature-projection,v1.1,8,"[0.3731, 0.2546, 0.1521, 0.0723, 0.0206, 0.0002, 0.0126, 0.0569]",2026-07-01
EMB_AC_AC00019,ACCOUNT,AC00019,deterministic-feature-projection,v1.1,8,"[0.8384, 0.9982, 0.8951, 0.5835, 0.2278, 0.0157, 0.0593, 0.3354]",2026-07-01
EMB_AC_AC00020,ACCOUNT,AC00020,deterministic-feature-projection,v1.1,8,"[0.9926, 0.3307, 0.0656, 0.8185, 0.8250, 0.0698, 0.3229, 0.9911]",2026-07-01
EMB_AC_AC00021,ACCOUNT,AC00021,deterministic-feature-projection,v1.1,8,"[0.6938, 0.1426, 0.9650, 0.0001, 0.9566, 0.1582, 0.6736, 0.5217]",2026-07-01
EMB_AC_AC00022,ACCOUNT,AC00022,deterministic-feature-projection,v1.1,8,"[0.2169, 0.9667, 0.0137, 0.8350, 0.4341, 0.2737, 0.9390, 0.0026]",2026-07-01
EMB_AC_AC00023,ACCOUNT,AC00023,deterministic-feature-projection,v1.1,8,"[0.0002, 0.4689, 0.9978, 0.5620, 0.0060, 0.4073, 0.9882, 0.6230]",2026-07-01
EMB_AC_AC00024,ACCOUNT,AC00024,deterministic-feature-projection,v1.1,8,"[0.2430, 0.0592, 0.0006, 0.0840, 0.2857, 0.5483, 0.7972, 0.9616]",2026-07-01
