eligibility_id,eligibility_type,eligible_flag,reason,effective_date,expiration_date
ELIG_HH_H0053,MANAGED_ACCOUNT,True,AUM and risk profile qualify,2026-01-01,2027-01-01
ELIG_HH_H0054,MANAGED_ACCOUNT,True,AUM and risk profile qualify,2026-01-01,2027-01-01
ELIG_HH_H0055,MANAGED_ACCOUNT,True,AUM and risk profile qualify,2026-01-01,2027-01-01
ELIG_HH_H0056,MANAGED_ACCOUNT,False,Household preference restriction,2026-01-01,2027-01-01
ELIG_HH_H0057,MANAGED_ACCOUNT,True,AUM and risk profile qualify,2026-01-01,2027-01-01
ELIG_HH_H0058,MANAGED_ACCOUNT,True,AUM and risk profile qualify,2026-01-01,2027-01-01
ELIG_HH_H0059,MANAGED_ACCOUNT,True,AUM and risk profile qualify,2026-01-01,2027-01-01
ELIG_HH_H0060,MANAGED_ACCOUNT,False,Household preference restriction,2026-01-01,2027-01-01
ELIG_PROD_P001,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P002,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P003,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P004,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P005,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P006,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P007,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P008,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P009,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P010,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P011,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P012,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P013,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P014,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P015,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P016,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P017,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P018,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P019,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P020,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P021,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P022,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P023,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P024,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P025,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P026,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P027,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P028,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P029,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P030,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P031,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
ELIG_PROD_P032,PRODUCT_ACTIVE,True,Product approved for showcase recommendation flows,2026-01-01,2027-01-01
