measurement_id,target_value,actual_value,attainment_pct,status,measured_at
MEAS001_18_2,15,9.21,61.38,OFF_TRACK,2026-07-01
MEAS001_18_3,15,9.6,64.02,OFF_TRACK,2026-07-01
MEAS001_18_4,1000000,666600.0,66.66,OFF_TRACK,2026-07-01
MEAS001_21_0,15,9.56,63.75,OFF_TRACK,2026-07-01
MEAS001_21_1,15,10.01,66.75,OFF_TRACK,2026-07-01
MEAS001_21_2,15,10.46,69.75,OFF_TRACK,2026-07-01
MEAS001_21_3,15,10.91,72.75,OFF_TRACK,2026-07-01
MEAS001_21_4,1000000,757500.0,75.75,OFF_TRACK,2026-07-01
MEAS001_24_0,15,10.71,71.4,OFF_TRACK,2026-07-01
MEAS001_24_1,15,11.21,74.76,OFF_TRACK,2026-07-01
MEAS001_24_2,15,11.72,78.12,OFF_TRACK,2026-07-01
MEAS001_24_3,15,12.22,81.48,ON_TRACK,2026-07-01
MEAS001_24_4,1000000,848400.0,84.84,ON_TRACK,2026-07-01
MEAS002_03_0,15,9.95,66.3,OFF_TRACK,2026-07-01
MEAS002_03_1,15,10.41,69.42,OFF_TRACK,2026-07-01
MEAS002_03_2,15,10.88,72.54,OFF_TRACK,2026-07-01
MEAS002_03_3,15,11.35,75.66,OFF_TRACK,2026-07-01
MEAS002_03_4,1000000,787800.0,78.78,OFF_TRACK,2026-07-01
MEAS002_06_0,15,11.09,73.95,OFF_TRACK,2026-07-01
MEAS002_06_1,15,11.61,77.43,OFF_TRACK,2026-07-01
MEAS002_06_2,15,12.14,80.91,ON_TRACK,2026-07-01
MEAS002_06_3,15,12.66,84.39,ON_TRACK,2026-07-01
MEAS002_06_4,1000000,878700.0,87.87,ON_TRACK,2026-07-01
MEAS002_09_0,15,12.24,81.6,ON_TRACK,2026-07-01
MEAS002_09_1,15,12.82,85.44,ON_TRACK,2026-07-01
MEAS002_09_2,15,13.39,89.28,ON_TRACK,2026-07-01
MEAS002_09_3,15,13.97,93.12,ON_TRACK,2026-07-01
MEAS002_09_4,1000000,969600.0,96.96,ON_TRACK,2026-07-01
MEAS002_12_0,15,7.01,46.75,OFF_TRACK,2026-07-01
MEAS002_12_1,15,7.34,48.95,OFF_TRACK,2026-07-01
MEAS002_12_2,15,7.67,51.15,OFF_TRACK,2026-07-01
MEAS002_12_3,15,8.0,53.35,OFF_TRACK,2026-07-01
MEAS002_12_4,1000000,555500.0,55.55,OFF_TRACK,2026-07-01
MEAS002_15_0,15,8.16,54.4,OFF_TRACK,2026-07-01
MEAS002_15_1,15,8.54,56.96,OFF_TRACK,2026-07-01
MEAS002_15_2,15,8.93,59.52,OFF_TRACK,2026-07-01
MEAS002_15_3,15,9.31,62.08,OFF_TRACK,2026-07-01
MEAS002_15_4,1000000,646400.0,64.64,OFF_TRACK,2026-07-01
MEAS002_18_0,15,9.31,62.05,OFF_TRACK,2026-07-01
MEAS002_18_1,15,9.75,64.97,OFF_TRACK,2026-07-01
MEAS002_18_2,15,10.18,67.89,OFF_TRACK,2026-07-01
MEAS002_18_3,15,10.62,70.81,OFF_TRACK,2026-07-01
MEAS002_18_4,1000000,737300.0,73.73,OFF_TRACK,2026-07-01
MEAS002_21_0,15,10.45,69.7,OFF_TRACK,2026-07-01
MEAS002_21_1,15,10.95,72.98,OFF_TRACK,2026-07-01
MEAS002_21_2,15,11.44,76.26,OFF_TRACK,2026-07-01
MEAS002_21_3,15,11.93,79.54,OFF_TRACK,2026-07-01
MEAS002_21_4,1000000,828200.0,82.82,ON_TRACK,2026-07-01
MEAS002_24_0,15,11.6,77.35,OFF_TRACK,2026-07-01
MEAS002_24_1,15,12.15,80.99,ON_TRACK,2026-07-01
MEAS002_24_2,15,12.69,84.63,ON_TRACK,2026-07-01
MEAS002_24_3,15,13.24,88.27,ON_TRACK,2026-07-01
MEAS002_24_4,1000000,919100.0,91.91,ON_TRACK,2026-07-01
MEAS003_03_0,15,10.84,72.25,OFF_TRACK,2026-07-01
MEAS003_03_1,15,11.35,75.65,OFF_TRACK,2026-07-01
MEAS003_03_2,15,11.86,79.05,OFF_TRACK,2026-07-01
MEAS003_03_3,15,12.37,82.45,ON_TRACK,2026-07-01
MEAS003_03_4,1000000,858500.0,85.85,ON_TRACK,2026-07-01
MEAS003_06_0,15,11.98,79.9,OFF_TRACK,2026-07-01
MEAS003_06_1,15,12.55,83.66,ON_TRACK,2026-07-01
MEAS003_06_2,15,13.11,87.42,ON_TRACK,2026-07-01
MEAS003_06_3,15,13.68,91.18,ON_TRACK,2026-07-01
MEAS003_06_4,1000000,949400.0,94.94,ON_TRACK,2026-07-01
MEAS003_09_0,15,13.13,87.55,ON_TRACK,2026-07-01
MEAS003_09_1,15,13.75,91.67,ON_TRACK,2026-07-01
MEAS003_09_2,15,14.37,95.79,ON_TRACK,2026-07-01
MEAS003_09_3,15,14.99,99.91,ON_TRACK,2026-07-01
MEAS003_09_4,1000000,1040300.0,104.03,ON_TRACK,2026-07-01
MEAS003_12_0,15,7.91,52.7,OFF_TRACK,2026-07-01
MEAS003_12_1,15,8.28,55.18,OFF_TRACK,2026-07-01
MEAS003_12_2,15,8.65,57.66,OFF_TRACK,2026-07-01
MEAS003_12_3,15,9.02,60.14,OFF_TRACK,2026-07-01
MEAS003_12_4,1000000,626200.0,62.62,OFF_TRACK,2026-07-01
MEAS003_15_0,15,9.05,60.35,OFF_TRACK,2026-07-01
MEAS003_15_1,15,9.48,63.19,OFF_TRACK,2026-07-01
MEAS003_15_2,15,9.9,66.03,OFF_TRACK,2026-07-01
MEAS003_15_3,15,10.33,68.87,OFF_TRACK,2026-07-01
MEAS003_15_4,1000000,717100.0,71.71,OFF_TRACK,2026-07-01
MEAS003_18_0,15,10.2,68.0,OFF_TRACK,2026-07-01
MEAS003_18_1,15,10.68,71.2,OFF_TRACK,2026-07-01
MEAS003_18_2,15,11.16,74.4,OFF_TRACK,2026-07-01
MEAS003_18_3,15,11.64,77.6,OFF_TRACK,2026-07-01
MEAS003_18_4,1000000,808000.0,80.8,ON_TRACK,2026-07-01
MEAS003_21_0,15,11.35,75.65,OFF_TRACK,2026-07-01
MEAS003_21_1,15,11.88,79.21,OFF_TRACK,2026-07-01
MEAS003_21_2,15,12.42,82.77,ON_TRACK,2026-07-01
MEAS003_21_3,15,12.95,86.33,ON_TRACK,2026-07-01
MEAS003_21_4,1000000,898900.0,89.89,ON_TRACK,2026-07-01
MEAS003_24_0,15,12.49,83.3,ON_TRACK,2026-07-01
MEAS003_24_1,15,13.08,87.22,ON_TRACK,2026-07-01
MEAS003_24_2,15,13.67,91.14,ON_TRACK,2026-07-01
MEAS003_24_3,15,14.26,95.06,ON_TRACK,2026-07-01
MEAS003_24_4,1000000,989800.0,98.98,ON_TRACK,2026-07-01
MEAS004_03_0,15,11.73,78.2,OFF_TRACK,2026-07-01
MEAS004_03_1,15,12.28,81.88,ON_TRACK,2026-07-01
MEAS004_03_2,15,12.83,85.56,ON_TRACK,2026-07-01
MEAS004_03_3,15,13.39,89.24,ON_TRACK,2026-07-01
MEAS004_03_4,1000000,929200.0,92.92,ON_TRACK,2026-07-01
MEAS004_06_0,15,12.88,85.85,ON_TRACK,2026-07-01
MEAS004_06_1,15,13.48,89.89,ON_TRACK,2026-07-01
MEAS004_06_2,15,14.09,93.93,ON_TRACK,2026-07-01
MEAS004_06_3,15,14.7,97.97,ON_TRACK,2026-07-01
MEAS004_06_4,1000000,1020100.0,102.01,ON_TRACK,2026-07-01
MEAS004_09_0,15,7.65,51.0,OFF_TRACK,2026-07-01
MEAS004_09_1,15,8.01,53.4,OFF_TRACK,2026-07-01
MEAS004_09_2,15,8.37,55.8,OFF_TRACK,2026-07-01
MEAS004_09_3,15,8.73,58.2,OFF_TRACK,2026-07-01
MEAS004_09_4,1000000,606000.0,60.6,OFF_TRACK,2026-07-01
MEAS004_12_0,15,8.8,58.65,OFF_TRACK,2026-07-01
MEAS004_12_1,15,9.21,61.41,OFF_TRACK,2026-07-01
MEAS004_12_2,15,9.63,64.17,OFF_TRACK,2026-07-01
MEAS004_12_3,15,10.04,66.93,OFF_TRACK,2026-07-01
MEAS004_12_4,1000000,696900.0,69.69,OFF_TRACK,2026-07-01
MEAS004_15_0,15,9.95,66.3,OFF_TRACK,2026-07-01
MEAS004_15_1,15,10.41,69.42,OFF_TRACK,2026-07-01
MEAS004_15_2,15,10.88,72.54,OFF_TRACK,2026-07-01
MEAS004_15_3,15,11.35,75.66,OFF_TRACK,2026-07-01
MEAS004_15_4,1000000,787800.0,78.78,OFF_TRACK,2026-07-01
MEAS004_18_0,15,11.09,73.95,OFF_TRACK,2026-07-01
MEAS004_18_1,15,11.61,77.43,OFF_TRACK,2026-07-01
MEAS004_18_2,15,12.14,80.91,ON_TRACK,2026-07-01
MEAS004_18_3,15,12.66,84.39,ON_TRACK,2026-07-01
MEAS004_18_4,1000000,878700.0,87.87,ON_TRACK,2026-07-01
MEAS004_21_0,15,12.24,81.6,ON_TRACK,2026-07-01
MEAS004_21_1,15,12.82,85.44,ON_TRACK,2026-07-01
MEAS004_21_2,15,13.39,89.28,ON_TRACK,2026-07-01
MEAS004_21_3,15,13.97,93.12,ON_TRACK,2026-07-01
MEAS004_21_4,1000000,969600.0,96.96,ON_TRACK,2026-07-01
MEAS004_24_0,15,7.01,46.75,OFF_TRACK,2026-07-01
MEAS004_24_1,15,7.34,48.95,OFF_TRACK,2026-07-01
MEAS004_24_2,15,7.67,51.15,OFF_TRACK,2026-07-01
MEAS004_24_3,15,8.0,53.35,OFF_TRACK,2026-07-01
MEAS004_24_4,1000000,555500.0,55.55,OFF_TRACK,2026-07-01
MEAS005_03_0,15,12.62,84.15,ON_TRACK,2026-07-01
MEAS005_03_1,15,13.22,88.11,ON_TRACK,2026-07-01
MEAS005_03_2,15,13.81,92.07,ON_TRACK,2026-07-01
MEAS005_03_3,15,14.4,96.03,ON_TRACK,2026-07-01
MEAS005_03_4,1000000,999900.0,99.99,ON_TRACK,2026-07-01
MEAS005_06_0,15,7.39,49.3,OFF_TRACK,2026-07-01
MEAS005_06_1,15,7.74,51.62,OFF_TRACK,2026-07-01
MEAS005_06_2,15,8.09,53.94,OFF_TRACK,2026-07-01
MEAS005_06_3,15,8.44,56.26,OFF_TRACK,2026-07-01
MEAS005_06_4,1000000,585800.0,58.58,OFF_TRACK,2026-07-01
MEAS005_09_0,15,8.54,56.95,OFF_TRACK,2026-07-01
MEAS005_09_1,15,8.94,59.63,OFF_TRACK,2026-07-01
MEAS005_09_2,15,9.35,62.31,OFF_TRACK,2026-07-01
MEAS005_09_3,15,9.75,64.99,OFF_TRACK,2026-07-01
MEAS005_09_4,1000000,676700.0,67.67,OFF_TRACK,2026-07-01
MEAS005_12_0,15,9.69,64.6,OFF_TRACK,2026-07-01
MEAS005_12_1,15,10.15,67.64,OFF_TRACK,2026-07-01
MEAS005_12_2,15,10.6,70.68,OFF_TRACK,2026-07-01
MEAS005_12_3,15,11.06,73.72,OFF_TRACK,2026-07-01
MEAS005_12_4,1000000,767600.0,76.76,OFF_TRACK,2026-07-01
MEAS005_15_0,15,10.84,72.25,OFF_TRACK,2026-07-01
MEAS005_15_1,15,11.35,75.65,OFF_TRACK,2026-07-01
MEAS005_15_2,15,11.86,79.05,OFF_TRACK,2026-07-01
MEAS005_15_3,15,12.37,82.45,ON_TRACK,2026-07-01
MEAS005_15_4,1000000,858500.0,85.85,ON_TRACK,2026-07-01
MEAS005_18_0,15,11.98,79.9,OFF_TRACK,2026-07-01
MEAS005_18_1,15,12.55,83.66,ON_TRACK,2026-07-01
MEAS005_18_2,15,13.11,87.42,ON_TRACK,2026-07-01
MEAS005_18_3,15,13.68,91.18,ON_TRACK,2026-07-01
MEAS005_18_4,1000000,949400.0,94.94,ON_TRACK,2026-07-01
MEAS005_21_0,15,13.13,87.55,ON_TRACK,2026-07-01
MEAS005_21_1,15,13.75,91.67,ON_TRACK,2026-07-01
MEAS005_21_2,15,14.37,95.79,ON_TRACK,2026-07-01
MEAS005_21_3,15,14.99,99.91,ON_TRACK,2026-07-01
MEAS005_21_4,1000000,1040300.0,104.03,ON_TRACK,2026-07-01
MEAS005_24_0,15,7.91,52.7,OFF_TRACK,2026-07-01
MEAS005_24_1,15,8.28,55.18,OFF_TRACK,2026-07-01
MEAS005_24_2,15,8.65,57.66,OFF_TRACK,2026-07-01
MEAS005_24_3,15,9.02,60.14,OFF_TRACK,2026-07-01
MEAS005_24_4,1000000,626200.0,62.62,OFF_TRACK,2026-07-01
MEAS006_03_0,15,7.14,47.6,OFF_TRACK,2026-07-01
MEAS006_03_1,15,7.48,49.84,OFF_TRACK,2026-07-01
MEAS006_03_2,15,7.81,52.08,OFF_TRACK,2026-07-01
MEAS006_03_3,15,8.15,54.32,OFF_TRACK,2026-07-01
MEAS006_03_4,1000000,565600.0,56.56,OFF_TRACK,2026-07-01
MEAS006_06_0,15,8.29,55.25,OFF_TRACK,2026-07-01
MEAS006_06_1,15,8.68,57.85,OFF_TRACK,2026-07-01
MEAS006_06_2,15,9.07,60.45,OFF_TRACK,2026-07-01
MEAS006_06_3,15,9.46,63.05,OFF_TRACK,2026-07-01
MEAS006_06_4,1000000,656500.0,65.65,OFF_TRACK,2026-07-01
MEAS006_09_0,15,9.43,62.9,OFF_TRACK,2026-07-01
MEAS006_09_1,15,9.88,65.86,OFF_TRACK,2026-07-01
MEAS006_09_2,15,10.32,68.82,OFF_TRACK,2026-07-01
MEAS006_09_3,15,10.77,71.78,OFF_TRACK,2026-07-01
MEAS006_09_4,1000000,747400.0,74.74,OFF_TRACK,2026-07-01
MEAS006_12_0,15,10.58,70.55,OFF_TRACK,2026-07-01
MEAS006_12_1,15,11.08,73.87,OFF_TRACK,2026-07-01
MEAS006_12_2,15,11.58,77.19,OFF_TRACK,2026-07-01
MEAS006_12_3,15,12.08,80.51,ON_TRACK,2026-07-01
MEAS006_12_4,1000000,838300.0,83.83,ON_TRACK,2026-07-01
MEAS006_15_0,15,11.73,78.2,OFF_TRACK,2026-07-01
MEAS006_15_1,15,12.28,81.88,ON_TRACK,2026-07-01
MEAS006_15_2,15,12.83,85.56,ON_TRACK,2026-07-01
MEAS006_15_3,15,13.39,89.24,ON_TRACK,2026-07-01
MEAS006_15_4,1000000,929200.0,92.92,ON_TRACK,2026-07-01
MEAS006_18_0,15,12.88,85.85,ON_TRACK,2026-07-01
MEAS006_18_1,15,13.48,89.89,ON_TRACK,2026-07-01
MEAS006_18_2,15,14.09,93.93,ON_TRACK,2026-07-01
MEAS006_18_3,15,14.7,97.97,ON_TRACK,2026-07-01
MEAS006_18_4,1000000,1020100.0,102.01,ON_TRACK,2026-07-01
MEAS006_21_0,15,7.65,51.0,OFF_TRACK,2026-07-01
MEAS006_21_1,15,8.01,53.4,OFF_TRACK,2026-07-01
MEAS006_21_2,15,8.37,55.8,OFF_TRACK,2026-07-01
MEAS006_21_3,15,8.73,58.2,OFF_TRACK,2026-07-01
MEAS006_21_4,1000000,606000.0,60.6,OFF_TRACK,2026-07-01
MEAS006_24_0,15,8.8,58.65,OFF_TRACK,2026-07-01
MEAS006_24_1,15,9.21,61.41,OFF_TRACK,2026-07-01
MEAS006_24_2,15,9.63,64.17,OFF_TRACK,2026-07-01
MEAS006_24_3,15,10.04,66.93,OFF_TRACK,2026-07-01
MEAS006_24_4,1000000,696900.0,69.69,OFF_TRACK,2026-07-01
MEAS007_03_0,15,8.03,53.55,OFF_TRACK,2026-07-01
MEAS007_03_1,15,8.41,56.07,OFF_TRACK,2026-07-01
MEAS007_03_2,15,8.79,58.59,OFF_TRACK,2026-07-01
MEAS007_03_3,15,9.17,61.11,OFF_TRACK,2026-07-01
MEAS007_03_4,1000000,636300.0,63.63,OFF_TRACK,2026-07-01
MEAS007_06_0,15,9.18,61.2,OFF_TRACK,2026-07-01
MEAS007_06_1,15,9.61,64.08,OFF_TRACK,2026-07-01
MEAS007_06_2,15,10.04,66.96,OFF_TRACK,2026-07-01
MEAS007_06_3,15,10.48,69.84,OFF_TRACK,2026-07-01
MEAS007_06_4,1000000,727200.0,72.72,OFF_TRACK,2026-07-01
MEAS007_09_0,15,10.33,68.85,OFF_TRACK,2026-07-01
MEAS007_09_1,15,10.81,72.09,OFF_TRACK,2026-07-01
MEAS007_09_2,15,11.3,75.33,OFF_TRACK,2026-07-01
MEAS007_09_3,15,11.79,78.57,OFF_TRACK,2026-07-01
MEAS007_09_4,1000000,818100.0,81.81,ON_TRACK,2026-07-01
MEAS007_12_0,15,11.47,76.5,OFF_TRACK,2026-07-01
MEAS007_12_1,15,12.02,80.1,ON_TRACK,2026-07-01
MEAS007_12_2,15,12.55,83.7,ON_TRACK,2026-07-01
MEAS007_12_3,15,13.09,87.3,ON_TRACK,2026-07-01
MEAS007_12_4,1000000,909000.0,90.9,ON_TRACK,2026-07-01
MEAS007_15_0,15,12.62,84.15,ON_TRACK,2026-07-01
MEAS007_15_1,15,13.22,88.11,ON_TRACK,2026-07-01
MEAS007_15_2,15,13.81,92.07,ON_TRACK,2026-07-01
MEAS007_15_3,15,14.4,96.03,ON_TRACK,2026-07-01
MEAS007_15_4,1000000,999900.0,99.99,ON_TRACK,2026-07-01
MEAS007_18_0,15,7.39,49.3,OFF_TRACK,2026-07-01
MEAS007_18_1,15,7.74,51.62,OFF_TRACK,2026-07-01
MEAS007_18_2,15,8.09,53.94,OFF_TRACK,2026-07-01
MEAS007_18_3,15,8.44,56.26,OFF_TRACK,2026-07-01
MEAS007_18_4,1000000,585800.0,58.58,OFF_TRACK,2026-07-01
MEAS007_21_0,15,8.54,56.95,OFF_TRACK,2026-07-01
MEAS007_21_1,15,8.94,59.63,OFF_TRACK,2026-07-01
MEAS007_21_2,15,9.35,62.31,OFF_TRACK,2026-07-01
MEAS007_21_3,15,9.75,64.99,OFF_TRACK,2026-07-01
MEAS007_21_4,1000000,676700.0,67.67,OFF_TRACK,2026-07-01
MEAS007_24_0,15,9.69,64.6,OFF_TRACK,2026-07-01
MEAS007_24_1,15,10.15,67.64,OFF_TRACK,2026-07-01
MEAS007_24_2,15,10.6,70.68,OFF_TRACK,2026-07-01
MEAS007_24_3,15,11.06,73.72,OFF_TRACK,2026-07-01
MEAS007_24_4,1000000,767600.0,76.76,OFF_TRACK,2026-07-01
MEAS008_03_0,15,8.92,59.5,OFF_TRACK,2026-07-01
MEAS008_03_1,15,9.35,62.3,OFF_TRACK,2026-07-01
MEAS008_03_2,15,9.76,65.1,OFF_TRACK,2026-07-01
MEAS008_03_3,15,10.19,67.9,OFF_TRACK,2026-07-01
MEAS008_03_4,1000000,707000.0,70.7,OFF_TRACK,2026-07-01
MEAS008_06_0,15,10.07,67.15,OFF_TRACK,2026-07-01
MEAS008_06_1,15,10.55,70.31,OFF_TRACK,2026-07-01
MEAS008_06_2,15,11.02,73.47,OFF_TRACK,2026-07-01
MEAS008_06_3,15,11.49,76.63,OFF_TRACK,2026-07-01
MEAS008_06_4,1000000,797900.0,79.79,OFF_TRACK,2026-07-01
MEAS008_09_0,15,11.22,74.8,OFF_TRACK,2026-07-01
MEAS008_09_1,15,11.75,78.32,OFF_TRACK,2026-07-01
MEAS008_09_2,15,12.28,81.84,ON_TRACK,2026-07-01
MEAS008_09_3,15,12.8,85.36,ON_TRACK,2026-07-01
MEAS008_09_4,1000000,888800.0,88.88,ON_TRACK,2026-07-01
MEAS008_12_0,15,12.37,82.45,ON_TRACK,2026-07-01
MEAS008_12_1,15,12.95,86.33,ON_TRACK,2026-07-01
MEAS008_12_2,15,13.53,90.21,ON_TRACK,2026-07-01
MEAS008_12_3,15,14.11,94.09,ON_TRACK,2026-07-01
MEAS008_12_4,1000000,979700.0,97.97,ON_TRACK,2026-07-01
MEAS008_15_0,15,7.14,47.6,OFF_TRACK,2026-07-01
MEAS008_15_1,15,7.48,49.84,OFF_TRACK,2026-07-01
MEAS008_15_2,15,7.81,52.08,OFF_TRACK,2026-07-01
MEAS008_15_3,15,8.15,54.32,OFF_TRACK,2026-07-01
MEAS008_15_4,1000000,565600.0,56.56,OFF_TRACK,2026-07-01
MEAS008_18_0,15,8.29,55.25,OFF_TRACK,2026-07-01
MEAS008_18_1,15,8.68,57.85,OFF_TRACK,2026-07-01
MEAS008_18_2,15,9.07,60.45,OFF_TRACK,2026-07-01
MEAS008_18_3,15,9.46,63.05,OFF_TRACK,2026-07-01
MEAS008_18_4,1000000,656500.0,65.65,OFF_TRACK,2026-07-01
MEAS008_21_0,15,9.43,62.9,OFF_TRACK,2026-07-01
MEAS008_21_1,15,9.88,65.86,OFF_TRACK,2026-07-01
MEAS008_21_2,15,10.32,68.82,OFF_TRACK,2026-07-01
MEAS008_21_3,15,10.77,71.78,OFF_TRACK,2026-07-01
MEAS008_21_4,1000000,747400.0,74.74,OFF_TRACK,2026-07-01
MEAS008_24_0,15,10.58,70.55,OFF_TRACK,2026-07-01
MEAS008_24_1,15,11.08,73.87,OFF_TRACK,2026-07-01
MEAS008_24_2,15,11.58,77.19,OFF_TRACK,2026-07-01
MEAS008_24_3,15,12.08,80.51,ON_TRACK,2026-07-01
MEAS008_24_4,1000000,838300.0,83.83,ON_TRACK,2026-07-01
MEAS009_03_0,15,9.82,65.45,OFF_TRACK,2026-07-01
MEAS009_03_1,15,10.28,68.53,OFF_TRACK,2026-07-01
MEAS009_03_2,15,10.74,71.61,OFF_TRACK,2026-07-01
MEAS009_03_3,15,11.2,74.69,OFF_TRACK,2026-07-01
MEAS009_03_4,1000000,777700.0,77.77,OFF_TRACK,2026-07-01
MEAS009_06_0,15,10.96,73.1,OFF_TRACK,2026-07-01
MEAS009_06_1,15,11.48,76.54,OFF_TRACK,2026-07-01
MEAS009_06_2,15,12.0,79.98,OFF_TRACK,2026-07-01
MEAS009_06_3,15,12.51,83.42,ON_TRACK,2026-07-01
MEAS009_06_4,1000000,868600.0,86.86,ON_TRACK,2026-07-01
MEAS009_09_0,15,12.11,80.75,ON_TRACK,2026-07-01
MEAS009_09_1,15,12.68,84.55,ON_TRACK,2026-07-01
MEAS009_09_2,15,13.25,88.35,ON_TRACK,2026-07-01
MEAS009_09_3,15,13.82,92.15,ON_TRACK,2026-07-01
MEAS009_09_4,1000000,959500.0,95.95,ON_TRACK,2026-07-01
MEAS009_12_0,15,13.26,88.4,ON_TRACK,2026-07-01
MEAS009_12_1,15,13.88,92.56,ON_TRACK,2026-07-01
MEAS009_12_2,15,14.51,96.72,ON_TRACK,2026-07-01
MEAS009_12_3,15,15.13,100.88,ON_TRACK,2026-07-01
MEAS009_12_4,1000000,1050400.0,105.04,ON_TRACK,2026-07-01
MEAS009_15_0,15,8.03,53.55,OFF_TRACK,2026-07-01
MEAS009_15_1,15,8.41,56.07,OFF_TRACK,2026-07-01
MEAS009_15_2,15,8.79,58.59,OFF_TRACK,2026-07-01
MEAS009_15_3,15,9.17,61.11,OFF_TRACK,2026-07-01
MEAS009_15_4,1000000,636300.0,63.63,OFF_TRACK,2026-07-01
MEAS009_18_0,15,9.18,61.2,OFF_TRACK,2026-07-01
MEAS009_18_1,15,9.61,64.08,OFF_TRACK,2026-07-01
MEAS009_18_2,15,10.04,66.96,OFF_TRACK,2026-07-01
MEAS009_18_3,15,10.48,69.84,OFF_TRACK,2026-07-01
MEAS009_18_4,1000000,727200.0,72.72,OFF_TRACK,2026-07-01
MEAS009_21_0,15,10.33,68.85,OFF_TRACK,2026-07-01
MEAS009_21_1,15,10.81,72.09,OFF_TRACK,2026-07-01
MEAS009_21_2,15,11.3,75.33,OFF_TRACK,2026-07-01
MEAS009_21_3,15,11.79,78.57,OFF_TRACK,2026-07-01
MEAS009_21_4,1000000,818100.0,81.81,ON_TRACK,2026-07-01
MEAS009_24_0,15,11.47,76.5,OFF_TRACK,2026-07-01
MEAS009_24_1,15,12.02,80.1,ON_TRACK,2026-07-01
MEAS009_24_2,15,12.55,83.7,ON_TRACK,2026-07-01
MEAS009_24_3,15,13.09,87.3,ON_TRACK,2026-07-01
MEAS009_24_4,1000000,909000.0,90.9,ON_TRACK,2026-07-01
MEAS010_03_0,15,10.71,71.4,OFF_TRACK,2026-07-01
MEAS010_03_1,15,11.21,74.76,OFF_TRACK,2026-07-01
MEAS010_03_2,15,11.72,78.12,OFF_TRACK,2026-07-01
MEAS010_03_3,15,12.22,81.48,ON_TRACK,2026-07-01
MEAS010_03_4,1000000,848400.0,84.84,ON_TRACK,2026-07-01
MEAS010_06_0,15,11.86,79.05,OFF_TRACK,2026-07-01
MEAS010_06_1,15,12.42,82.77,ON_TRACK,2026-07-01
MEAS010_06_2,15,12.97,86.49,ON_TRACK,2026-07-01
MEAS010_06_3,15,13.53,90.21,ON_TRACK,2026-07-01
MEAS010_06_4,1000000,939300.0,93.93,ON_TRACK,2026-07-01
MEAS010_09_0,15,13.01,86.7,ON_TRACK,2026-07-01
MEAS010_09_1,15,13.62,90.78,ON_TRACK,2026-07-01
MEAS010_09_2,15,14.23,94.86,ON_TRACK,2026-07-01
MEAS010_09_3,15,14.84,98.94,ON_TRACK,2026-07-01
MEAS010_09_4,1000000,1030200.0,103.02,ON_TRACK,2026-07-01
MEAS010_12_0,15,7.78,51.85,OFF_TRACK,2026-07-01
MEAS010_12_1,15,8.14,54.29,OFF_TRACK,2026-07-01
MEAS010_12_2,15,8.51,56.73,OFF_TRACK,2026-07-01
MEAS010_12_3,15,8.88,59.17,OFF_TRACK,2026-07-01
MEAS010_12_4,1000000,616100.0,61.61,OFF_TRACK,2026-07-01
MEAS010_15_0,15,8.92,59.5,OFF_TRACK,2026-07-01
MEAS010_15_1,15,9.35,62.3,OFF_TRACK,2026-07-01
MEAS010_15_2,15,9.76,65.1,OFF_TRACK,2026-07-01
MEAS010_15_3,15,10.19,67.9,OFF_TRACK,2026-07-01
