feature_snapshot_id,entity_type,entity_id,feature_group,feature_version,snapshot_time,features_json,source_lineage_json
FS_A012_202607,ADVISOR,A012,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.0,""managed_revenue_ratio"":0.15,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":720000,""days_since_last_followup"":38,""agp_milestone_attainment_pct"":89,""peer_gap_pct"":11.0,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A013_202607,ADVISOR,A013,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.1,""managed_revenue_ratio"":0.185,""pending_lead_count"":7,""referral_conversion_rate"":0.42,""crm_pipeline_value"":755000,""days_since_last_followup"":47,""agp_milestone_attainment_pct"":96,""peer_gap_pct"":13.2,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A014_202607,ADVISOR,A014,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.2,""managed_revenue_ratio"":0.22,""pending_lead_count"":2,""referral_conversion_rate"":0.48,""crm_pipeline_value"":790000,""days_since_last_followup"":56,""agp_milestone_attainment_pct"":103,""peer_gap_pct"":15.4,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A015_202607,ADVISOR,A015,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.3,""managed_revenue_ratio"":0.255,""pending_lead_count"":5,""referral_conversion_rate"":0.54,""crm_pipeline_value"":825000,""days_since_last_followup"":65,""agp_milestone_attainment_pct"":60,""peer_gap_pct"":-15.4,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A016_202607,ADVISOR,A016,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.4,""managed_revenue_ratio"":0.29,""pending_lead_count"":0,""referral_conversion_rate"":0.12,""crm_pipeline_value"":860000,""days_since_last_followup"":4,""agp_milestone_attainment_pct"":67,""peer_gap_pct"":-13.2,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A017_202607,ADVISOR,A017,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.5,""managed_revenue_ratio"":0.325,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":895000,""days_since_last_followup"":13,""agp_milestone_attainment_pct"":74,""peer_gap_pct"":-11.0,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A018_202607,ADVISOR,A018,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.6,""managed_revenue_ratio"":0.36,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":930000,""days_since_last_followup"":22,""agp_milestone_attainment_pct"":81,""peer_gap_pct"":-8.8,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A019_202607,ADVISOR,A019,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.7,""managed_revenue_ratio"":0.395,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":965000,""days_since_last_followup"":31,""agp_milestone_attainment_pct"":88,""peer_gap_pct"":-6.6,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A020_202607,ADVISOR,A020,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.2,""managed_revenue_ratio"":0.43,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":1000000,""days_since_last_followup"":40,""agp_milestone_attainment_pct"":95,""peer_gap_pct"":-4.4,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A021_202607,ADVISOR,A021,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.1,""managed_revenue_ratio"":0.465,""pending_lead_count"":7,""referral_conversion_rate"":0.42,""crm_pipeline_value"":1035000,""days_since_last_followup"":49,""agp_milestone_attainment_pct"":102,""peer_gap_pct"":-2.2,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A022_202607,ADVISOR,A022,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.0,""managed_revenue_ratio"":0.5,""pending_lead_count"":2,""referral_conversion_rate"":0.48,""crm_pipeline_value"":1070000,""days_since_last_followup"":58,""agp_milestone_attainment_pct"":59,""peer_gap_pct"":0.0,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A023_202607,ADVISOR,A023,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.9,""managed_revenue_ratio"":0.535,""pending_lead_count"":5,""referral_conversion_rate"":0.54,""crm_pipeline_value"":1105000,""days_since_last_followup"":67,""agp_milestone_attainment_pct"":66,""peer_gap_pct"":2.2,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A024_202607,ADVISOR,A024,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.8,""managed_revenue_ratio"":0.15,""pending_lead_count"":0,""referral_conversion_rate"":0.12,""crm_pipeline_value"":1140000,""days_since_last_followup"":6,""agp_milestone_attainment_pct"":73,""peer_gap_pct"":4.4,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A025_202607,ADVISOR,A025,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.7,""managed_revenue_ratio"":0.185,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":1175000,""days_since_last_followup"":15,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":6.6,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A026_202607,ADVISOR,A026,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.6,""managed_revenue_ratio"":0.22,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":1210000,""days_since_last_followup"":24,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":8.8,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A027_202607,ADVISOR,A027,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.5,""managed_revenue_ratio"":0.255,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":1245000,""days_since_last_followup"":33,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":11.0,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A028_202607,ADVISOR,A028,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.4,""managed_revenue_ratio"":0.29,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":1280000,""days_since_last_followup"":42,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":13.2,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A029_202607,ADVISOR,A029,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.3,""managed_revenue_ratio"":0.325,""pending_lead_count"":7,""referral_conversion_rate"":0.42,""crm_pipeline_value"":1315000,""days_since_last_followup"":51,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":15.4,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A030_202607,ADVISOR,A030,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.2,""managed_revenue_ratio"":0.36,""pending_lead_count"":2,""referral_conversion_rate"":0.48,""crm_pipeline_value"":1350000,""days_since_last_followup"":60,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-15.4,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A031_202607,ADVISOR,A031,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.1,""managed_revenue_ratio"":0.395,""pending_lead_count"":5,""referral_conversion_rate"":0.54,""crm_pipeline_value"":1385000,""days_since_last_followup"":69,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-13.2,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A032_202607,ADVISOR,A032,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.0,""managed_revenue_ratio"":0.43,""pending_lead_count"":0,""referral_conversion_rate"":0.12,""crm_pipeline_value"":1420000,""days_since_last_followup"":8,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-11.0,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A033_202607,ADVISOR,A033,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.1,""managed_revenue_ratio"":0.465,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":1455000,""days_since_last_followup"":17,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-8.8,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A034_202607,ADVISOR,A034,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.2,""managed_revenue_ratio"":0.5,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":1490000,""days_since_last_followup"":26,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-6.6,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A035_202607,ADVISOR,A035,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.3,""managed_revenue_ratio"":0.535,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":1525000,""days_since_last_followup"":35,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-4.4,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A036_202607,ADVISOR,A036,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.4,""managed_revenue_ratio"":0.15,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":1560000,""days_since_last_followup"":44,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-2.2,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A037_202607,ADVISOR,A037,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.5,""managed_revenue_ratio"":0.185,""pending_lead_count"":7,""referral_conversion_rate"":0.42,""crm_pipeline_value"":1595000,""days_since_last_followup"":53,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":0.0,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A038_202607,ADVISOR,A038,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.6,""managed_revenue_ratio"":0.22,""pending_lead_count"":2,""referral_conversion_rate"":0.48,""crm_pipeline_value"":1630000,""days_since_last_followup"":62,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":2.2,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A039_202607,ADVISOR,A039,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.7,""managed_revenue_ratio"":0.255,""pending_lead_count"":5,""referral_conversion_rate"":0.54,""crm_pipeline_value"":1665000,""days_since_last_followup"":1,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":4.4,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A040_202607,ADVISOR,A040,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.2,""managed_revenue_ratio"":0.29,""pending_lead_count"":0,""referral_conversion_rate"":0.12,""crm_pipeline_value"":1700000,""days_since_last_followup"":10,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":6.6,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A041_202607,ADVISOR,A041,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.1,""managed_revenue_ratio"":0.325,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":1735000,""days_since_last_followup"":19,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":8.8,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A042_202607,ADVISOR,A042,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.0,""managed_revenue_ratio"":0.36,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":1770000,""days_since_last_followup"":28,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":11.0,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A043_202607,ADVISOR,A043,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.9,""managed_revenue_ratio"":0.395,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":1805000,""days_since_last_followup"":37,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":13.2,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A044_202607,ADVISOR,A044,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.8,""managed_revenue_ratio"":0.43,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":1840000,""days_since_last_followup"":46,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":15.4,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A045_202607,ADVISOR,A045,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.7,""managed_revenue_ratio"":0.465,""pending_lead_count"":7,""referral_conversion_rate"":0.42,""crm_pipeline_value"":1875000,""days_since_last_followup"":55,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-15.4,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A046_202607,ADVISOR,A046,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.6,""managed_revenue_ratio"":0.5,""pending_lead_count"":2,""referral_conversion_rate"":0.48,""crm_pipeline_value"":1910000,""days_since_last_followup"":64,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-13.2,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A047_202607,ADVISOR,A047,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.5,""managed_revenue_ratio"":0.535,""pending_lead_count"":5,""referral_conversion_rate"":0.54,""crm_pipeline_value"":1945000,""days_since_last_followup"":3,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-11.0,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A048_202607,ADVISOR,A048,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.4,""managed_revenue_ratio"":0.15,""pending_lead_count"":0,""referral_conversion_rate"":0.12,""crm_pipeline_value"":1980000,""days_since_last_followup"":12,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-8.8,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A049_202607,ADVISOR,A049,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.3,""managed_revenue_ratio"":0.185,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":2015000,""days_since_last_followup"":21,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-6.6,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A050_202607,ADVISOR,A050,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.2,""managed_revenue_ratio"":0.22,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":2050000,""days_since_last_followup"":30,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-4.4,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A051_202607,ADVISOR,A051,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.1,""managed_revenue_ratio"":0.255,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":2085000,""days_since_last_followup"":39,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-2.2,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A052_202607,ADVISOR,A052,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":0.0,""managed_revenue_ratio"":0.29,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":2120000,""days_since_last_followup"":48,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":0.0,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A053_202607,ADVISOR,A053,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.1,""managed_revenue_ratio"":0.325,""pending_lead_count"":7,""referral_conversion_rate"":0.42,""crm_pipeline_value"":2155000,""days_since_last_followup"":57,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":2.2,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A054_202607,ADVISOR,A054,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.2,""managed_revenue_ratio"":0.36,""pending_lead_count"":2,""referral_conversion_rate"":0.48,""crm_pipeline_value"":2190000,""days_since_last_followup"":66,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":4.4,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A055_202607,ADVISOR,A055,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.3,""managed_revenue_ratio"":0.395,""pending_lead_count"":5,""referral_conversion_rate"":0.54,""crm_pipeline_value"":2225000,""days_since_last_followup"":5,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":6.6,""recommendation_acceptance_rate"":0.43}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A056_202607,ADVISOR,A056,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.4,""managed_revenue_ratio"":0.43,""pending_lead_count"":0,""referral_conversion_rate"":0.12,""crm_pipeline_value"":2260000,""days_since_last_followup"":14,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":8.8,""recommendation_acceptance_rate"":0.51}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A057_202607,ADVISOR,A057,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.5,""managed_revenue_ratio"":0.465,""pending_lead_count"":3,""referral_conversion_rate"":0.18,""crm_pipeline_value"":2295000,""days_since_last_followup"":23,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":11.0,""recommendation_acceptance_rate"":0.59}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A058_202607,ADVISOR,A058,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.6,""managed_revenue_ratio"":0.5,""pending_lead_count"":6,""referral_conversion_rate"":0.24,""crm_pipeline_value"":2330000,""days_since_last_followup"":32,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":13.2,""recommendation_acceptance_rate"":0.67}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A059_202607,ADVISOR,A059,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":-0.7,""managed_revenue_ratio"":0.535,""pending_lead_count"":1,""referral_conversion_rate"":0.3,""crm_pipeline_value"":2365000,""days_since_last_followup"":41,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":15.4,""recommendation_acceptance_rate"":0.75}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_A060_202607,ADVISOR,A060,ADVISOR_GROWTH,v1.0,2026-07-01,"{""revenue_growth_3m"":1.2,""managed_revenue_ratio"":0.15,""pending_lead_count"":4,""referral_conversion_rate"":0.36,""crm_pipeline_value"":2400000,""days_since_last_followup"":50,""agp_milestone_attainment_pct"":100.0,""peer_gap_pct"":-15.4,""recommendation_acceptance_rate"":0.35}","[""revenue"", ""aum"", ""crm"", ""agp"", ""feedback""]"
FS_HH_H0001_202607,HOUSEHOLD,H0001,HOUSEHOLD_PROFILE,v1.1,2026-07-01,"{""aum"":257919.0,""relationship_depth"":3,""product_diversification_score"":0.405,""contact_gap_days"":12,""growth_potential_score"":54}","[""graph_relationships"", ""transactions"", ""crm"", ""eligibility""]"
FS_HH_H0002_202607,HOUSEHOLD,H0002,HOUSEHOLD_PROFILE,v1.1,2026-07-01,"{""aum"":265838.0,""relationship_depth"":4,""product_diversification_score"":0.46,""contact_gap_days"":19,""growth_potential_score"":63}","[""graph_relationships"", ""transactions"", ""crm"", ""eligibility""]"
