referral_id,source,received_date,due_date,status,completed_date,converted_flag,priority,estimated_value
REF01901,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF01902,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF02000,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF02001,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF02002,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF02100,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF02101,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF02102,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF02200,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF02201,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF02202,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF02300,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF02301,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF02302,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF02400,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF02401,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF02402,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF02500,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF02501,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF02502,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF02600,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF02601,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF02602,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF02700,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF02701,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF02702,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF02800,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF02801,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF02802,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF02900,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF02901,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF02902,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF03000,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF03001,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF03002,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF03100,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF03101,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF03102,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF03200,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF03201,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF03202,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF03300,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF03301,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF03302,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF03400,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF03401,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF03402,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF03500,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF03501,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF03502,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF03600,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF03601,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF03602,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF03700,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF03701,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF03702,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF03800,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF03801,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF03802,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF03900,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF03901,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF03902,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF04000,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF04001,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF04002,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF04100,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF04101,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF04102,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF04200,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF04201,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF04202,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF04300,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF04301,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF04302,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF04400,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF04401,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF04402,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF04500,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF04501,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF04502,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF04600,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF04601,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF04602,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF04700,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF04701,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF04702,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF04800,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF04801,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF04802,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF04900,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF04901,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF04902,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF05000,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF05001,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF05002,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF05100,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF05101,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF05102,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF05200,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF05201,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF05202,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF05300,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF05301,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF05302,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF05400,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF05401,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF05402,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF05500,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF05501,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF05502,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF05600,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF05601,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF05602,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF05700,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF05701,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF05702,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
REF05800,CLIENT,2026-06-11,2026-07-11,COMPLETED,2026-06-28,False,MEDIUM,50000
REF05801,COI,2026-06-01,2026-07-03,CONVERTED,2026-06-28,True,HIGH,75000
REF05802,INTERNAL,2026-05-22,2026-06-25,PENDING,,False,URGENT,100000
REF05900,CLIENT,2026-06-11,2026-07-11,CONVERTED,2026-06-28,True,MEDIUM,50000
REF05901,COI,2026-06-01,2026-07-03,PENDING,,False,HIGH,75000
REF05902,INTERNAL,2026-05-22,2026-06-25,COMPLETED,2026-06-28,False,URGENT,100000
REF06000,CLIENT,2026-06-11,2026-07-11,OVERDUE,,False,URGENT,50000
REF06001,COI,2026-06-01,2026-07-03,COMPLETED,2026-06-28,False,HIGH,75000
REF06002,INTERNAL,2026-05-22,2026-06-25,CONVERTED,2026-06-28,True,URGENT,100000
