lead_id,source,created_date,due_date,status,completed_date,converted_flag,priority,estimated_value
L00901,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L00902,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L00903,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L00904,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L01000,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L01001,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L01002,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L01003,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L01004,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L01100,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L01101,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L01102,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L01103,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L01104,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L01200,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L01201,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L01202,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L01203,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L01204,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L01300,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L01301,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L01302,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L01303,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L01304,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L01400,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L01401,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L01402,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L01403,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L01404,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L01500,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L01501,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L01502,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L01503,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L01504,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L01600,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L01601,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L01602,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L01603,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L01604,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L01700,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L01701,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L01702,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L01703,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L01704,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L01800,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L01801,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L01802,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L01803,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L01804,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L01900,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L01901,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L01902,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L01903,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L01904,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L02000,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L02001,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L02002,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L02003,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L02004,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L02100,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L02101,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L02102,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L02103,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L02104,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L02200,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L02201,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L02202,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L02203,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L02204,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L02300,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L02301,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L02302,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L02303,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L02304,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L02400,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L02401,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L02402,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L02403,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L02404,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L02500,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L02501,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L02502,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L02503,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L02504,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L02600,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L02601,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L02602,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L02603,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L02604,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L02700,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L02701,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L02702,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L02703,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L02704,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L02800,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L02801,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L02802,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L02803,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L02804,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L02900,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L02901,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L02902,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L02903,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L02904,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L03000,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L03001,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L03002,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L03003,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L03004,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L03100,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L03101,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L03102,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L03103,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L03104,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L03200,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L03201,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L03202,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L03203,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L03204,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L03300,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L03301,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L03302,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L03303,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L03304,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L03400,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L03401,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L03402,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L03403,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L03404,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L03500,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L03501,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L03502,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L03503,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L03504,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L03600,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L03601,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L03602,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L03603,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L03604,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L03700,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L03701,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L03702,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L03703,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L03704,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L03800,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L03801,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L03802,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L03803,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L03804,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L03900,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L03901,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L03902,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L03903,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L03904,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L04000,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L04001,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L04002,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L04003,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L04004,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L04100,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L04101,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L04102,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L04103,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L04104,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L04200,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L04201,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L04202,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L04203,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L04204,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L04300,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L04301,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L04302,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L04303,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L04304,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L04400,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L04401,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L04402,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L04403,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L04404,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L04500,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L04501,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L04502,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L04503,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L04504,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L04600,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L04601,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L04602,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L04603,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L04604,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L04700,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L04701,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L04702,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L04703,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L04704,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L04800,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L04801,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L04802,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L04803,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L04804,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L04900,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L04901,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L04902,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L04903,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L04904,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L05000,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L05001,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L05002,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L05003,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L05004,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L05100,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L05101,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L05102,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L05103,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L05104,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L05200,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L05201,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L05202,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L05203,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L05204,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L05300,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L05301,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L05302,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L05303,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L05304,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L05400,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L05401,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L05402,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L05403,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L05404,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L05500,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L05501,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L05502,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L05503,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L05504,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L05600,WEB,2026-06-01,2026-07-15,COMPLETED,2026-06-26,False,LOW,25000
L05601,EVENT,2026-05-28,2026-07-07,OVERDUE,,False,MEDIUM,40000
L05602,CAMPAIGN,2026-05-24,2026-06-29,CONVERTED,2026-06-26,True,HIGH,55000
L05603,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L05604,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
L05700,WEB,2026-06-01,2026-07-15,OVERDUE,,False,LOW,25000
L05701,EVENT,2026-05-28,2026-07-07,CONVERTED,2026-06-26,True,MEDIUM,40000
L05702,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L05703,BRANCH,2026-05-20,2026-06-21,PENDING,,False,URGENT,70000
L05704,CLIENT,2026-05-16,2026-06-13,COMPLETED,2026-06-26,False,MEDIUM,85000
L05800,WEB,2026-06-01,2026-07-15,CONVERTED,2026-06-26,True,LOW,25000
L05801,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L05802,CAMPAIGN,2026-05-24,2026-06-29,PENDING,,False,HIGH,55000
L05803,BRANCH,2026-05-20,2026-06-21,COMPLETED,2026-06-26,False,URGENT,70000
L05804,CLIENT,2026-05-16,2026-06-13,OVERDUE,,False,MEDIUM,85000
L05900,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L05901,EVENT,2026-05-28,2026-07-07,PENDING,,False,MEDIUM,40000
L05902,CAMPAIGN,2026-05-24,2026-06-29,COMPLETED,2026-06-26,False,HIGH,55000
L05903,BRANCH,2026-05-20,2026-06-21,OVERDUE,,False,URGENT,70000
L05904,CLIENT,2026-05-16,2026-06-13,CONVERTED,2026-06-26,True,MEDIUM,85000
L06000,WEB,2026-06-01,2026-07-15,PENDING,,False,LOW,25000
L06001,EVENT,2026-05-28,2026-07-07,COMPLETED,2026-06-26,False,MEDIUM,40000
L06002,CAMPAIGN,2026-05-24,2026-06-29,OVERDUE,,False,HIGH,55000
L06003,BRANCH,2026-05-20,2026-06-21,CONVERTED,2026-06-26,True,URGENT,70000
L06004,CLIENT,2026-05-16,2026-06-13,PENDING,,False,MEDIUM,85000
