from_id,to_id,relationship_start,primary_flag
A035,H0207,2019-05-09,True
A035,H0208,2019-04-09,True
A035,H0209,2019-03-10,True
A035,H0210,2019-02-08,True
A036,H0211,2019-01-09,True
A036,H0212,2018-12-10,True
A036,H0213,2018-11-10,True
A036,H0214,2018-10-11,True
A036,H0215,2018-09-11,True
A036,H0216,2018-08-12,True
A037,H0217,2018-07-13,True
A037,H0218,2018-06-13,True
A037,H0219,2018-05-14,True
A037,H0220,2018-04-14,True
A037,H0221,2018-03-15,True
A037,H0222,2018-02-13,True
A038,H0223,2018-01-14,True
A038,H0224,2017-12-15,True
A038,H0225,2017-11-15,True
A038,H0226,2017-10-16,True
A038,H0227,2017-09-16,True
A038,H0228,2017-08-17,True
A039,H0229,2017-07-18,True
A039,H0230,2017-06-18,True
A039,H0231,2017-05-19,True
A039,H0232,2017-04-19,True
A039,H0233,2017-03-20,True
A039,H0234,2017-02-18,True
A040,H0235,2017-01-19,True
A040,H0236,2016-12-20,True
A040,H0237,2016-11-20,True
A040,H0238,2016-10-21,True
A040,H0239,2016-09-21,True
A040,H0240,2026-07-01,True
A041,H0241,2026-06-01,True
A041,H0242,2026-05-02,True
A041,H0243,2026-04-02,True
A041,H0244,2026-03-03,True
A041,H0245,2026-02-01,True
A041,H0246,2026-01-02,True
A042,H0247,2025-12-03,True
A042,H0248,2025-11-03,True
A042,H0249,2025-10-04,True
A042,H0250,2025-09-04,True
A042,H0251,2025-08-05,True
A042,H0252,2025-07-06,True
A043,H0253,2025-06-06,True
A043,H0254,2025-05-07,True
A043,H0255,2025-04-07,True
A043,H0256,2025-03-08,True
A043,H0257,2025-02-06,True
A043,H0258,2025-01-07,True
A044,H0259,2024-12-08,True
A044,H0260,2024-11-08,True
A044,H0261,2024-10-09,True
A044,H0262,2024-09-09,True
A044,H0263,2024-08-10,True
A044,H0264,2024-07-11,True
A045,H0265,2024-06-11,True
A045,H0266,2024-05-12,True
A045,H0267,2024-04-12,True
A045,H0268,2024-03-13,True
A045,H0269,2024-02-12,True
A045,H0270,2024-01-13,True
A046,H0271,2023-12-14,True
A046,H0272,2023-11-14,True
A046,H0273,2023-10-15,True
A046,H0274,2023-09-15,True
A046,H0275,2023-08-16,True
A046,H0276,2023-07-17,True
A047,H0277,2023-06-17,True
A047,H0278,2023-05-18,True
A047,H0279,2023-04-18,True
A047,H0280,2023-03-19,True
A047,H0281,2023-02-17,True
A047,H0282,2023-01-18,True
A048,H0283,2022-12-19,True
A048,H0284,2022-11-19,True
A048,H0285,2022-10-20,True
A048,H0286,2022-09-20,True
A048,H0287,2022-08-21,True
A048,H0288,2022-07-22,True
A049,H0289,2022-06-22,True
A049,H0290,2022-05-23,True
A049,H0291,2022-04-23,True
A049,H0292,2022-03-24,True
A049,H0293,2022-02-22,True
A049,H0294,2022-01-23,True
A050,H0295,2021-12-24,True
A050,H0296,2021-11-24,True
A050,H0297,2021-10-25,True
A050,H0298,2021-09-25,True
A050,H0299,2021-08-26,True
A050,H0300,2021-07-27,True
A051,H0301,2021-06-27,True
A051,H0302,2021-05-28,True
A051,H0303,2021-04-28,True
A051,H0304,2021-03-29,True
A051,H0305,2021-02-27,True
A051,H0306,2021-01-28,True
A052,H0307,2020-12-29,True
A052,H0308,2020-11-29,True
A052,H0309,2020-10-30,True
A052,H0310,2020-09-30,True
A052,H0311,2020-08-31,True
A052,H0312,2020-08-01,True
A053,H0313,2020-07-02,True
A053,H0314,2020-06-02,True
A053,H0315,2020-05-03,True
A053,H0316,2020-04-03,True
A053,H0317,2020-03-04,True
A053,H0318,2020-02-03,True
A054,H0319,2020-01-04,True
A054,H0320,2019-12-05,True
A054,H0321,2019-11-05,True
A054,H0322,2019-10-06,True
A054,H0323,2019-09-06,True
A054,H0324,2019-08-07,True
A055,H0325,2019-07-08,True
A055,H0326,2019-06-08,True
A055,H0327,2019-05-09,True
A055,H0328,2019-04-09,True
A055,H0329,2019-03-10,True
A055,H0330,2019-02-08,True
A056,H0331,2019-01-09,True
A056,H0332,2018-12-10,True
A056,H0333,2018-11-10,True
A056,H0334,2018-10-11,True
A056,H0335,2018-09-11,True
A056,H0336,2018-08-12,True
A057,H0337,2018-07-13,True
A057,H0338,2018-06-13,True
A057,H0339,2018-05-14,True
A057,H0340,2018-04-14,True
A057,H0341,2018-03-15,True
A057,H0342,2018-02-13,True
A058,H0343,2018-01-14,True
A058,H0344,2017-12-15,True
A058,H0345,2017-11-15,True
A058,H0346,2017-10-16,True
A058,H0347,2017-09-16,True
A058,H0348,2017-08-17,True
A059,H0349,2017-07-18,True
A059,H0350,2017-06-18,True
A059,H0351,2017-05-19,True
A059,H0352,2017-04-19,True
A059,H0353,2017-03-20,True
A059,H0354,2017-02-18,True
A060,H0355,2017-01-19,True
A060,H0356,2016-12-20,True
A060,H0357,2016-11-20,True
A060,H0358,2016-10-21,True
A060,H0359,2016-09-21,True
A060,H0360,2026-07-01,True
