from_id,to_id,market_value,allocation_pct,as_of_date
AC00016,P011,34468.72,20,2026-07-01
AC00016,P032,34468.72,20,2026-07-01
AC00017,P056,50600.18,35,2026-07-01
AC00017,P024,36142.99,25,2026-07-01
AC00017,P011,28914.39,20,2026-07-01
AC00017,P007,28914.39,20,2026-07-01
AC00018,P009,61844.67,35,2026-07-01
AC00018,P016,44174.76,25,2026-07-01
AC00018,P033,35339.81,20,2026-07-01
AC00018,P029,35339.81,20,2026-07-01
AC00019,P042,51847.42,35,2026-07-01
AC00019,P043,37033.88,25,2026-07-01
AC00019,P064,29627.1,20,2026-07-01
AC00019,P014,29627.1,20,2026-07-01
AC00020,P038,63369.07,35,2026-07-01
AC00020,P024,45263.62,25,2026-07-01
AC00020,P060,36210.9,20,2026-07-01
AC00020,P044,36210.9,20,2026-07-01
AC00021,P008,53094.67,35,2026-07-01
AC00021,P064,37924.76,25,2026-07-01
AC00021,P038,30339.81,20,2026-07-01
AC00021,P044,30339.81,20,2026-07-01
AC00022,P027,64893.48,35,2026-07-01
AC00022,P062,46352.49,25,2026-07-01
AC00022,P014,37081.99,20,2026-07-01
AC00022,P063,37081.99,20,2026-07-01
AC00023,P027,54341.91,35,2026-07-01
AC00023,P043,38815.65,25,2026-07-01
AC00023,P028,31052.52,20,2026-07-01
AC00023,P031,31052.52,20,2026-07-01
AC00024,P049,66417.89,35,2026-07-01
AC00024,P011,47441.35,25,2026-07-01
AC00024,P035,37953.08,20,2026-07-01
AC00024,P007,37953.08,20,2026-07-01
AC00025,P038,55589.15,35,2026-07-01
AC00025,P062,39706.54,25,2026-07-01
AC00025,P057,31765.23,20,2026-07-01
AC00025,P014,31765.23,20,2026-07-01
AC00026,P056,67942.3,35,2026-07-01
AC00026,P054,48530.21,25,2026-07-01
AC00026,P030,38824.17,20,2026-07-01
AC00026,P043,38824.17,20,2026-07-01
AC00027,P017,56836.4,35,2026-07-01
AC00027,P043,40597.43,25,2026-07-01
AC00027,P060,32477.94,20,2026-07-01
AC00027,P049,32477.94,20,2026-07-01
AC00028,P008,69466.7,35,2026-07-01
AC00028,P060,49619.07,25,2026-07-01
AC00028,P031,39695.26,20,2026-07-01
AC00028,P003,39695.26,20,2026-07-01
AC00029,P001,58083.64,35,2026-07-01
AC00029,P023,41488.31,25,2026-07-01
AC00029,P028,33190.65,20,2026-07-01
AC00029,P056,33190.65,20,2026-07-01
AC00030,P020,70991.11,35,2026-07-01
AC00030,P061,50707.94,25,2026-07-01
AC00030,P022,40566.35,20,2026-07-01
AC00030,P002,40566.35,20,2026-07-01
AC00031,P052,59330.88,35,2026-07-01
AC00031,P031,42379.2,25,2026-07-01
AC00031,P058,33903.36,20,2026-07-01
AC00031,P053,33903.36,20,2026-07-01
AC00032,P059,72515.52,35,2026-07-01
AC00032,P041,51796.8,25,2026-07-01
AC00032,P048,41437.44,20,2026-07-01
AC00032,P037,41437.44,20,2026-07-01
AC00033,P003,60578.12,35,2026-07-01
AC00033,P012,43270.09,25,2026-07-01
AC00033,P009,34616.07,20,2026-07-01
AC00033,P063,34616.07,20,2026-07-01
AC00034,P037,74039.93,35,2026-07-01
AC00034,P021,52885.66,25,2026-07-01
AC00034,P050,42308.53,20,2026-07-01
AC00034,P052,42308.53,20,2026-07-01
AC00035,P025,61825.36,35,2026-07-01
AC00035,P019,44160.97,25,2026-07-01
AC00035,P036,35328.78,20,2026-07-01
AC00035,P056,35328.78,20,2026-07-01
AC00036,P030,75564.33,35,2026-07-01
AC00036,P035,53974.53,25,2026-07-01
AC00036,P040,43179.62,20,2026-07-01
AC00036,P054,43179.62,20,2026-07-01
AC00037,P022,63072.61,35,2026-07-01
AC00037,P037,45051.86,25,2026-07-01
AC00037,P005,36041.49,20,2026-07-01
AC00037,P019,36041.49,20,2026-07-01
AC00038,P032,77088.74,35,2026-07-01
AC00038,P056,55063.39,25,2026-07-01
AC00038,P052,44050.71,20,2026-07-01
AC00038,P016,44050.71,20,2026-07-01
AC00039,P063,64319.85,35,2026-07-01
AC00039,P027,45942.75,25,2026-07-01
AC00039,P010,36754.2,20,2026-07-01
AC00039,P022,36754.2,20,2026-07-01
AC00040,P029,78613.15,35,2026-07-01
AC00040,P026,56152.25,25,2026-07-01
AC00040,P062,44921.8,20,2026-07-01
AC00040,P018,44921.8,20,2026-07-01
AC00041,P007,65567.09,35,2026-07-01
AC00041,P032,46833.64,25,2026-07-01
AC00041,P044,37466.91,20,2026-07-01
AC00041,P017,37466.91,20,2026-07-01
AC00042,P001,80137.56,35,2026-07-01
AC00042,P052,57241.11,25,2026-07-01
AC00042,P053,45792.89,20,2026-07-01
AC00042,P017,45792.89,20,2026-07-01
AC00043,P028,66814.33,35,2026-07-01
AC00043,P055,47724.53,25,2026-07-01
AC00043,P041,38179.62,20,2026-07-01
AC00043,P050,38179.62,20,2026-07-01
AC00044,P029,81661.96,35,2026-07-01
AC00044,P063,58329.97,25,2026-07-01
AC00044,P045,46663.98,20,2026-07-01
AC00044,P023,46663.98,20,2026-07-01
AC00045,P063,68061.58,35,2026-07-01
AC00045,P001,48615.41,25,2026-07-01
AC00045,P002,38892.33,20,2026-07-01
AC00045,P052,38892.33,20,2026-07-01
AC00046,P061,83186.37,35,2026-07-01
AC00046,P014,59418.84,25,2026-07-01
AC00046,P012,47535.07,20,2026-07-01
AC00046,P062,47535.07,20,2026-07-01
AC00047,P063,69308.82,35,2026-07-01
AC00047,P009,49506.3,25,2026-07-01
AC00047,P015,39605.04,20,2026-07-01
AC00047,P010,39605.04,20,2026-07-01
AC00048,P055,84710.78,35,2026-07-01
AC00048,P030,60507.7,25,2026-07-01
AC00048,P043,48406.16,20,2026-07-01
AC00048,P005,48406.16,20,2026-07-01
AC00049,P040,70556.06,35,2026-07-01
AC00049,P037,50397.19,25,2026-07-01
AC00049,P033,40317.75,20,2026-07-01
AC00049,P031,40317.75,20,2026-07-01
AC00050,P036,86235.19,35,2026-07-01
AC00050,P049,61596.56,25,2026-07-01
AC00050,P015,49277.25,20,2026-07-01
AC00050,P003,49277.25,20,2026-07-01
AC00051,P031,71803.3,35,2026-07-01
AC00051,P020,51288.07,25,2026-07-01
AC00051,P048,41030.46,20,2026-07-01
AC00051,P010,41030.46,20,2026-07-01
AC00052,P028,87759.6,35,2026-07-01
AC00052,P031,62685.43,25,2026-07-01
AC00052,P008,50148.34,20,2026-07-01
AC00052,P041,50148.34,20,2026-07-01
AC00053,P044,73050.55,35,2026-07-01
AC00053,P059,52178.96,25,2026-07-01
AC00053,P037,41743.17,20,2026-07-01
AC00053,P011,41743.17,20,2026-07-01
AC00054,P034,89284.0,35,2026-07-01
AC00054,P029,63774.29,25,2026-07-01
AC00054,P043,51019.43,20,2026-07-01
AC00054,P020,51019.43,20,2026-07-01
AC00055,P031,74297.79,35,2026-07-01
AC00055,P047,53069.85,25,2026-07-01
AC00055,P053,42455.88,20,2026-07-01
AC00055,P048,42455.88,20,2026-07-01
AC00056,P044,90808.41,35,2026-07-01
AC00056,P028,64863.15,25,2026-07-01
AC00056,P025,51890.52,20,2026-07-01
AC00056,P010,51890.52,20,2026-07-01
AC00057,P005,75545.03,35,2026-07-01
AC00057,P042,53960.74,25,2026-07-01
AC00057,P024,43168.59,20,2026-07-01
AC00057,P044,43168.59,20,2026-07-01
AC00058,P026,92332.82,35,2026-07-01
AC00058,P061,65952.01,25,2026-07-01
AC00058,P001,52761.61,20,2026-07-01
AC00058,P053,52761.61,20,2026-07-01
AC00059,P040,76792.27,35,2026-07-01
AC00059,P025,54851.62,25,2026-07-01
AC00059,P033,43881.3,20,2026-07-01
AC00059,P008,43881.3,20,2026-07-01
AC00060,P014,93857.22,35,2026-07-01
AC00060,P035,67040.88,25,2026-07-01
AC00060,P020,53632.7,20,2026-07-01
AC00060,P021,53632.7,20,2026-07-01
AC00061,P032,78039.52,35,2026-07-01
AC00061,P064,55742.51,25,2026-07-01
AC00061,P055,44594.01,20,2026-07-01
AC00061,P046,44594.01,20,2026-07-01
AC00062,P049,95381.63,35,2026-07-01
AC00062,P052,68129.74,25,2026-07-01
AC00062,P012,54503.79,20,2026-07-01
AC00062,P027,54503.79,20,2026-07-01
AC00063,P010,79286.76,35,2026-07-01
AC00063,P002,56633.4,25,2026-07-01
AC00063,P032,45306.72,20,2026-07-01
AC00063,P047,45306.72,20,2026-07-01
AC00064,P042,96906.04,35,2026-07-01
AC00064,P014,69218.6,25,2026-07-01
AC00064,P001,55374.88,20,2026-07-01
AC00064,P031,55374.88,20,2026-07-01
AC00065,P063,80534.0,35,2026-07-01
AC00065,P026,57524.29,25,2026-07-01
AC00065,P045,46019.43,20,2026-07-01
AC00065,P027,46019.43,20,2026-07-01
AC00066,P059,98430.45,35,2026-07-01
AC00066,P052,70307.46,25,2026-07-01
AC00066,P027,56245.97,20,2026-07-01
AC00066,P045,56245.97,20,2026-07-01
AC00067,P020,81781.24,35,2026-07-01
AC00067,P048,58415.18,25,2026-07-01
AC00067,P052,46732.14,20,2026-07-01
AC00067,P044,46732.14,20,2026-07-01
AC00068,P053,99954.85,35,2026-07-01
AC00068,P039,71396.32,25,2026-07-01
AC00068,P057,57117.06,20,2026-07-01
AC00068,P044,57117.06,20,2026-07-01
AC00069,P052,83028.49,35,2026-07-01
AC00069,P015,59306.06,25,2026-07-01
AC00069,P001,47444.85,20,2026-07-01
AC00069,P037,47444.85,20,2026-07-01
AC00070,P001,101479.26,35,2026-07-01
AC00070,P055,72485.19,25,2026-07-01
AC00070,P002,57988.15,20,2026-07-01
AC00070,P038,57988.15,20,2026-07-01
AC00071,P047,84275.73,35,2026-07-01
AC00071,P031,60196.95,25,2026-07-01
AC00071,P001,48157.56,20,2026-07-01
AC00071,P054,48157.56,20,2026-07-01
AC00072,P028,103003.67,35,2026-07-01
AC00072,P018,73574.05,25,2026-07-01
AC00072,P031,58859.24,20,2026-07-01
AC00072,P006,58859.24,20,2026-07-01
AC00073,P035,85522.97,35,2026-07-01
AC00073,P042,61087.84,25,2026-07-01
AC00073,P061,48870.27,20,2026-07-01
AC00073,P007,48870.27,20,2026-07-01
AC00074,P031,104528.08,35,2026-07-01
AC00074,P025,74662.91,25,2026-07-01
AC00074,P036,59730.33,20,2026-07-01
AC00074,P033,59730.33,20,2026-07-01
AC00075,P036,86770.21,35,2026-07-01
AC00075,P029,61978.72,25,2026-07-01
AC00075,P024,49582.98,20,2026-07-01
AC00075,P039,49582.98,20,2026-07-01
AC00076,P007,106052.48,35,2026-07-01
AC00076,P005,75751.77,25,2026-07-01
AC00076,P024,60601.42,20,2026-07-01
AC00076,P025,60601.42,20,2026-07-01
AC00077,P045,88017.46,35,2026-07-01
AC00077,P059,62869.61,25,2026-07-01
AC00077,P047,50295.69,20,2026-07-01
AC00077,P064,50295.69,20,2026-07-01
AC00078,P027,107576.89,35,2026-07-01
AC00078,P057,76840.64,25,2026-07-01
AC00078,P047,61472.51,20,2026-07-01
AC00078,P054,61472.51,20,2026-07-01
AC00079,P004,89264.7,35,2026-07-01
AC00079,P005,63760.5,25,2026-07-01
AC00079,P044,51008.4,20,2026-07-01
AC00079,P010,51008.4,20,2026-07-01
AC00080,P033,109101.3,35,2026-07-01
AC00080,P049,77929.5,25,2026-07-01
AC00080,P016,62343.6,20,2026-07-01
AC00080,P025,62343.6,20,2026-07-01
AC00081,P063,90511.94,35,2026-07-01
AC00081,P048,64651.39,25,2026-07-01
AC00081,P012,51721.11,20,2026-07-01
AC00081,P030,51721.11,20,2026-07-01
AC00082,P002,110625.71,35,2026-07-01
AC00082,P001,79018.36,25,2026-07-01
AC00082,P037,63214.69,20,2026-07-01
AC00082,P054,63214.69,20,2026-07-01
AC00083,P041,91759.18,35,2026-07-01
AC00083,P026,65542.27,25,2026-07-01
AC00083,P011,52433.82,20,2026-07-01
AC00083,P014,52433.82,20,2026-07-01
AC00084,P044,112150.12,35,2026-07-01
AC00084,P010,80107.23,25,2026-07-01
AC00084,P061,64085.78,20,2026-07-01
AC00084,P043,64085.78,20,2026-07-01
AC00085,P008,93006.43,35,2026-07-01
AC00085,P006,66433.16,25,2026-07-01
AC00085,P027,53146.53,20,2026-07-01
AC00085,P003,53146.53,20,2026-07-01
AC00086,P046,113674.52,35,2026-07-01
AC00086,P032,81196.09,25,2026-07-01
AC00086,P012,64956.87,20,2026-07-01
AC00086,P049,64956.87,20,2026-07-01
AC00087,P025,94253.67,35,2026-07-01
AC00087,P051,67324.05,25,2026-07-01
AC00087,P058,53859.24,20,2026-07-01
AC00087,P061,53859.24,20,2026-07-01
AC00088,P046,115198.93,35,2026-07-01
AC00088,P050,82284.95,25,2026-07-01
AC00088,P036,65827.96,20,2026-07-01
AC00088,P043,65827.96,20,2026-07-01
AC00089,P020,95500.91,35,2026-07-01
AC00089,P039,68214.94,25,2026-07-01
AC00089,P022,54571.95,20,2026-07-01
AC00089,P029,54571.95,20,2026-07-01
AC00090,P021,116723.34,35,2026-07-01
AC00090,P019,83373.81,25,2026-07-01
AC00090,P002,66699.05,20,2026-07-01
AC00090,P043,66699.05,20,2026-07-01
AC00091,P032,96748.15,35,2026-07-01
AC00091,P036,69105.82,25,2026-07-01
AC00091,P002,55284.66,20,2026-07-01
AC00091,P048,55284.66,20,2026-07-01
AC00092,P056,118247.74,35,2026-07-01
AC00092,P005,84462.68,25,2026-07-01
AC00092,P030,67570.14,20,2026-07-01
AC00092,P014,67570.14,20,2026-07-01
AC00093,P005,97995.4,35,2026-07-01
AC00093,P010,69996.71,25,2026-07-01
AC00093,P035,55997.37,20,2026-07-01
AC00093,P064,55997.37,20,2026-07-01
AC00094,P049,119772.15,35,2026-07-01
AC00094,P044,85551.54,25,2026-07-01
AC00094,P015,68441.23,20,2026-07-01
AC00094,P018,68441.23,20,2026-07-01
AC00095,P003,99242.64,35,2026-07-01
AC00095,P025,70887.6,25,2026-07-01
AC00095,P037,56710.08,20,2026-07-01
AC00095,P063,56710.08,20,2026-07-01
AC00096,P060,121296.56,35,2026-07-01
AC00096,P046,86640.4,25,2026-07-01
AC00096,P020,69312.32,20,2026-07-01
AC00096,P004,69312.32,20,2026-07-01
AC00097,P049,100489.88,35,2026-07-01
AC00097,P056,71778.49,25,2026-07-01
AC00097,P059,57422.79,20,2026-07-01
AC00097,P045,57422.79,20,2026-07-01
AC00098,P050,122820.97,35,2026-07-01
AC00098,P008,87729.26,25,2026-07-01
AC00098,P055,70183.41,20,2026-07-01
AC00098,P040,70183.41,20,2026-07-01
AC00099,P034,101737.12,35,2026-07-01
AC00099,P014,72669.38,25,2026-07-01
AC00099,P047,58135.5,20,2026-07-01
AC00099,P005,58135.5,20,2026-07-01
AC00100,P038,124345.37,35,2026-07-01
AC00100,P056,88818.12,25,2026-07-01
AC00100,P048,71054.5,20,2026-07-01
AC00100,P026,71054.5,20,2026-07-01
AC00101,P039,102984.37,35,2026-07-01
AC00101,P004,73560.26,25,2026-07-01
AC00101,P031,58848.21,20,2026-07-01
AC00101,P045,58848.21,20,2026-07-01
AC00102,P010,125869.78,35,2026-07-01
AC00102,P063,89906.99,25,2026-07-01
AC00102,P019,71925.59,20,2026-07-01
AC00102,P064,71925.59,20,2026-07-01
AC00103,P033,104231.61,35,2026-07-01
AC00103,P039,74451.15,25,2026-07-01
AC00103,P041,59560.92,20,2026-07-01
AC00103,P017,59560.92,20,2026-07-01
AC00104,P055,127394.19,35,2026-07-01
AC00104,P020,90995.85,25,2026-07-01
AC00104,P018,72796.68,20,2026-07-01
AC00104,P023,72796.68,20,2026-07-01
AC00105,P016,105478.85,35,2026-07-01
AC00105,P055,75342.04,25,2026-07-01
AC00105,P026,60273.63,20,2026-07-01
AC00105,P061,60273.63,20,2026-07-01
AC00106,P055,128918.6,35,2026-07-01
AC00106,P062,92084.71,25,2026-07-01
AC00106,P043,73667.77,20,2026-07-01
AC00106,P007,73667.77,20,2026-07-01
AC00107,P004,106726.1,35,2026-07-01
AC00107,P003,76232.93,25,2026-07-01
AC00107,P007,60986.34,20,2026-07-01
AC00107,P006,60986.34,20,2026-07-01
AC00108,P055,130443.0,35,2026-07-01
AC00108,P026,93173.57,25,2026-07-01
AC00108,P051,74538.86,20,2026-07-01
AC00108,P053,74538.86,20,2026-07-01
AC00109,P042,107973.34,35,2026-07-01
AC00109,P004,77123.81,25,2026-07-01
AC00109,P062,61699.05,20,2026-07-01
AC00109,P026,61699.05,20,2026-07-01
AC00110,P033,131967.41,35,2026-07-01
AC00110,P020,94262.44,25,2026-07-01
AC00110,P011,75409.95,20,2026-07-01
AC00110,P052,75409.95,20,2026-07-01
AC00111,P022,109220.58,35,2026-07-01
AC00111,P012,78014.7,25,2026-07-01
AC00111,P032,62411.76,20,2026-07-01
AC00111,P009,62411.76,20,2026-07-01
AC00112,P046,133491.82,35,2026-07-01
AC00112,P007,95351.3,25,2026-07-01
AC00112,P049,76281.04,20,2026-07-01
AC00112,P025,76281.04,20,2026-07-01
AC00113,P054,110467.82,35,2026-07-01
AC00113,P004,78905.59,25,2026-07-01
AC00113,P028,63124.47,20,2026-07-01
AC00113,P006,63124.47,20,2026-07-01
AC00114,P056,135016.23,35,2026-07-01
AC00114,P008,96440.16,25,2026-07-01
AC00114,P060,77152.13,20,2026-07-01
AC00114,P053,77152.13,20,2026-07-01
AC00115,P021,111715.07,35,2026-07-01
AC00115,P014,79796.48,25,2026-07-01
AC00115,P028,63837.18,20,2026-07-01
AC00115,P001,63837.18,20,2026-07-01
AC00116,P006,136540.63,35,2026-07-01
AC00116,P033,97529.02,25,2026-07-01
AC00116,P045,78023.22,20,2026-07-01
AC00116,P055,78023.22,20,2026-07-01
AC00117,P034,112962.31,35,2026-07-01
AC00117,P035,80687.36,25,2026-07-01
AC00117,P046,64549.89,20,2026-07-01
AC00117,P033,64549.89,20,2026-07-01
AC00118,P032,138065.04,35,2026-07-01
AC00118,P029,98617.89,25,2026-07-01
AC00118,P023,78894.31,20,2026-07-01
AC00118,P057,78894.31,20,2026-07-01
AC00119,P046,114209.55,35,2026-07-01
AC00119,P023,81578.25,25,2026-07-01
AC00119,P056,65262.6,20,2026-07-01
AC00119,P064,65262.6,20,2026-07-01
AC00120,P003,139589.45,35,2026-07-01
AC00120,P041,99706.75,25,2026-07-01
AC00120,P050,79765.4,20,2026-07-01
AC00120,P012,79765.4,20,2026-07-01
AC00121,P048,115456.79,35,2026-07-01
AC00121,P009,82469.14,25,2026-07-01
AC00121,P061,65975.31,20,2026-07-01
AC00121,P027,65975.31,20,2026-07-01
AC00122,P053,141113.86,35,2026-07-01
AC00122,P029,100795.61,25,2026-07-01
AC00122,P039,80636.49,20,2026-07-01
AC00122,P047,80636.49,20,2026-07-01
AC00123,P056,116704.03,35,2026-07-01
AC00123,P040,83360.02,25,2026-07-01
AC00123,P054,66688.02,20,2026-07-01
AC00123,P009,66688.02,20,2026-07-01
AC00124,P039,142638.26,35,2026-07-01
AC00124,P019,101884.48,25,2026-07-01
AC00124,P057,81507.58,20,2026-07-01
AC00124,P003,81507.58,20,2026-07-01
AC00125,P024,117951.28,35,2026-07-01
AC00125,P052,84250.91,25,2026-07-01
AC00125,P040,67400.73,20,2026-07-01
AC00125,P009,67400.73,20,2026-07-01
AC00126,P018,144162.67,35,2026-07-01
AC00126,P060,102973.34,25,2026-07-01
AC00126,P006,82378.67,20,2026-07-01
AC00126,P048,82378.67,20,2026-07-01
AC00127,P034,119198.52,35,2026-07-01
AC00127,P016,85141.8,25,2026-07-01
AC00127,P059,68113.44,20,2026-07-01
AC00127,P056,68113.44,20,2026-07-01
AC00128,P032,145687.08,35,2026-07-01
AC00128,P024,104062.2,25,2026-07-01
AC00128,P009,83249.76,20,2026-07-01
AC00128,P031,83249.76,20,2026-07-01
AC00129,P003,120445.76,35,2026-07-01
AC00129,P024,86032.69,25,2026-07-01
AC00129,P049,68826.15,20,2026-07-01
AC00129,P062,68826.15,20,2026-07-01
AC00130,P055,147211.49,35,2026-07-01
AC00130,P039,105151.06,25,2026-07-01
AC00130,P024,84120.85,20,2026-07-01
AC00130,P006,84120.85,20,2026-07-01
AC00131,P045,121693.0,35,2026-07-01
AC00131,P048,86923.57,25,2026-07-01
AC00131,P055,69538.86,20,2026-07-01
AC00131,P053,69538.86,20,2026-07-01
AC00132,P045,148735.89,35,2026-07-01
AC00132,P020,106239.93,25,2026-07-01
AC00132,P024,84991.94,20,2026-07-01
AC00132,P035,84991.94,20,2026-07-01
AC00133,P052,122940.25,35,2026-07-01
AC00133,P015,87814.46,25,2026-07-01
AC00133,P055,70251.57,20,2026-07-01
AC00133,P010,70251.57,20,2026-07-01
AC00134,P003,150260.3,35,2026-07-01
AC00134,P035,107328.79,25,2026-07-01
AC00134,P005,85863.03,20,2026-07-01
AC00134,P021,85863.03,20,2026-07-01
AC00135,P010,124187.49,35,2026-07-01
AC00135,P003,88705.35,25,2026-07-01
AC00135,P051,70964.28,20,2026-07-01
AC00135,P033,70964.28,20,2026-07-01
AC00136,P045,151784.71,35,2026-07-01
AC00136,P058,108417.65,25,2026-07-01
AC00136,P051,86734.12,20,2026-07-01
AC00136,P014,86734.12,20,2026-07-01
AC00137,P046,125434.73,35,2026-07-01
AC00137,P037,89596.24,25,2026-07-01
AC00137,P029,71676.99,20,2026-07-01
AC00137,P009,71676.99,20,2026-07-01
AC00138,P059,153309.12,35,2026-07-01
AC00138,P020,109506.51,25,2026-07-01
AC00138,P063,87605.21,20,2026-07-01
AC00138,P054,87605.21,20,2026-07-01
AC00139,P023,126681.97,35,2026-07-01
AC00139,P053,90487.12,25,2026-07-01
AC00139,P005,72389.7,20,2026-07-01
AC00139,P020,72389.7,20,2026-07-01
AC00140,P064,154833.52,35,2026-07-01
AC00140,P002,110595.38,25,2026-07-01
AC00140,P036,88476.3,20,2026-07-01
AC00140,P041,88476.3,20,2026-07-01
AC00141,P037,127929.22,35,2026-07-01
AC00141,P019,91378.01,25,2026-07-01
AC00141,P055,73102.41,20,2026-07-01
AC00141,P030,73102.41,20,2026-07-01
AC00142,P061,156357.93,35,2026-07-01
AC00142,P050,111684.24,25,2026-07-01
AC00142,P021,89347.39,20,2026-07-01
AC00142,P024,89347.39,20,2026-07-01
AC00143,P036,129176.46,35,2026-07-01
AC00143,P005,92268.9,25,2026-07-01
AC00143,P009,73815.12,20,2026-07-01
AC00143,P056,73815.12,20,2026-07-01
AC00144,P047,157882.34,35,2026-07-01
AC00144,P060,112773.1,25,2026-07-01
AC00144,P061,90218.48,20,2026-07-01
AC00144,P014,90218.48,20,2026-07-01
AC00145,P059,130423.7,35,2026-07-01
AC00145,P023,93159.79,25,2026-07-01
AC00145,P044,74527.83,20,2026-07-01
AC00145,P048,74527.83,20,2026-07-01
AC00146,P040,159406.75,35,2026-07-01
AC00146,P024,113861.96,25,2026-07-01
AC00146,P027,91089.57,20,2026-07-01
AC00146,P033,91089.57,20,2026-07-01
AC00147,P040,131670.95,35,2026-07-01
AC00147,P014,94050.68,25,2026-07-01
AC00147,P051,75240.54,20,2026-07-01
AC00147,P003,75240.54,20,2026-07-01
AC00148,P044,160931.15,35,2026-07-01
AC00148,P022,114950.82,25,2026-07-01
AC00148,P004,91960.66,20,2026-07-01
AC00148,P018,91960.66,20,2026-07-01
AC00149,P050,132918.19,35,2026-07-01
AC00149,P039,94941.56,25,2026-07-01
AC00149,P004,75953.25,20,2026-07-01
AC00149,P040,75953.25,20,2026-07-01
AC00150,P059,162455.56,35,2026-07-01
AC00150,P013,116039.69,25,2026-07-01
AC00150,P049,92831.75,20,2026-07-01
AC00150,P022,92831.75,20,2026-07-01
AC00151,P010,134165.43,35,2026-07-01
AC00151,P001,95832.45,25,2026-07-01
AC00151,P039,76665.96,20,2026-07-01
AC00151,P050,76665.96,20,2026-07-01
AC00152,P002,163979.97,35,2026-07-01
AC00152,P029,117128.55,25,2026-07-01
AC00152,P024,93702.84,20,2026-07-01
AC00152,P012,93702.84,20,2026-07-01
AC00153,P018,135412.67,35,2026-07-01
AC00153,P044,96723.34,25,2026-07-01
AC00153,P011,77378.67,20,2026-07-01
AC00153,P053,77378.67,20,2026-07-01
AC00154,P012,165504.38,35,2026-07-01
AC00154,P001,118217.41,25,2026-07-01
AC00154,P029,94573.93,20,2026-07-01
AC00154,P024,94573.93,20,2026-07-01
AC00155,P002,136659.92,35,2026-07-01
AC00155,P010,97614.23,25,2026-07-01
AC00155,P018,78091.38,20,2026-07-01
AC00155,P059,78091.38,20,2026-07-01
AC00156,P034,167028.78,35,2026-07-01
AC00156,P050,119306.27,25,2026-07-01
AC00156,P058,95445.02,20,2026-07-01
AC00156,P015,95445.02,20,2026-07-01
AC00157,P043,137907.16,35,2026-07-01
AC00157,P024,98505.11,25,2026-07-01
AC00157,P039,78804.09,20,2026-07-01
AC00157,P009,78804.09,20,2026-07-01
AC00158,P044,168553.19,35,2026-07-01
AC00158,P015,120395.14,25,2026-07-01
AC00158,P043,96316.11,20,2026-07-01
AC00158,P009,96316.11,20,2026-07-01
AC00159,P059,139154.4,35,2026-07-01
AC00159,P012,99396.0,25,2026-07-01
