from_id,to_id,ownership_pct
H0046,AC00091,100.0
H0046,AC00092,100.0
H0047,AC00093,100.0
H0047,AC00094,100.0
H0048,AC00095,100.0
H0048,AC00096,100.0
H0049,AC00097,100.0
H0049,AC00098,100.0
H0050,AC00099,100.0
H0050,AC00100,100.0
H0051,AC00101,100.0
H0051,AC00102,100.0
H0052,AC00103,100.0
H0052,AC00104,100.0
H0053,AC00105,100.0
H0053,AC00106,100.0
H0054,AC00107,100.0
H0054,AC00108,100.0
H0055,AC00109,100.0
H0055,AC00110,100.0
H0056,AC00111,100.0
H0056,AC00112,100.0
H0057,AC00113,100.0
H0057,AC00114,100.0
H0058,AC00115,100.0
H0058,AC00116,100.0
H0059,AC00117,100.0
H0059,AC00118,100.0
H0060,AC00119,100.0
H0060,AC00120,100.0
H0061,AC00121,100.0
H0061,AC00122,100.0
H0062,AC00123,100.0
H0062,AC00124,100.0
H0063,AC00125,100.0
H0063,AC00126,100.0
H0064,AC00127,100.0
H0064,AC00128,100.0
H0065,AC00129,100.0
H0065,AC00130,100.0
H0066,AC00131,100.0
H0066,AC00132,100.0
H0067,AC00133,100.0
H0067,AC00134,100.0
H0068,AC00135,100.0
H0068,AC00136,100.0
H0069,AC00137,100.0
H0069,AC00138,100.0
H0070,AC00139,100.0
H0070,AC00140,100.0
H0071,AC00141,100.0
H0071,AC00142,100.0
H0072,AC00143,100.0
H0072,AC00144,100.0
H0073,AC00145,100.0
H0073,AC00146,100.0
H0074,AC00147,100.0
H0074,AC00148,100.0
H0075,AC00149,100.0
H0075,AC00150,100.0
H0076,AC00151,100.0
H0076,AC00152,100.0
H0077,AC00153,100.0
H0077,AC00154,100.0
H0078,AC00155,100.0
H0078,AC00156,100.0
H0079,AC00157,100.0
H0079,AC00158,100.0
H0080,AC00159,100.0
H0080,AC00160,100.0
H0081,AC00161,100.0
H0081,AC00162,100.0
H0082,AC00163,100.0
H0082,AC00164,100.0
H0083,AC00165,100.0
H0083,AC00166,100.0
H0084,AC00167,100.0
H0084,AC00168,100.0
H0085,AC00169,100.0
H0085,AC00170,100.0
H0086,AC00171,100.0
H0086,AC00172,100.0
H0087,AC00173,100.0
H0087,AC00174,100.0
H0088,AC00175,100.0
H0088,AC00176,100.0
H0089,AC00177,100.0
H0089,AC00178,100.0
H0090,AC00179,100.0
H0090,AC00180,100.0
H0091,AC00181,100.0
H0091,AC00182,100.0
H0092,AC00183,100.0
H0092,AC00184,100.0
H0093,AC00185,100.0
H0093,AC00186,100.0
H0094,AC00187,100.0
H0094,AC00188,100.0
H0095,AC00189,100.0
H0095,AC00190,100.0
H0096,AC00191,100.0
H0096,AC00192,100.0
H0097,AC00193,100.0
H0097,AC00194,100.0
H0098,AC00195,100.0
H0098,AC00196,100.0
H0099,AC00197,100.0
H0099,AC00198,100.0
H0100,AC00199,100.0
H0100,AC00200,100.0
H0101,AC00201,100.0
H0101,AC00202,100.0
H0102,AC00203,100.0
H0102,AC00204,100.0
H0103,AC00205,100.0
H0103,AC00206,100.0
H0104,AC00207,100.0
H0104,AC00208,100.0
H0105,AC00209,100.0
H0105,AC00210,100.0
H0106,AC00211,100.0
H0106,AC00212,100.0
H0107,AC00213,100.0
H0107,AC00214,100.0
H0108,AC00215,100.0
H0108,AC00216,100.0
H0109,AC00217,100.0
H0109,AC00218,100.0
H0110,AC00219,100.0
H0110,AC00220,100.0
H0111,AC00221,100.0
H0111,AC00222,100.0
H0112,AC00223,100.0
H0112,AC00224,100.0
H0113,AC00225,100.0
H0113,AC00226,100.0
H0114,AC00227,100.0
H0114,AC00228,100.0
H0115,AC00229,100.0
H0115,AC00230,100.0
H0116,AC00231,100.0
H0116,AC00232,100.0
H0117,AC00233,100.0
H0117,AC00234,100.0
H0118,AC00235,100.0
H0118,AC00236,100.0
H0119,AC00237,100.0
H0119,AC00238,100.0
H0120,AC00239,100.0
H0120,AC00240,100.0
H0121,AC00241,100.0
H0121,AC00242,100.0
H0122,AC00243,100.0
H0122,AC00244,100.0
H0123,AC00245,100.0
H0123,AC00246,100.0
H0124,AC00247,100.0
H0124,AC00248,100.0
H0125,AC00249,100.0
H0125,AC00250,100.0
H0126,AC00251,100.0
H0126,AC00252,100.0
H0127,AC00253,100.0
H0127,AC00254,100.0
H0128,AC00255,100.0
H0128,AC00256,100.0
H0129,AC00257,100.0
H0129,AC00258,100.0
H0130,AC00259,100.0
H0130,AC00260,100.0
H0131,AC00261,100.0
H0131,AC00262,100.0
H0132,AC00263,100.0
H0132,AC00264,100.0
H0133,AC00265,100.0
H0133,AC00266,100.0
H0134,AC00267,100.0
H0134,AC00268,100.0
H0135,AC00269,100.0
H0135,AC00270,100.0
H0136,AC00271,100.0
H0136,AC00272,100.0
H0137,AC00273,100.0
H0137,AC00274,100.0
H0138,AC00275,100.0
H0138,AC00276,100.0
H0139,AC00277,100.0
H0139,AC00278,100.0
H0140,AC00279,100.0
H0140,AC00280,100.0
H0141,AC00281,100.0
H0141,AC00282,100.0
H0142,AC00283,100.0
H0142,AC00284,100.0
H0143,AC00285,100.0
H0143,AC00286,100.0
H0144,AC00287,100.0
H0144,AC00288,100.0
H0145,AC00289,100.0
H0145,AC00290,100.0
H0146,AC00291,100.0
H0146,AC00292,100.0
H0147,AC00293,100.0
H0147,AC00294,100.0
H0148,AC00295,100.0
H0148,AC00296,100.0
H0149,AC00297,100.0
H0149,AC00298,100.0
H0150,AC00299,100.0
H0150,AC00300,100.0
H0151,AC00301,100.0
H0151,AC00302,100.0
H0152,AC00303,100.0
H0152,AC00304,100.0
H0153,AC00305,100.0
H0153,AC00306,100.0
H0154,AC00307,100.0
H0154,AC00308,100.0
H0155,AC00309,100.0
H0155,AC00310,100.0
H0156,AC00311,100.0
H0156,AC00312,100.0
H0157,AC00313,100.0
H0157,AC00314,100.0
H0158,AC00315,100.0
H0158,AC00316,100.0
H0159,AC00317,100.0
H0159,AC00318,100.0
H0160,AC00319,100.0
H0160,AC00320,100.0
H0161,AC00321,100.0
H0161,AC00322,100.0
H0162,AC00323,100.0
H0162,AC00324,100.0
H0163,AC00325,100.0
H0163,AC00326,100.0
H0164,AC00327,100.0
H0164,AC00328,100.0
H0165,AC00329,100.0
H0165,AC00330,100.0
H0166,AC00331,100.0
H0166,AC00332,100.0
H0167,AC00333,100.0
H0167,AC00334,100.0
H0168,AC00335,100.0
H0168,AC00336,100.0
H0169,AC00337,100.0
H0169,AC00338,100.0
H0170,AC00339,100.0
H0170,AC00340,100.0
H0171,AC00341,100.0
H0171,AC00342,100.0
H0172,AC00343,100.0
H0172,AC00344,100.0
H0173,AC00345,100.0
H0173,AC00346,100.0
H0174,AC00347,100.0
H0174,AC00348,100.0
H0175,AC00349,100.0
H0175,AC00350,100.0
H0176,AC00351,100.0
H0176,AC00352,100.0
H0177,AC00353,100.0
H0177,AC00354,100.0
H0178,AC00355,100.0
H0178,AC00356,100.0
H0179,AC00357,100.0
H0179,AC00358,100.0
H0180,AC00359,100.0
H0180,AC00360,100.0
H0181,AC00361,100.0
H0181,AC00362,100.0
H0182,AC00363,100.0
H0182,AC00364,100.0
H0183,AC00365,100.0
H0183,AC00366,100.0
H0184,AC00367,100.0
H0184,AC00368,100.0
H0185,AC00369,100.0
H0185,AC00370,100.0
H0186,AC00371,100.0
H0186,AC00372,100.0
H0187,AC00373,100.0
H0187,AC00374,100.0
H0188,AC00375,100.0
H0188,AC00376,100.0
H0189,AC00377,100.0
H0189,AC00378,100.0
H0190,AC00379,100.0
H0190,AC00380,100.0
H0191,AC00381,100.0
H0191,AC00382,100.0
H0192,AC00383,100.0
H0192,AC00384,100.0
H0193,AC00385,100.0
H0193,AC00386,100.0
H0194,AC00387,100.0
H0194,AC00388,100.0
H0195,AC00389,100.0
H0195,AC00390,100.0
H0196,AC00391,100.0
H0196,AC00392,100.0
H0197,AC00393,100.0
H0197,AC00394,100.0
H0198,AC00395,100.0
H0198,AC00396,100.0
H0199,AC00397,100.0
H0199,AC00398,100.0
H0200,AC00399,100.0
H0200,AC00400,100.0
H0201,AC00401,100.0
H0201,AC00402,100.0
H0202,AC00403,100.0
H0202,AC00404,100.0
H0203,AC00405,100.0
H0203,AC00406,100.0
H0204,AC00407,100.0
H0204,AC00408,100.0
H0205,AC00409,100.0
H0205,AC00410,100.0
H0206,AC00411,100.0
H0206,AC00412,100.0
H0207,AC00413,100.0
H0207,AC00414,100.0
H0208,AC00415,100.0
H0208,AC00416,100.0
H0209,AC00417,100.0
H0209,AC00418,100.0
H0210,AC00419,100.0
H0210,AC00420,100.0
H0211,AC00421,100.0
H0211,AC00422,100.0
H0212,AC00423,100.0
H0212,AC00424,100.0
H0213,AC00425,100.0
H0213,AC00426,100.0
H0214,AC00427,100.0
H0214,AC00428,100.0
H0215,AC00429,100.0
H0215,AC00430,100.0
H0216,AC00431,100.0
H0216,AC00432,100.0
H0217,AC00433,100.0
H0217,AC00434,100.0
H0218,AC00435,100.0
H0218,AC00436,100.0
H0219,AC00437,100.0
H0219,AC00438,100.0
H0220,AC00439,100.0
H0220,AC00440,100.0
H0221,AC00441,100.0
H0221,AC00442,100.0
H0222,AC00443,100.0
H0222,AC00444,100.0
H0223,AC00445,100.0
H0223,AC00446,100.0
H0224,AC00447,100.0
H0224,AC00448,100.0
H0225,AC00449,100.0
H0225,AC00450,100.0
H0226,AC00451,100.0
H0226,AC00452,100.0
H0227,AC00453,100.0
H0227,AC00454,100.0
H0228,AC00455,100.0
H0228,AC00456,100.0
H0229,AC00457,100.0
H0229,AC00458,100.0
H0230,AC00459,100.0
H0230,AC00460,100.0
H0231,AC00461,100.0
H0231,AC00462,100.0
H0232,AC00463,100.0
H0232,AC00464,100.0
H0233,AC00465,100.0
H0233,AC00466,100.0
H0234,AC00467,100.0
H0234,AC00468,100.0
H0235,AC00469,100.0
H0235,AC00470,100.0
H0236,AC00471,100.0
H0236,AC00472,100.0
H0237,AC00473,100.0
H0237,AC00474,100.0
H0238,AC00475,100.0
H0238,AC00476,100.0
H0239,AC00477,100.0
H0239,AC00478,100.0
H0240,AC00479,100.0
H0240,AC00480,100.0
H0241,AC00481,100.0
H0241,AC00482,100.0
H0242,AC00483,100.0
H0242,AC00484,100.0
H0243,AC00485,100.0
H0243,AC00486,100.0
H0244,AC00487,100.0
H0244,AC00488,100.0
H0245,AC00489,100.0
H0245,AC00490,100.0
H0246,AC00491,100.0
H0246,AC00492,100.0
H0247,AC00493,100.0
H0247,AC00494,100.0
H0248,AC00495,100.0
H0248,AC00496,100.0
H0249,AC00497,100.0
H0249,AC00498,100.0
H0250,AC00499,100.0
H0250,AC00500,100.0
H0251,AC00501,100.0
H0251,AC00502,100.0
H0252,AC00503,100.0
H0252,AC00504,100.0
H0253,AC00505,100.0
H0253,AC00506,100.0
H0254,AC00507,100.0
H0254,AC00508,100.0
H0255,AC00509,100.0
H0255,AC00510,100.0
H0256,AC00511,100.0
H0256,AC00512,100.0
H0257,AC00513,100.0
H0257,AC00514,100.0
H0258,AC00515,100.0
H0258,AC00516,100.0
H0259,AC00517,100.0
H0259,AC00518,100.0
H0260,AC00519,100.0
H0260,AC00520,100.0
H0261,AC00521,100.0
H0261,AC00522,100.0
H0262,AC00523,100.0
H0262,AC00524,100.0
H0263,AC00525,100.0
H0263,AC00526,100.0
H0264,AC00527,100.0
H0264,AC00528,100.0
H0265,AC00529,100.0
H0265,AC00530,100.0
H0266,AC00531,100.0
H0266,AC00532,100.0
H0267,AC00533,100.0
H0267,AC00534,100.0
H0268,AC00535,100.0
H0268,AC00536,100.0
H0269,AC00537,100.0
H0269,AC00538,100.0
H0270,AC00539,100.0
H0270,AC00540,100.0
H0271,AC00541,100.0
H0271,AC00542,100.0
H0272,AC00543,100.0
H0272,AC00544,100.0
H0273,AC00545,100.0
H0273,AC00546,100.0
H0274,AC00547,100.0
H0274,AC00548,100.0
H0275,AC00549,100.0
H0275,AC00550,100.0
H0276,AC00551,100.0
H0276,AC00552,100.0
H0277,AC00553,100.0
H0277,AC00554,100.0
H0278,AC00555,100.0
H0278,AC00556,100.0
H0279,AC00557,100.0
H0279,AC00558,100.0
H0280,AC00559,100.0
H0280,AC00560,100.0
H0281,AC00561,100.0
H0281,AC00562,100.0
H0282,AC00563,100.0
H0282,AC00564,100.0
H0283,AC00565,100.0
H0283,AC00566,100.0
H0284,AC00567,100.0
H0284,AC00568,100.0
H0285,AC00569,100.0
H0285,AC00570,100.0
H0286,AC00571,100.0
H0286,AC00572,100.0
H0287,AC00573,100.0
H0287,AC00574,100.0
H0288,AC00575,100.0
H0288,AC00576,100.0
H0289,AC00577,100.0
H0289,AC00578,100.0
H0290,AC00579,100.0
H0290,AC00580,100.0
H0291,AC00581,100.0
H0291,AC00582,100.0
H0292,AC00583,100.0
H0292,AC00584,100.0
H0293,AC00585,100.0
H0293,AC00586,100.0
H0294,AC00587,100.0
H0294,AC00588,100.0
H0295,AC00589,100.0
H0295,AC00590,100.0
H0296,AC00591,100.0
H0296,AC00592,100.0
H0297,AC00593,100.0
H0297,AC00594,100.0
H0298,AC00595,100.0
H0298,AC00596,100.0
H0299,AC00597,100.0
H0299,AC00598,100.0
H0300,AC00599,100.0
H0300,AC00600,100.0
H0301,AC00601,100.0
H0301,AC00602,100.0
H0302,AC00603,100.0
H0302,AC00604,100.0
H0303,AC00605,100.0
H0303,AC00606,100.0
H0304,AC00607,100.0
H0304,AC00608,100.0
H0305,AC00609,100.0
H0305,AC00610,100.0
H0306,AC00611,100.0
H0306,AC00612,100.0
H0307,AC00613,100.0
H0307,AC00614,100.0
H0308,AC00615,100.0
H0308,AC00616,100.0
H0309,AC00617,100.0
H0309,AC00618,100.0
H0310,AC00619,100.0
H0310,AC00620,100.0
H0311,AC00621,100.0
H0311,AC00622,100.0
H0312,AC00623,100.0
H0312,AC00624,100.0
H0313,AC00625,100.0
H0313,AC00626,100.0
H0314,AC00627,100.0
H0314,AC00628,100.0
H0315,AC00629,100.0
H0315,AC00630,100.0
H0316,AC00631,100.0
H0316,AC00632,100.0
H0317,AC00633,100.0
H0317,AC00634,100.0
H0318,AC00635,100.0
H0318,AC00636,100.0
H0319,AC00637,100.0
H0319,AC00638,100.0
H0320,AC00639,100.0
H0320,AC00640,100.0
H0321,AC00641,100.0
H0321,AC00642,100.0
H0322,AC00643,100.0
H0322,AC00644,100.0
H0323,AC00645,100.0
H0323,AC00646,100.0
H0324,AC00647,100.0
H0324,AC00648,100.0
H0325,AC00649,100.0
H0325,AC00650,100.0
H0326,AC00651,100.0
H0326,AC00652,100.0
H0327,AC00653,100.0
H0327,AC00654,100.0
H0328,AC00655,100.0
H0328,AC00656,100.0
H0329,AC00657,100.0
H0329,AC00658,100.0
H0330,AC00659,100.0
H0330,AC00660,100.0
H0331,AC00661,100.0
H0331,AC00662,100.0
H0332,AC00663,100.0
H0332,AC00664,100.0
H0333,AC00665,100.0
H0333,AC00666,100.0
H0334,AC00667,100.0
H0334,AC00668,100.0
H0335,AC00669,100.0
H0335,AC00670,100.0
H0336,AC00671,100.0
H0336,AC00672,100.0
H0337,AC00673,100.0
H0337,AC00674,100.0
H0338,AC00675,100.0
H0338,AC00676,100.0
H0339,AC00677,100.0
H0339,AC00678,100.0
H0340,AC00679,100.0
H0340,AC00680,100.0
H0341,AC00681,100.0
H0341,AC00682,100.0
H0342,AC00683,100.0
H0342,AC00684,100.0
H0343,AC00685,100.0
H0343,AC00686,100.0
H0344,AC00687,100.0
H0344,AC00688,100.0
H0345,AC00689,100.0
H0345,AC00690,100.0
H0346,AC00691,100.0
H0346,AC00692,100.0
H0347,AC00693,100.0
H0347,AC00694,100.0
H0348,AC00695,100.0
H0348,AC00696,100.0
H0349,AC00697,100.0
H0349,AC00698,100.0
H0350,AC00699,100.0
H0350,AC00700,100.0
H0351,AC00701,100.0
H0351,AC00702,100.0
H0352,AC00703,100.0
H0352,AC00704,100.0
H0353,AC00705,100.0
H0353,AC00706,100.0
H0354,AC00707,100.0
H0354,AC00708,100.0
H0355,AC00709,100.0
H0355,AC00710,100.0
H0356,AC00711,100.0
H0356,AC00712,100.0
H0357,AC00713,100.0
H0357,AC00714,100.0
H0358,AC00715,100.0
H0358,AC00716,100.0
H0359,AC00717,100.0
H0359,AC00718,100.0
H0360,AC00719,100.0
H0360,AC00720,100.0
