opportunity_id,opportunity_type,title,description,score,priority,status,created_ts,advisor_id,household_id,prediction_id
OPP00000014,Managed Account Expansion,Managed Account Expansion for ADV0005,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7906,Low,Open,2025-12-31 00:00:00,ADV0005,HH00066,PRED00000017
OPP00000015,NNM Growth,NNM Growth for ADV0005,"Detected nnm growth opportunity using features, CRM and graph context.",0.6287,High,Open,2025-12-31 00:00:00,ADV0005,HH00077,PRED00000018
OPP00000016,AGP Goal Recovery,AGP Goal Recovery for ADV0005,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.4806,Medium,Open,2025-12-31 00:00:00,ADV0005,HH00075,PRED00000018
OPP00000017,Managed Account Expansion,Managed Account Expansion for ADV0006,"Detected managed account expansion opportunity using features, CRM and graph context.",0.578,Low,Open,2025-12-31 00:00:00,ADV0006,HH00094,PRED00000024
OPP00000018,CRM Engagement Gap,CRM Engagement Gap for ADV0006,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.4667,High,Open,2025-12-31 00:00:00,ADV0006,HH00095,PRED00000022
OPP00000019,CRM Engagement Gap,CRM Engagement Gap for ADV0006,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8844,Low,Open,2025-12-31 00:00:00,ADV0006,HH00085,PRED00000023
OPP00000020,AGP Goal Recovery,AGP Goal Recovery for ADV0006,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.7318,Medium,Open,2025-12-31 00:00:00,ADV0006,HH00087,PRED00000023
OPP00000021,AGP Goal Recovery,AGP Goal Recovery for ADV0007,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.9004,Medium,Open,2025-12-31 00:00:00,ADV0007,HH00097,PRED00000027
OPP00000022,AGP Goal Recovery,AGP Goal Recovery for ADV0007,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.6294,Medium,Open,2025-12-31 00:00:00,ADV0007,HH00102,PRED00000025
OPP00000023,Managed Account Expansion,Managed Account Expansion for ADV0007,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7068,Low,Open,2025-12-31 00:00:00,ADV0007,HH00105,PRED00000027
OPP00000024,Managed Account Expansion,Managed Account Expansion for ADV0007,"Detected managed account expansion opportunity using features, CRM and graph context.",0.6693,High,Open,2025-12-31 00:00:00,ADV0007,HH00108,PRED00000027
OPP00000025,AUM Retention,AUM Retention for ADV0008,"Detected aum retention opportunity using features, CRM and graph context.",0.6114,Low,Open,2025-12-31 00:00:00,ADV0008,HH00121,PRED00000032
OPP00000026,Managed Account Expansion,Managed Account Expansion for ADV0008,"Detected managed account expansion opportunity using features, CRM and graph context.",0.554,Low,Open,2025-12-31 00:00:00,ADV0008,HH00117,PRED00000030
OPP00000027,CRM Engagement Gap,CRM Engagement Gap for ADV0008,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.6148,Medium,Open,2025-12-31 00:00:00,ADV0008,HH00114,PRED00000031
OPP00000028,AUM Retention,AUM Retention for ADV0009,"Detected aum retention opportunity using features, CRM and graph context.",0.713,High,Open,2025-12-31 00:00:00,ADV0009,HH00141,PRED00000034
OPP00000029,CRM Engagement Gap,CRM Engagement Gap for ADV0009,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.7452,High,Open,2025-12-31 00:00:00,ADV0009,HH00131,PRED00000036
OPP00000030,AUM Retention,AUM Retention for ADV0009,"Detected aum retention opportunity using features, CRM and graph context.",0.8611,Medium,Open,2025-12-31 00:00:00,ADV0009,HH00135,PRED00000034
OPP00000031,Managed Account Expansion,Managed Account Expansion for ADV0009,"Detected managed account expansion opportunity using features, CRM and graph context.",0.9405,Low,Open,2025-12-31 00:00:00,ADV0009,HH00140,PRED00000034
OPP00000032,AUM Retention,AUM Retention for ADV0010,"Detected aum retention opportunity using features, CRM and graph context.",0.5868,High,Open,2025-12-31 00:00:00,ADV0010,HH00148,PRED00000037
OPP00000033,NNM Growth,NNM Growth for ADV0010,"Detected nnm growth opportunity using features, CRM and graph context.",0.5201,Low,Open,2025-12-31 00:00:00,ADV0010,HH00153,PRED00000038
OPP00000034,CRM Engagement Gap,CRM Engagement Gap for ADV0010,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8133,Low,Open,2025-12-31 00:00:00,ADV0010,HH00150,PRED00000038
OPP00000035,AUM Retention,AUM Retention for ADV0011,"Detected aum retention opportunity using features, CRM and graph context.",0.8381,Low,Open,2025-12-31 00:00:00,ADV0011,HH00163,PRED00000043
OPP00000036,CRM Engagement Gap,CRM Engagement Gap for ADV0011,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8138,High,Open,2025-12-31 00:00:00,ADV0011,HH00171,PRED00000044
OPP00000037,AGP Goal Recovery,AGP Goal Recovery for ADV0011,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.927,Medium,Open,2025-12-31 00:00:00,ADV0011,HH00172,PRED00000044
OPP00000038,AGP Goal Recovery,AGP Goal Recovery for ADV0011,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.8852,Low,Open,2025-12-31 00:00:00,ADV0011,HH00169,PRED00000043
OPP00000039,AGP Goal Recovery,AGP Goal Recovery for ADV0012,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.7323,Low,Open,2025-12-31 00:00:00,ADV0012,HH00175,PRED00000047
OPP00000040,AGP Goal Recovery,AGP Goal Recovery for ADV0012,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.6421,High,Open,2025-12-31 00:00:00,ADV0012,HH00179,PRED00000046
OPP00000041,CRM Engagement Gap,CRM Engagement Gap for ADV0012,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.5368,High,Open,2025-12-31 00:00:00,ADV0012,HH00176,PRED00000047
OPP00000042,AGP Goal Recovery,AGP Goal Recovery for ADV0013,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.719,Low,Open,2025-12-31 00:00:00,ADV0013,HH00203,PRED00000050
OPP00000043,Managed Account Expansion,Managed Account Expansion for ADV0013,"Detected managed account expansion opportunity using features, CRM and graph context.",0.5608,Medium,Open,2025-12-31 00:00:00,ADV0013,HH00191,PRED00000049
OPP00000044,NNM Growth,NNM Growth for ADV0014,"Detected nnm growth opportunity using features, CRM and graph context.",0.8575,Medium,Open,2025-12-31 00:00:00,ADV0014,HH00208,PRED00000053
OPP00000045,AGP Goal Recovery,AGP Goal Recovery for ADV0014,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.499,Medium,Open,2025-12-31 00:00:00,ADV0014,HH00212,PRED00000055
OPP00000046,Managed Account Expansion,Managed Account Expansion for ADV0015,"Detected managed account expansion opportunity using features, CRM and graph context.",0.793,Low,Open,2025-12-31 00:00:00,ADV0015,HH00226,PRED00000060
OPP00000047,AGP Goal Recovery,AGP Goal Recovery for ADV0015,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.8987,Medium,Open,2025-12-31 00:00:00,ADV0015,HH00219,PRED00000060
OPP00000048,AUM Retention,AUM Retention for ADV0015,"Detected aum retention opportunity using features, CRM and graph context.",0.6349,Medium,Open,2025-12-31 00:00:00,ADV0015,HH00220,PRED00000059
OPP00000049,Managed Account Expansion,Managed Account Expansion for ADV0016,"Detected managed account expansion opportunity using features, CRM and graph context.",0.8587,Medium,Open,2025-12-31 00:00:00,ADV0016,HH00236,PRED00000061
OPP00000050,AGP Goal Recovery,AGP Goal Recovery for ADV0016,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.7272,Low,Open,2025-12-31 00:00:00,ADV0016,HH00239,PRED00000064
OPP00000051,Managed Account Expansion,Managed Account Expansion for ADV0016,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7979,Medium,Open,2025-12-31 00:00:00,ADV0016,HH00237,PRED00000064
OPP00000052,AUM Retention,AUM Retention for ADV0017,"Detected aum retention opportunity using features, CRM and graph context.",0.4524,High,Open,2025-12-31 00:00:00,ADV0017,HH00246,PRED00000067
OPP00000053,AGP Goal Recovery,AGP Goal Recovery for ADV0017,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.8002,Low,Open,2025-12-31 00:00:00,ADV0017,HH00244,PRED00000065
OPP00000054,AGP Goal Recovery,AGP Goal Recovery for ADV0018,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.5386,Medium,Open,2025-12-31 00:00:00,ADV0018,HH00259,PRED00000070
OPP00000055,CRM Engagement Gap,CRM Engagement Gap for ADV0018,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8757,Medium,Open,2025-12-31 00:00:00,ADV0018,HH00265,PRED00000071
OPP00000056,AUM Retention,AUM Retention for ADV0018,"Detected aum retention opportunity using features, CRM and graph context.",0.669,Low,Open,2025-12-31 00:00:00,ADV0018,HH00264,PRED00000069
OPP00000057,CRM Engagement Gap,CRM Engagement Gap for ADV0018,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8752,Low,Open,2025-12-31 00:00:00,ADV0018,HH00261,PRED00000070
OPP00000058,AUM Retention,AUM Retention for ADV0019,"Detected aum retention opportunity using features, CRM and graph context.",0.6053,Medium,Open,2025-12-31 00:00:00,ADV0019,HH00275,PRED00000076
OPP00000059,CRM Engagement Gap,CRM Engagement Gap for ADV0019,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.5886,Medium,Open,2025-12-31 00:00:00,ADV0019,HH00277,PRED00000074
OPP00000060,NNM Growth,NNM Growth for ADV0020,"Detected nnm growth opportunity using features, CRM and graph context.",0.4998,Low,Open,2025-12-31 00:00:00,ADV0020,HH00293,PRED00000078
OPP00000061,AUM Retention,AUM Retention for ADV0020,"Detected aum retention opportunity using features, CRM and graph context.",0.8244,Medium,Open,2025-12-31 00:00:00,ADV0020,HH00286,PRED00000080
OPP00000062,AUM Retention,AUM Retention for ADV0020,"Detected aum retention opportunity using features, CRM and graph context.",0.5872,High,Open,2025-12-31 00:00:00,ADV0020,HH00292,PRED00000077
OPP00000063,NNM Growth,NNM Growth for ADV0020,"Detected nnm growth opportunity using features, CRM and graph context.",0.6083,Low,Open,2025-12-31 00:00:00,ADV0020,HH00295,PRED00000078
OPP00000064,NNM Growth,NNM Growth for ADV0021,"Detected nnm growth opportunity using features, CRM and graph context.",0.932,Medium,Open,2025-12-31 00:00:00,ADV0021,HH00300,PRED00000082
OPP00000065,NNM Growth,NNM Growth for ADV0021,"Detected nnm growth opportunity using features, CRM and graph context.",0.8729,Low,Open,2025-12-31 00:00:00,ADV0021,HH00312,PRED00000082
OPP00000066,NNM Growth,NNM Growth for ADV0021,"Detected nnm growth opportunity using features, CRM and graph context.",0.6401,Low,Open,2025-12-31 00:00:00,ADV0021,HH00300,PRED00000081
OPP00000067,Managed Account Expansion,Managed Account Expansion for ADV0021,"Detected managed account expansion opportunity using features, CRM and graph context.",0.5901,High,Open,2025-12-31 00:00:00,ADV0021,HH00301,PRED00000082
OPP00000068,NNM Growth,NNM Growth for ADV0022,"Detected nnm growth opportunity using features, CRM and graph context.",0.4644,Low,Open,2025-12-31 00:00:00,ADV0022,HH00318,PRED00000087
OPP00000069,Managed Account Expansion,Managed Account Expansion for ADV0022,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7268,Low,Open,2025-12-31 00:00:00,ADV0022,HH00313,PRED00000087
OPP00000070,Managed Account Expansion,Managed Account Expansion for ADV0023,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7013,Medium,Open,2025-12-31 00:00:00,ADV0023,HH00333,PRED00000091
OPP00000071,AGP Goal Recovery,AGP Goal Recovery for ADV0023,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.4743,Medium,Open,2025-12-31 00:00:00,ADV0023,HH00333,PRED00000092
OPP00000072,Managed Account Expansion,Managed Account Expansion for ADV0024,"Detected managed account expansion opportunity using features, CRM and graph context.",0.4872,Medium,Open,2025-12-31 00:00:00,ADV0024,HH00343,PRED00000093
OPP00000073,AGP Goal Recovery,AGP Goal Recovery for ADV0024,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.6096,Low,Open,2025-12-31 00:00:00,ADV0024,HH00344,PRED00000094
OPP00000074,CRM Engagement Gap,CRM Engagement Gap for ADV0024,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.7176,Low,Open,2025-12-31 00:00:00,ADV0024,HH00348,PRED00000093
OPP00000075,CRM Engagement Gap,CRM Engagement Gap for ADV0024,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8118,Low,Open,2025-12-31 00:00:00,ADV0024,HH00340,PRED00000096
OPP00000076,AGP Goal Recovery,AGP Goal Recovery for ADV0025,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.942,High,Open,2025-12-31 00:00:00,ADV0025,HH00359,PRED00000097
OPP00000077,AUM Retention,AUM Retention for ADV0025,"Detected aum retention opportunity using features, CRM and graph context.",0.8211,High,Open,2025-12-31 00:00:00,ADV0025,HH00361,PRED00000100
OPP00000078,AGP Goal Recovery,AGP Goal Recovery for ADV0025,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.6116,High,Open,2025-12-31 00:00:00,ADV0025,HH00361,PRED00000098
OPP00000079,AUM Retention,AUM Retention for ADV0026,"Detected aum retention opportunity using features, CRM and graph context.",0.5184,High,Open,2025-12-31 00:00:00,ADV0026,HH00370,PRED00000103
OPP00000080,NNM Growth,NNM Growth for ADV0026,"Detected nnm growth opportunity using features, CRM and graph context.",0.6002,High,Open,2025-12-31 00:00:00,ADV0026,HH00376,PRED00000104
OPP00000081,NNM Growth,NNM Growth for ADV0027,"Detected nnm growth opportunity using features, CRM and graph context.",0.9169,Medium,Open,2025-12-31 00:00:00,ADV0027,HH00384,PRED00000106
OPP00000082,Managed Account Expansion,Managed Account Expansion for ADV0027,"Detected managed account expansion opportunity using features, CRM and graph context.",0.6151,Low,Open,2025-12-31 00:00:00,ADV0027,HH00387,PRED00000108
OPP00000083,CRM Engagement Gap,CRM Engagement Gap for ADV0028,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.5475,Medium,Open,2025-12-31 00:00:00,ADV0028,HH00403,PRED00000111
OPP00000084,AGP Goal Recovery,AGP Goal Recovery for ADV0028,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.4728,High,Open,2025-12-31 00:00:00,ADV0028,HH00406,PRED00000110
OPP00000085,NNM Growth,NNM Growth for ADV0029,"Detected nnm growth opportunity using features, CRM and graph context.",0.9447,Low,Open,2025-12-31 00:00:00,ADV0029,HH00421,PRED00000115
OPP00000086,CRM Engagement Gap,CRM Engagement Gap for ADV0029,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8108,Low,Open,2025-12-31 00:00:00,ADV0029,HH00426,PRED00000116
OPP00000087,AGP Goal Recovery,AGP Goal Recovery for ADV0029,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.8129,Medium,Open,2025-12-31 00:00:00,ADV0029,HH00425,PRED00000116
OPP00000088,NNM Growth,NNM Growth for ADV0029,"Detected nnm growth opportunity using features, CRM and graph context.",0.839,High,Open,2025-12-31 00:00:00,ADV0029,HH00414,PRED00000115
OPP00000089,NNM Growth,NNM Growth for ADV0030,"Detected nnm growth opportunity using features, CRM and graph context.",0.6246,Medium,Open,2025-12-31 00:00:00,ADV0030,HH00432,PRED00000119
OPP00000090,Managed Account Expansion,Managed Account Expansion for ADV0030,"Detected managed account expansion opportunity using features, CRM and graph context.",0.8879,High,Open,2025-12-31 00:00:00,ADV0030,HH00431,PRED00000119
OPP00000091,NNM Growth,NNM Growth for ADV0031,"Detected nnm growth opportunity using features, CRM and graph context.",0.8799,Medium,Open,2025-12-31 00:00:00,ADV0031,HH00451,PRED00000124
OPP00000092,NNM Growth,NNM Growth for ADV0031,"Detected nnm growth opportunity using features, CRM and graph context.",0.8613,High,Open,2025-12-31 00:00:00,ADV0031,HH00449,PRED00000123
OPP00000093,AGP Goal Recovery,AGP Goal Recovery for ADV0031,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.4893,Medium,Open,2025-12-31 00:00:00,ADV0031,HH00450,PRED00000124
OPP00000094,NNM Growth,NNM Growth for ADV0031,"Detected nnm growth opportunity using features, CRM and graph context.",0.8551,Medium,Open,2025-12-31 00:00:00,ADV0031,HH00452,PRED00000123
OPP00000095,CRM Engagement Gap,CRM Engagement Gap for ADV0032,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.7492,Medium,Open,2025-12-31 00:00:00,ADV0032,HH00466,PRED00000128
OPP00000096,NNM Growth,NNM Growth for ADV0032,"Detected nnm growth opportunity using features, CRM and graph context.",0.8403,Low,Open,2025-12-31 00:00:00,ADV0032,HH00456,PRED00000128
OPP00000097,NNM Growth,NNM Growth for ADV0032,"Detected nnm growth opportunity using features, CRM and graph context.",0.946,Low,Open,2025-12-31 00:00:00,ADV0032,HH00459,PRED00000127
OPP00000098,CRM Engagement Gap,CRM Engagement Gap for ADV0032,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.5504,Low,Open,2025-12-31 00:00:00,ADV0032,HH00455,PRED00000126
OPP00000099,AGP Goal Recovery,AGP Goal Recovery for ADV0033,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.7712,Medium,Open,2025-12-31 00:00:00,ADV0033,HH00479,PRED00000130
OPP00000100,AUM Retention,AUM Retention for ADV0033,"Detected aum retention opportunity using features, CRM and graph context.",0.5842,High,Open,2025-12-31 00:00:00,ADV0033,HH00472,PRED00000132
OPP00000101,AGP Goal Recovery,AGP Goal Recovery for ADV0034,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.9366,Low,Open,2025-12-31 00:00:00,ADV0034,HH00496,PRED00000136
OPP00000102,AGP Goal Recovery,AGP Goal Recovery for ADV0034,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.6667,Medium,Open,2025-12-31 00:00:00,ADV0034,HH00491,PRED00000134
OPP00000103,CRM Engagement Gap,CRM Engagement Gap for ADV0034,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8021,Medium,Open,2025-12-31 00:00:00,ADV0034,HH00488,PRED00000133
OPP00000104,Managed Account Expansion,Managed Account Expansion for ADV0035,"Detected managed account expansion opportunity using features, CRM and graph context.",0.608,Medium,Open,2025-12-31 00:00:00,ADV0035,HH00500,PRED00000139
OPP00000105,Managed Account Expansion,Managed Account Expansion for ADV0035,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7073,Low,Open,2025-12-31 00:00:00,ADV0035,HH00503,PRED00000139
OPP00000106,Managed Account Expansion,Managed Account Expansion for ADV0035,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7646,Medium,Open,2025-12-31 00:00:00,ADV0035,HH00504,PRED00000139
OPP00000107,AGP Goal Recovery,AGP Goal Recovery for ADV0035,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.7108,Medium,Open,2025-12-31 00:00:00,ADV0035,HH00507,PRED00000138
OPP00000108,AGP Goal Recovery,AGP Goal Recovery for ADV0036,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.7581,Low,Open,2025-12-31 00:00:00,ADV0036,HH00514,PRED00000141
OPP00000109,CRM Engagement Gap,CRM Engagement Gap for ADV0036,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.4968,High,Open,2025-12-31 00:00:00,ADV0036,HH00513,PRED00000143
OPP00000110,AUM Retention,AUM Retention for ADV0036,"Detected aum retention opportunity using features, CRM and graph context.",0.8752,Medium,Open,2025-12-31 00:00:00,ADV0036,HH00514,PRED00000142
OPP00000111,Managed Account Expansion,Managed Account Expansion for ADV0037,"Detected managed account expansion opportunity using features, CRM and graph context.",0.8345,Medium,Open,2025-12-31 00:00:00,ADV0037,HH00526,PRED00000148
OPP00000112,Managed Account Expansion,Managed Account Expansion for ADV0037,"Detected managed account expansion opportunity using features, CRM and graph context.",0.9013,Medium,Open,2025-12-31 00:00:00,ADV0037,HH00535,PRED00000146
OPP00000113,Managed Account Expansion,Managed Account Expansion for ADV0037,"Detected managed account expansion opportunity using features, CRM and graph context.",0.5111,High,Open,2025-12-31 00:00:00,ADV0037,HH00530,PRED00000147
OPP00000114,AUM Retention,AUM Retention for ADV0037,"Detected aum retention opportunity using features, CRM and graph context.",0.5727,High,Open,2025-12-31 00:00:00,ADV0037,HH00533,PRED00000148
OPP00000115,CRM Engagement Gap,CRM Engagement Gap for ADV0038,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.5865,High,Open,2025-12-31 00:00:00,ADV0038,HH00547,PRED00000150
OPP00000116,AUM Retention,AUM Retention for ADV0038,"Detected aum retention opportunity using features, CRM and graph context.",0.8911,Medium,Open,2025-12-31 00:00:00,ADV0038,HH00542,PRED00000151
OPP00000117,Managed Account Expansion,Managed Account Expansion for ADV0039,"Detected managed account expansion opportunity using features, CRM and graph context.",0.638,Medium,Open,2025-12-31 00:00:00,ADV0039,HH00567,PRED00000155
OPP00000118,AGP Goal Recovery,AGP Goal Recovery for ADV0039,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.6113,Low,Open,2025-12-31 00:00:00,ADV0039,HH00563,PRED00000154
OPP00000119,Managed Account Expansion,Managed Account Expansion for ADV0039,"Detected managed account expansion opportunity using features, CRM and graph context.",0.7208,Medium,Open,2025-12-31 00:00:00,ADV0039,HH00563,PRED00000153
OPP00000120,NNM Growth,NNM Growth for ADV0040,"Detected nnm growth opportunity using features, CRM and graph context.",0.873,Medium,Open,2025-12-31 00:00:00,ADV0040,HH00578,PRED00000160
OPP00000121,AGP Goal Recovery,AGP Goal Recovery for ADV0040,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.8656,Low,Open,2025-12-31 00:00:00,ADV0040,HH00581,PRED00000157
OPP00000122,CRM Engagement Gap,CRM Engagement Gap for ADV0040,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.6155,Low,Open,2025-12-31 00:00:00,ADV0040,HH00572,PRED00000157
OPP00000123,AUM Retention,AUM Retention for ADV0040,"Detected aum retention opportunity using features, CRM and graph context.",0.554,Medium,Open,2025-12-31 00:00:00,ADV0040,HH00573,PRED00000160
OPP00000124,CRM Engagement Gap,CRM Engagement Gap for ADV0041,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.5587,High,Open,2025-12-31 00:00:00,ADV0041,HH00583,PRED00000161
OPP00000125,AGP Goal Recovery,AGP Goal Recovery for ADV0041,"Detected agp goal recovery opportunity using features, CRM and graph context.",0.4554,High,Open,2025-12-31 00:00:00,ADV0041,HH00593,PRED00000162
OPP00000126,AUM Retention,AUM Retention for ADV0042,"Detected aum retention opportunity using features, CRM and graph context.",0.5145,High,Open,2025-12-31 00:00:00,ADV0042,HH00610,PRED00000168
OPP00000127,NNM Growth,NNM Growth for ADV0042,"Detected nnm growth opportunity using features, CRM and graph context.",0.7417,Low,Open,2025-12-31 00:00:00,ADV0042,HH00602,PRED00000165
OPP00000128,NNM Growth,NNM Growth for ADV0042,"Detected nnm growth opportunity using features, CRM and graph context.",0.6682,Low,Open,2025-12-31 00:00:00,ADV0042,HH00607,PRED00000167
OPP00000129,NNM Growth,NNM Growth for ADV0043,"Detected nnm growth opportunity using features, CRM and graph context.",0.8598,High,Open,2025-12-31 00:00:00,ADV0043,HH00620,PRED00000170
OPP00000130,NNM Growth,NNM Growth for ADV0043,"Detected nnm growth opportunity using features, CRM and graph context.",0.9597,Medium,Open,2025-12-31 00:00:00,ADV0043,HH00616,PRED00000170
OPP00000131,AUM Retention,AUM Retention for ADV0043,"Detected aum retention opportunity using features, CRM and graph context.",0.5277,Medium,Open,2025-12-31 00:00:00,ADV0043,HH00619,PRED00000171
OPP00000132,AUM Retention,AUM Retention for ADV0044,"Detected aum retention opportunity using features, CRM and graph context.",0.6512,Medium,Open,2025-12-31 00:00:00,ADV0044,HH00627,PRED00000174
OPP00000133,CRM Engagement Gap,CRM Engagement Gap for ADV0044,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8411,Low,Open,2025-12-31 00:00:00,ADV0044,HH00627,PRED00000174
OPP00000134,Managed Account Expansion,Managed Account Expansion for ADV0044,"Detected managed account expansion opportunity using features, CRM and graph context.",0.6325,Low,Open,2025-12-31 00:00:00,ADV0044,HH00634,PRED00000174
OPP00000135,Managed Account Expansion,Managed Account Expansion for ADV0044,"Detected managed account expansion opportunity using features, CRM and graph context.",0.4937,Medium,Open,2025-12-31 00:00:00,ADV0044,HH00637,PRED00000176
OPP00000136,AUM Retention,AUM Retention for ADV0045,"Detected aum retention opportunity using features, CRM and graph context.",0.4923,Medium,Open,2025-12-31 00:00:00,ADV0045,HH00644,PRED00000177
OPP00000137,CRM Engagement Gap,CRM Engagement Gap for ADV0045,"Detected crm engagement gap opportunity using features, CRM and graph context.",0.8487,Medium,Open,2025-12-31 00:00:00,ADV0045,HH00648,PRED00000177
OPP00000138,AUM Retention,AUM Retention for ADV0046,"Detected aum retention opportunity using features, CRM and graph context.",0.7994,Low,Open,2025-12-31 00:00:00,ADV0046,HH00653,PRED00000181
OPP00000139,AUM Retention,AUM Retention for ADV0046,"Detected aum retention opportunity using features, CRM and graph context.",0.5013,Low,Open,2025-12-31 00:00:00,ADV0046,HH00652,PRED00000183
OPP00000140,NNM Growth,NNM Growth for ADV0046,"Detected nnm growth opportunity using features, CRM and graph context.",0.9266,High,Open,2025-12-31 00:00:00,ADV0046,HH00661,PRED00000184
