similarity_id,source_entity_type,source_entity_id,target_entity_type,target_entity_id,similarity_type,similarity_score,explanation,created_ts,source_advisor_id,target_advisor_id
SIM00000038,Advisor,ADV0013,Advisor,ADV0026,Advisor Peer Similarity,0.7056,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0013,ADV0026
SIM00000039,Advisor,ADV0013,Advisor,ADV0097,Advisor Peer Similarity,0.7305,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0013,ADV0097
SIM00000040,Advisor,ADV0014,Advisor,ADV0115,Advisor Peer Similarity,0.8123,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0014,ADV0115
SIM00000041,Advisor,ADV0014,Advisor,ADV0116,Advisor Peer Similarity,0.9063,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0014,ADV0116
SIM00000042,Advisor,ADV0014,Advisor,ADV0127,Advisor Peer Similarity,0.6793,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0014,ADV0127
SIM00000043,Advisor,ADV0015,Advisor,ADV0040,Advisor Peer Similarity,0.7948,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0015,ADV0040
SIM00000044,Advisor,ADV0015,Advisor,ADV0129,Advisor Peer Similarity,0.8685,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0015,ADV0129
SIM00000045,Advisor,ADV0015,Advisor,ADV0023,Advisor Peer Similarity,0.8412,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0015,ADV0023
SIM00000046,Advisor,ADV0016,Advisor,ADV0112,Advisor Peer Similarity,0.8066,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0016,ADV0112
SIM00000047,Advisor,ADV0016,Advisor,ADV0014,Advisor Peer Similarity,0.6989,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0016,ADV0014
SIM00000048,Advisor,ADV0016,Advisor,ADV0073,Advisor Peer Similarity,0.7357,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0016,ADV0073
SIM00000049,Advisor,ADV0017,Advisor,ADV0069,Advisor Peer Similarity,0.9009,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0017,ADV0069
SIM00000050,Advisor,ADV0017,Advisor,ADV0041,Advisor Peer Similarity,0.8604,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0017,ADV0041
SIM00000051,Advisor,ADV0017,Advisor,ADV0035,Advisor Peer Similarity,0.9036,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0017,ADV0035
SIM00000052,Advisor,ADV0018,Advisor,ADV0133,Advisor Peer Similarity,0.884,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0018,ADV0133
SIM00000053,Advisor,ADV0018,Advisor,ADV0077,Advisor Peer Similarity,0.8042,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0018,ADV0077
SIM00000054,Advisor,ADV0018,Advisor,ADV0001,Advisor Peer Similarity,0.7024,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0018,ADV0001
SIM00000055,Advisor,ADV0019,Advisor,ADV0097,Advisor Peer Similarity,0.8296,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0019,ADV0097
SIM00000056,Advisor,ADV0019,Advisor,ADV0092,Advisor Peer Similarity,0.7528,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0019,ADV0092
SIM00000057,Advisor,ADV0019,Advisor,ADV0017,Advisor Peer Similarity,0.7616,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0019,ADV0017
SIM00000058,Advisor,ADV0020,Advisor,ADV0104,Advisor Peer Similarity,0.8461,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0020,ADV0104
SIM00000059,Advisor,ADV0020,Advisor,ADV0007,Advisor Peer Similarity,0.7049,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0020,ADV0007
SIM00000060,Advisor,ADV0020,Advisor,ADV0078,Advisor Peer Similarity,0.8784,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0020,ADV0078
SIM00000061,Advisor,ADV0021,Advisor,ADV0069,Advisor Peer Similarity,0.6703,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0021,ADV0069
SIM00000062,Advisor,ADV0021,Advisor,ADV0135,Advisor Peer Similarity,0.9189,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0021,ADV0135
SIM00000063,Advisor,ADV0021,Advisor,ADV0107,Advisor Peer Similarity,0.6595,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0021,ADV0107
SIM00000064,Advisor,ADV0022,Advisor,ADV0060,Advisor Peer Similarity,0.9478,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0022,ADV0060
SIM00000065,Advisor,ADV0022,Advisor,ADV0165,Advisor Peer Similarity,0.7711,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0022,ADV0165
SIM00000066,Advisor,ADV0022,Advisor,ADV0128,Advisor Peer Similarity,0.7703,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0022,ADV0128
SIM00000067,Advisor,ADV0023,Advisor,ADV0018,Advisor Peer Similarity,0.8958,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0023,ADV0018
SIM00000068,Advisor,ADV0023,Advisor,ADV0030,Advisor Peer Similarity,0.7296,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0023,ADV0030
SIM00000069,Advisor,ADV0023,Advisor,ADV0154,Advisor Peer Similarity,0.941,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0023,ADV0154
SIM00000070,Advisor,ADV0024,Advisor,ADV0055,Advisor Peer Similarity,0.8158,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0024,ADV0055
SIM00000071,Advisor,ADV0024,Advisor,ADV0121,Advisor Peer Similarity,0.8773,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0024,ADV0121
SIM00000072,Advisor,ADV0024,Advisor,ADV0071,Advisor Peer Similarity,0.6927,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0024,ADV0071
SIM00000073,Advisor,ADV0025,Advisor,ADV0002,Advisor Peer Similarity,0.9068,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0025,ADV0002
SIM00000074,Advisor,ADV0025,Advisor,ADV0038,Advisor Peer Similarity,0.8955,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0025,ADV0038
SIM00000075,Advisor,ADV0025,Advisor,ADV0095,Advisor Peer Similarity,0.7876,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0025,ADV0095
SIM00000076,Advisor,ADV0026,Advisor,ADV0124,Advisor Peer Similarity,0.909,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0026,ADV0124
SIM00000077,Advisor,ADV0026,Advisor,ADV0063,Advisor Peer Similarity,0.7273,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0026,ADV0063
SIM00000078,Advisor,ADV0026,Advisor,ADV0005,Advisor Peer Similarity,0.7288,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0026,ADV0005
SIM00000079,Advisor,ADV0027,Advisor,ADV0138,Advisor Peer Similarity,0.6566,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0027,ADV0138
SIM00000080,Advisor,ADV0027,Advisor,ADV0124,Advisor Peer Similarity,0.8483,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0027,ADV0124
SIM00000081,Advisor,ADV0027,Advisor,ADV0155,Advisor Peer Similarity,0.9279,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0027,ADV0155
SIM00000082,Advisor,ADV0028,Advisor,ADV0083,Advisor Peer Similarity,0.9344,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0028,ADV0083
SIM00000083,Advisor,ADV0028,Advisor,ADV0058,Advisor Peer Similarity,0.7417,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0028,ADV0058
SIM00000084,Advisor,ADV0028,Advisor,ADV0015,Advisor Peer Similarity,0.7858,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0028,ADV0015
SIM00000085,Advisor,ADV0029,Advisor,ADV0058,Advisor Peer Similarity,0.9018,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0029,ADV0058
SIM00000086,Advisor,ADV0029,Advisor,ADV0022,Advisor Peer Similarity,0.7374,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0029,ADV0022
SIM00000087,Advisor,ADV0029,Advisor,ADV0145,Advisor Peer Similarity,0.8299,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0029,ADV0145
SIM00000088,Advisor,ADV0030,Advisor,ADV0021,Advisor Peer Similarity,0.8526,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0030,ADV0021
SIM00000089,Advisor,ADV0030,Advisor,ADV0083,Advisor Peer Similarity,0.7574,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0030,ADV0083
SIM00000090,Advisor,ADV0030,Advisor,ADV0074,Advisor Peer Similarity,0.6759,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0030,ADV0074
SIM00000091,Advisor,ADV0031,Advisor,ADV0024,Advisor Peer Similarity,0.6648,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0031,ADV0024
SIM00000092,Advisor,ADV0031,Advisor,ADV0039,Advisor Peer Similarity,0.772,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0031,ADV0039
SIM00000093,Advisor,ADV0031,Advisor,ADV0166,Advisor Peer Similarity,0.7149,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0031,ADV0166
SIM00000094,Advisor,ADV0032,Advisor,ADV0106,Advisor Peer Similarity,0.681,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0032,ADV0106
SIM00000095,Advisor,ADV0032,Advisor,ADV0005,Advisor Peer Similarity,0.8427,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0032,ADV0005
SIM00000096,Advisor,ADV0032,Advisor,ADV0150,Advisor Peer Similarity,0.8173,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0032,ADV0150
SIM00000097,Advisor,ADV0033,Advisor,ADV0010,Advisor Peer Similarity,0.7317,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0033,ADV0010
SIM00000098,Advisor,ADV0033,Advisor,ADV0160,Advisor Peer Similarity,0.9319,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0033,ADV0160
SIM00000099,Advisor,ADV0033,Advisor,ADV0039,Advisor Peer Similarity,0.9344,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0033,ADV0039
SIM00000100,Advisor,ADV0034,Advisor,ADV0007,Advisor Peer Similarity,0.7285,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0034,ADV0007
SIM00000101,Advisor,ADV0034,Advisor,ADV0071,Advisor Peer Similarity,0.7903,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0034,ADV0071
SIM00000102,Advisor,ADV0034,Advisor,ADV0112,Advisor Peer Similarity,0.6981,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0034,ADV0112
SIM00000103,Advisor,ADV0035,Advisor,ADV0043,Advisor Peer Similarity,0.9318,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0035,ADV0043
SIM00000104,Advisor,ADV0035,Advisor,ADV0133,Advisor Peer Similarity,0.8805,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0035,ADV0133
SIM00000105,Advisor,ADV0035,Advisor,ADV0079,Advisor Peer Similarity,0.7701,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0035,ADV0079
SIM00000106,Advisor,ADV0036,Advisor,ADV0035,Advisor Peer Similarity,0.7072,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0036,ADV0035
SIM00000107,Advisor,ADV0036,Advisor,ADV0085,Advisor Peer Similarity,0.9054,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0036,ADV0085
SIM00000108,Advisor,ADV0036,Advisor,ADV0141,Advisor Peer Similarity,0.8276,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0036,ADV0141
SIM00000109,Advisor,ADV0037,Advisor,ADV0022,Advisor Peer Similarity,0.7651,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0037,ADV0022
SIM00000110,Advisor,ADV0037,Advisor,ADV0131,Advisor Peer Similarity,0.6869,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0037,ADV0131
SIM00000111,Advisor,ADV0037,Advisor,ADV0025,Advisor Peer Similarity,0.8575,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0037,ADV0025
SIM00000112,Advisor,ADV0038,Advisor,ADV0041,Advisor Peer Similarity,0.8765,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0038,ADV0041
SIM00000113,Advisor,ADV0038,Advisor,ADV0145,Advisor Peer Similarity,0.7912,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0038,ADV0145
SIM00000114,Advisor,ADV0038,Advisor,ADV0134,Advisor Peer Similarity,0.8955,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0038,ADV0134
SIM00000115,Advisor,ADV0039,Advisor,ADV0093,Advisor Peer Similarity,0.8499,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0039,ADV0093
SIM00000116,Advisor,ADV0039,Advisor,ADV0054,Advisor Peer Similarity,0.7699,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0039,ADV0054
SIM00000117,Advisor,ADV0039,Advisor,ADV0004,Advisor Peer Similarity,0.6504,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0039,ADV0004
SIM00000118,Advisor,ADV0040,Advisor,ADV0023,Advisor Peer Similarity,0.923,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0040,ADV0023
SIM00000119,Advisor,ADV0040,Advisor,ADV0122,Advisor Peer Similarity,0.954,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0040,ADV0122
SIM00000120,Advisor,ADV0040,Advisor,ADV0089,Advisor Peer Similarity,0.9185,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0040,ADV0089
SIM00000121,Advisor,ADV0041,Advisor,ADV0155,Advisor Peer Similarity,0.9556,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0041,ADV0155
SIM00000122,Advisor,ADV0041,Advisor,ADV0071,Advisor Peer Similarity,0.9302,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0041,ADV0071
SIM00000123,Advisor,ADV0041,Advisor,ADV0077,Advisor Peer Similarity,0.9341,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0041,ADV0077
SIM00000124,Advisor,ADV0042,Advisor,ADV0060,Advisor Peer Similarity,0.9508,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0042,ADV0060
SIM00000125,Advisor,ADV0042,Advisor,ADV0145,Advisor Peer Similarity,0.8841,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0042,ADV0145
SIM00000126,Advisor,ADV0042,Advisor,ADV0165,Advisor Peer Similarity,0.9116,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0042,ADV0165
SIM00000127,Advisor,ADV0043,Advisor,ADV0037,Advisor Peer Similarity,0.908,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0043,ADV0037
SIM00000128,Advisor,ADV0043,Advisor,ADV0040,Advisor Peer Similarity,0.9304,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0043,ADV0040
SIM00000129,Advisor,ADV0043,Advisor,ADV0075,Advisor Peer Similarity,0.8382,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0043,ADV0075
SIM00000130,Advisor,ADV0044,Advisor,ADV0121,Advisor Peer Similarity,0.754,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0044,ADV0121
SIM00000131,Advisor,ADV0044,Advisor,ADV0156,Advisor Peer Similarity,0.7418,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0044,ADV0156
SIM00000132,Advisor,ADV0044,Advisor,ADV0118,Advisor Peer Similarity,0.849,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0044,ADV0118
SIM00000133,Advisor,ADV0045,Advisor,ADV0022,Advisor Peer Similarity,0.8691,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0045,ADV0022
SIM00000134,Advisor,ADV0045,Advisor,ADV0101,Advisor Peer Similarity,0.9211,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0045,ADV0101
SIM00000135,Advisor,ADV0045,Advisor,ADV0107,Advisor Peer Similarity,0.6684,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0045,ADV0107
SIM00000136,Advisor,ADV0046,Advisor,ADV0111,Advisor Peer Similarity,0.8161,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0046,ADV0111
SIM00000137,Advisor,ADV0046,Advisor,ADV0088,Advisor Peer Similarity,0.6987,"Similar revenue, AUM, product mix, CRM cadence and AGP profile.",2025-12-31 00:00:00,ADV0046,ADV0088
