kpi_id,kpi_name,kpi_type,target_value,current_value,expected_value,attainment_pct,on_track_flag,status,advisor_id,goal_id
KPI000019,NNM Growth KPI,NNM Growth,4622155.25,4885995.93,3466616.44,105.71,true,On Track,ADV0007,GOAL000019
KPI000020,New Households KPI,New Households,20,10.27,15.0,51.35,false,Off Track,ADV0007,GOAL000020
KPI000021,Managed Revenue KPI,Managed Revenue,441837.81,282720.12,331378.36,63.99,false,Off Track,ADV0007,GOAL000021
KPI000022,NNM Growth KPI,NNM Growth,1730874.5,825087.25,1298155.87,47.67,false,Off Track,ADV0008,GOAL000022
KPI000023,New Households KPI,New Households,14,12.62,10.5,90.12,true,On Track,ADV0008,GOAL000023
KPI000024,Managed Revenue KPI,Managed Revenue,765093.55,726043.94,573820.17,94.9,true,On Track,ADV0008,GOAL000024
KPI000025,NNM Growth KPI,NNM Growth,2360588.16,1212540.99,1770441.12,51.37,false,Off Track,ADV0009,GOAL000025
KPI000026,New Households KPI,New Households,18,14.25,13.5,79.16,true,On Track,ADV0009,GOAL000026
KPI000027,Managed Revenue KPI,Managed Revenue,548871.89,577598.51,411653.91,105.23,true,On Track,ADV0009,GOAL000027
KPI000028,NNM Growth KPI,NNM Growth,1931460.25,980450.53,1448595.19,50.76,false,Off Track,ADV0010,GOAL000028
KPI000029,New Households KPI,New Households,29,18.22,21.75,62.84,false,Off Track,ADV0010,GOAL000029
KPI000030,Managed Revenue KPI,Managed Revenue,757870.16,719125.04,568402.62,94.89,true,On Track,ADV0010,GOAL000030
KPI000031,NNM Growth KPI,NNM Growth,4441317.92,2386838.18,3330988.44,53.74,false,Off Track,ADV0011,GOAL000031
KPI000032,New Households KPI,New Households,13,6.77,9.75,52.05,false,Off Track,ADV0011,GOAL000032
KPI000033,Managed Revenue KPI,Managed Revenue,792613.88,401503.89,594460.41,50.66,false,Off Track,ADV0011,GOAL000033
KPI000034,NNM Growth KPI,NNM Growth,4967807.77,3310179.42,3725855.83,66.63,false,Off Track,ADV0012,GOAL000034
KPI000035,New Households KPI,New Households,20,12.72,15.0,63.59,false,Off Track,ADV0012,GOAL000035
KPI000036,Managed Revenue KPI,Managed Revenue,441320.8,295457.59,330990.6,66.95,false,Off Track,ADV0012,GOAL000036
KPI000037,NNM Growth KPI,NNM Growth,1051352.14,857982.6,788514.1,81.61,true,On Track,ADV0013,GOAL000037
KPI000038,New Households KPI,New Households,16,18.06,12.0,112.9,true,On Track,ADV0013,GOAL000038
KPI000039,Managed Revenue KPI,Managed Revenue,393271.09,354777.52,294953.32,90.21,true,On Track,ADV0013,GOAL000039
KPI000040,NNM Growth KPI,NNM Growth,1109206.24,1299480.68,831904.68,117.15,true,On Track,ADV0014,GOAL000040
KPI000041,New Households KPI,New Households,19,15.31,14.25,80.57,true,On Track,ADV0014,GOAL000041
KPI000042,Managed Revenue KPI,Managed Revenue,651562.5,351010.72,488671.87,53.87,false,Off Track,ADV0014,GOAL000042
KPI000043,NNM Growth KPI,NNM Growth,4196112.05,5089992.63,3147084.04,121.3,true,On Track,ADV0015,GOAL000043
KPI000044,New Households KPI,New Households,29,30.24,21.75,104.29,true,On Track,ADV0015,GOAL000044
KPI000045,Managed Revenue KPI,Managed Revenue,486626.7,468945.19,364970.02,96.37,true,On Track,ADV0015,GOAL000045
KPI000046,NNM Growth KPI,NNM Growth,3981403.12,3633660.87,2986052.34,91.27,true,On Track,ADV0016,GOAL000046
KPI000047,New Households KPI,New Households,18,9.25,13.5,51.38,false,Off Track,ADV0016,GOAL000047
KPI000048,Managed Revenue KPI,Managed Revenue,231039.08,212592.46,173279.31,92.02,true,On Track,ADV0016,GOAL000048
KPI000049,NNM Growth KPI,NNM Growth,2537816.33,2346311.47,1903362.25,92.45,true,On Track,ADV0017,GOAL000049
KPI000050,New Households KPI,New Households,12,10.58,9.0,88.2,true,On Track,ADV0017,GOAL000050
KPI000051,Managed Revenue KPI,Managed Revenue,488759.17,337906.09,366569.38,69.14,false,Off Track,ADV0017,GOAL000051
KPI000052,NNM Growth KPI,NNM Growth,1062626.15,1116369.79,796969.61,105.06,true,On Track,ADV0018,GOAL000052
KPI000053,New Households KPI,New Households,20,22.41,15.0,112.07,true,On Track,ADV0018,GOAL000053
KPI000054,Managed Revenue KPI,Managed Revenue,721850.94,697366.1,541388.2,96.61,true,On Track,ADV0018,GOAL000054
KPI000055,NNM Growth KPI,NNM Growth,2452387.7,2433784.43,1839290.77,99.24,true,On Track,ADV0019,GOAL000055
KPI000056,New Households KPI,New Households,15,12.06,11.25,80.41,true,On Track,ADV0019,GOAL000056
KPI000057,Managed Revenue KPI,Managed Revenue,353526.56,201156.55,265144.92,56.9,false,Off Track,ADV0019,GOAL000057
KPI000058,NNM Growth KPI,NNM Growth,1708291.26,1134151.71,1281218.45,66.39,false,Off Track,ADV0020,GOAL000058
KPI000059,New Households KPI,New Households,24,25.73,18.0,107.22,true,On Track,ADV0020,GOAL000059
KPI000060,Managed Revenue KPI,Managed Revenue,762988.17,554628.19,572241.13,72.69,false,Off Track,ADV0020,GOAL000060
KPI000061,NNM Growth KPI,NNM Growth,2471140.38,2593880.54,1853355.29,104.97,true,On Track,ADV0021,GOAL000061
KPI000062,New Households KPI,New Households,22,26.92,16.5,122.36,true,On Track,ADV0021,GOAL000062
KPI000063,Managed Revenue KPI,Managed Revenue,759040.48,452701.08,569280.36,59.64,false,Off Track,ADV0021,GOAL000063
KPI000064,NNM Growth KPI,NNM Growth,3888932.31,2210610.95,2916699.23,56.84,false,Off Track,ADV0022,GOAL000064
KPI000065,New Households KPI,New Households,30,25.81,22.5,86.03,true,On Track,ADV0022,GOAL000065
KPI000066,Managed Revenue KPI,Managed Revenue,575195.42,334968.46,431396.57,58.24,false,Off Track,ADV0022,GOAL000066
KPI000067,NNM Growth KPI,NNM Growth,2572290.81,2437971.17,1929218.1,94.78,true,On Track,ADV0023,GOAL000067
KPI000068,New Households KPI,New Households,24,20.46,18.0,85.25,true,On Track,ADV0023,GOAL000068
KPI000069,Managed Revenue KPI,Managed Revenue,399475.68,209114.61,299606.76,52.35,false,Off Track,ADV0023,GOAL000069
KPI000070,NNM Growth KPI,NNM Growth,2869015.09,3395712.87,2151761.32,118.36,true,On Track,ADV0024,GOAL000070
KPI000071,New Households KPI,New Households,28,29.19,21.0,104.26,true,On Track,ADV0024,GOAL000071
KPI000072,Managed Revenue KPI,Managed Revenue,611409.74,728928.18,458557.31,119.22,true,On Track,ADV0024,GOAL000072
KPI000073,NNM Growth KPI,NNM Growth,4599945.9,5091769.5,3449959.42,110.69,true,On Track,ADV0025,GOAL000073
KPI000074,New Households KPI,New Households,26,15.84,19.5,60.93,false,Off Track,ADV0025,GOAL000074
KPI000075,Managed Revenue KPI,Managed Revenue,844646.74,487205.27,633485.05,57.68,false,Off Track,ADV0025,GOAL000075
KPI000076,NNM Growth KPI,NNM Growth,3293965.57,2717792.44,2470474.18,82.51,true,On Track,ADV0026,GOAL000076
KPI000077,New Households KPI,New Households,25,11.87,18.75,47.5,false,Off Track,ADV0026,GOAL000077
KPI000078,Managed Revenue KPI,Managed Revenue,808380.17,571619.01,606285.12,70.71,false,Off Track,ADV0026,GOAL000078
KPI000079,NNM Growth KPI,NNM Growth,1640693.7,910587.15,1230520.27,55.5,false,Off Track,ADV0027,GOAL000079
KPI000080,New Households KPI,New Households,13,7.27,9.75,55.9,false,Off Track,ADV0027,GOAL000080
KPI000081,Managed Revenue KPI,Managed Revenue,843071.89,830661.08,632303.92,98.53,true,On Track,ADV0027,GOAL000081
KPI000082,NNM Growth KPI,NNM Growth,2013238.51,2131625.93,1509928.88,105.88,true,On Track,ADV0028,GOAL000082
KPI000083,New Households KPI,New Households,21,15.09,15.75,71.86,false,Off Track,ADV0028,GOAL000083
KPI000084,Managed Revenue KPI,Managed Revenue,361071.77,380933.06,270803.83,105.5,true,On Track,ADV0028,GOAL000084
KPI000085,NNM Growth KPI,NNM Growth,1949432.86,1632085.29,1462074.64,83.72,true,On Track,ADV0029,GOAL000085
KPI000086,New Households KPI,New Households,15,15.86,11.25,105.71,true,On Track,ADV0029,GOAL000086
KPI000087,Managed Revenue KPI,Managed Revenue,245146.58,162754.77,183859.93,66.39,false,Off Track,ADV0029,GOAL000087
KPI000088,NNM Growth KPI,NNM Growth,1118581.9,521470.39,838936.42,46.62,false,Off Track,ADV0030,GOAL000088
KPI000089,New Households KPI,New Households,23,19.63,17.25,85.35,true,On Track,ADV0030,GOAL000089
KPI000090,Managed Revenue KPI,Managed Revenue,504536.14,540757.94,378402.11,107.18,true,On Track,ADV0030,GOAL000090
KPI000091,NNM Growth KPI,NNM Growth,3832609.24,4734778.91,2874456.93,123.54,true,On Track,ADV0031,GOAL000091
KPI000092,New Households KPI,New Households,25,28.57,18.75,114.29,true,On Track,ADV0031,GOAL000092
KPI000093,Managed Revenue KPI,Managed Revenue,227547.66,131371.31,170660.75,57.73,false,Off Track,ADV0031,GOAL000093
KPI000094,NNM Growth KPI,NNM Growth,4609372.79,4399359.73,3457029.59,95.44,true,On Track,ADV0032,GOAL000094
KPI000095,New Households KPI,New Households,17,14.39,12.75,84.64,true,On Track,ADV0032,GOAL000095
KPI000096,Managed Revenue KPI,Managed Revenue,241715.98,247060.26,181286.98,102.21,true,On Track,ADV0032,GOAL000096
KPI000097,NNM Growth KPI,NNM Growth,2880878.3,3390672.54,2160658.73,117.7,true,On Track,ADV0033,GOAL000097
KPI000098,New Households KPI,New Households,28,34.9,21.0,124.65,true,On Track,ADV0033,GOAL000098
KPI000099,Managed Revenue KPI,Managed Revenue,599019.82,521883.03,449264.87,87.12,true,On Track,ADV0033,GOAL000099
KPI000100,NNM Growth KPI,NNM Growth,1234992.52,594499.21,926244.39,48.14,false,Off Track,ADV0034,GOAL000100
KPI000101,New Households KPI,New Households,24,25.76,18.0,107.35,true,On Track,ADV0034,GOAL000101
KPI000102,Managed Revenue KPI,Managed Revenue,756105.74,546925.09,567079.3,72.33,false,Off Track,ADV0034,GOAL000102
KPI000103,NNM Growth KPI,NNM Growth,1447704.34,1373601.68,1085778.25,94.88,true,On Track,ADV0035,GOAL000103
KPI000104,New Households KPI,New Households,12,13.19,9.0,109.93,true,On Track,ADV0035,GOAL000104
KPI000105,Managed Revenue KPI,Managed Revenue,743071.54,878530.58,557303.66,118.23,true,On Track,ADV0035,GOAL000105
KPI000106,NNM Growth KPI,NNM Growth,4896434.27,5633249.73,3672325.7,115.05,true,On Track,ADV0036,GOAL000106
KPI000107,New Households KPI,New Households,19,17.25,14.25,90.77,true,On Track,ADV0036,GOAL000107
KPI000108,Managed Revenue KPI,Managed Revenue,722758.52,903340.44,542068.89,124.99,true,On Track,ADV0036,GOAL000108
KPI000109,NNM Growth KPI,NNM Growth,3532098.31,2469541.26,2649073.73,69.92,false,Off Track,ADV0037,GOAL000109
KPI000110,New Households KPI,New Households,22,10.42,16.5,47.38,false,Off Track,ADV0037,GOAL000110
KPI000111,Managed Revenue KPI,Managed Revenue,706540.74,751884.88,529905.55,106.42,true,On Track,ADV0037,GOAL000111
KPI000112,NNM Growth KPI,NNM Growth,1465236.97,1582255.94,1098927.72,107.99,true,On Track,ADV0038,GOAL000112
KPI000113,New Households KPI,New Households,14,13.93,10.5,99.46,true,On Track,ADV0038,GOAL000113
KPI000114,Managed Revenue KPI,Managed Revenue,887551.3,578177.64,665663.48,65.14,false,Off Track,ADV0038,GOAL000114
KPI000115,NNM Growth KPI,NNM Growth,2448252.88,1776094.1,1836189.66,72.55,false,Off Track,ADV0039,GOAL000115
KPI000116,New Households KPI,New Households,24,12.57,18.0,52.39,false,Off Track,ADV0039,GOAL000116
KPI000117,Managed Revenue KPI,Managed Revenue,735601.78,748238.48,551701.34,101.72,true,On Track,ADV0039,GOAL000117
KPI000118,NNM Growth KPI,NNM Growth,2250257.68,1526151.71,1687693.26,67.82,false,Off Track,ADV0040,GOAL000118
KPI000119,New Households KPI,New Households,22,19.75,16.5,89.79,true,On Track,ADV0040,GOAL000119
KPI000120,Managed Revenue KPI,Managed Revenue,506526.26,310266.15,379894.69,61.25,false,Off Track,ADV0040,GOAL000120
KPI000121,NNM Growth KPI,NNM Growth,1599916.64,1920584.34,1199937.48,120.04,true,On Track,ADV0041,GOAL000121
KPI000122,New Households KPI,New Households,18,16.33,13.5,90.7,true,On Track,ADV0041,GOAL000122
KPI000123,Managed Revenue KPI,Managed Revenue,349293.93,404549.58,261970.45,115.82,true,On Track,ADV0041,GOAL000123
KPI000124,NNM Growth KPI,NNM Growth,1527783.41,1018161.95,1145837.56,66.64,false,Off Track,ADV0042,GOAL000124
KPI000125,New Households KPI,New Households,13,15.53,9.75,119.49,true,On Track,ADV0042,GOAL000125
KPI000126,Managed Revenue KPI,Managed Revenue,862496.21,659748.88,646872.16,76.49,true,On Track,ADV0042,GOAL000126
KPI000127,NNM Growth KPI,NNM Growth,3551862.91,3016959.59,2663897.18,84.94,true,On Track,ADV0043,GOAL000127
KPI000128,New Households KPI,New Households,25,13.7,18.75,54.78,false,Off Track,ADV0043,GOAL000128
KPI000129,Managed Revenue KPI,Managed Revenue,298921.44,294354.41,224191.08,98.47,true,On Track,ADV0043,GOAL000129
KPI000130,NNM Growth KPI,NNM Growth,3874001.82,3505581.06,2905501.36,90.49,true,On Track,ADV0044,GOAL000130
KPI000131,New Households KPI,New Households,28,18.33,21.0,65.45,false,Off Track,ADV0044,GOAL000131
KPI000132,Managed Revenue KPI,Managed Revenue,302231.19,329875.98,226673.39,109.15,true,On Track,ADV0044,GOAL000132
KPI000133,NNM Growth KPI,NNM Growth,1702748.98,1817585.51,1277061.73,106.74,true,On Track,ADV0045,GOAL000133
KPI000134,New Households KPI,New Households,16,9.27,12.0,57.95,false,Off Track,ADV0045,GOAL000134
KPI000135,Managed Revenue KPI,Managed Revenue,711753.7,803230.36,533815.27,112.85,true,On Track,ADV0045,GOAL000135
KPI000136,NNM Growth KPI,NNM Growth,4335940.65,5199219.5,3251955.48,119.91,true,On Track,ADV0046,GOAL000136
KPI000137,New Households KPI,New Households,25,22.99,18.75,91.98,true,On Track,ADV0046,GOAL000137
KPI000138,Managed Revenue KPI,Managed Revenue,459076.21,457729.56,344307.16,99.71,true,On Track,ADV0046,GOAL000138
KPI000139,NNM Growth KPI,NNM Growth,2739823.91,1399948.98,2054867.93,51.1,false,Off Track,ADV0047,GOAL000139
KPI000140,New Households KPI,New Households,26,11.87,19.5,45.65,false,Off Track,ADV0047,GOAL000140
KPI000141,Managed Revenue KPI,Managed Revenue,773976.22,797919.12,580482.17,103.09,true,On Track,ADV0047,GOAL000141
KPI000142,NNM Growth KPI,NNM Growth,2081088.85,2309546.9,1560816.64,110.98,true,On Track,ADV0048,GOAL000142
KPI000143,New Households KPI,New Households,12,10.84,9.0,90.37,true,On Track,ADV0048,GOAL000143
KPI000144,Managed Revenue KPI,Managed Revenue,893593.98,781323.07,670195.49,87.44,true,On Track,ADV0048,GOAL000144
KPI000145,NNM Growth KPI,NNM Growth,1329922.5,888124.84,997441.87,66.78,false,Off Track,ADV0049,GOAL000145
KPI000146,New Households KPI,New Households,29,27.58,21.75,95.1,true,On Track,ADV0049,GOAL000146
KPI000147,Managed Revenue KPI,Managed Revenue,586075.79,631700.22,439556.84,107.78,true,On Track,ADV0049,GOAL000147
KPI000148,NNM Growth KPI,NNM Growth,2457186.24,1695110.98,1842889.68,68.99,false,Off Track,ADV0050,GOAL000148
KPI000149,New Households KPI,New Households,21,20.43,15.75,97.27,true,On Track,ADV0050,GOAL000149
KPI000150,Managed Revenue KPI,Managed Revenue,814020.34,667921.33,610515.26,82.05,true,On Track,ADV0050,GOAL000150
KPI000151,NNM Growth KPI,NNM Growth,2194480.35,2366423.91,1645860.26,107.84,true,On Track,ADV0051,GOAL000151
KPI000152,New Households KPI,New Households,27,12.99,20.25,48.1,false,Off Track,ADV0051,GOAL000152
KPI000153,Managed Revenue KPI,Managed Revenue,495494.95,507900.23,371621.21,102.5,true,On Track,ADV0051,GOAL000153
KPI000154,NNM Growth KPI,NNM Growth,1241496.33,1487458.25,931122.25,119.81,true,On Track,ADV0052,GOAL000154
KPI000155,New Households KPI,New Households,15,11.04,11.25,73.62,false,Off Track,ADV0052,GOAL000155
KPI000156,Managed Revenue KPI,Managed Revenue,852174.77,478047.26,639131.08,56.1,false,Off Track,ADV0052,GOAL000156
KPI000157,NNM Growth KPI,NNM Growth,2827671.58,1843493.33,2120753.68,65.19,false,Off Track,ADV0053,GOAL000157
KPI000158,New Households KPI,New Households,13,14.9,9.75,114.64,true,On Track,ADV0053,GOAL000158
KPI000159,Managed Revenue KPI,Managed Revenue,253980.36,295672.16,190485.27,116.42,true,On Track,ADV0053,GOAL000159
KPI000160,NNM Growth KPI,NNM Growth,1147625.23,1406836.32,860718.92,122.59,true,On Track,ADV0054,GOAL000160
KPI000161,New Households KPI,New Households,18,9.48,13.5,52.65,false,Off Track,ADV0054,GOAL000161
KPI000162,Managed Revenue KPI,Managed Revenue,206232.3,159014.94,154674.23,77.1,true,On Track,ADV0054,GOAL000162
KPI000163,NNM Growth KPI,NNM Growth,4838767.31,4420274.92,3629075.48,91.35,true,On Track,ADV0055,GOAL000163
KPI000164,New Households KPI,New Households,23,13.04,17.25,56.69,false,Off Track,ADV0055,GOAL000164
KPI000165,Managed Revenue KPI,Managed Revenue,694197.57,485098.81,520648.18,69.88,false,Off Track,ADV0055,GOAL000165
KPI000166,NNM Growth KPI,NNM Growth,4048179.56,2664973.9,3036134.67,65.83,false,Off Track,ADV0056,GOAL000166
KPI000167,New Households KPI,New Households,12,14.73,9.0,122.73,true,On Track,ADV0056,GOAL000167
KPI000168,Managed Revenue KPI,Managed Revenue,546315.52,428921.71,409736.64,78.51,true,On Track,ADV0056,GOAL000168
KPI000169,NNM Growth KPI,NNM Growth,4558360.11,3320173.64,3418770.09,72.84,false,Off Track,ADV0057,GOAL000169
KPI000170,New Households KPI,New Households,22,22.18,16.5,100.83,true,On Track,ADV0057,GOAL000170
KPI000171,Managed Revenue KPI,Managed Revenue,549732.36,582558.86,412299.27,105.97,true,On Track,ADV0057,GOAL000171
KPI000172,NNM Growth KPI,NNM Growth,1033876.63,773222.75,775407.47,74.79,false,Off Track,ADV0058,GOAL000172
KPI000173,New Households KPI,New Households,24,12.61,18.0,52.55,false,Off Track,ADV0058,GOAL000173
KPI000174,Managed Revenue KPI,Managed Revenue,735394.7,559577.08,551546.02,76.09,true,On Track,ADV0058,GOAL000174
KPI000175,NNM Growth KPI,NNM Growth,2057905.69,2018393.77,1543429.27,98.08,true,On Track,ADV0059,GOAL000175
KPI000176,New Households KPI,New Households,15,18.38,11.25,122.55,true,On Track,ADV0059,GOAL000176
KPI000177,Managed Revenue KPI,Managed Revenue,539376.34,632855.6,404532.25,117.33,true,On Track,ADV0059,GOAL000177
KPI000178,NNM Growth KPI,NNM Growth,2631146.93,2601392.25,1973360.2,98.87,true,On Track,ADV0060,GOAL000178
KPI000179,New Households KPI,New Households,20,22.47,15.0,112.33,true,On Track,ADV0060,GOAL000179
KPI000180,Managed Revenue KPI,Managed Revenue,484140.53,462250.35,363105.39,95.48,true,On Track,ADV0060,GOAL000180
KPI000181,NNM Growth KPI,NNM Growth,2640159.75,2167400.82,1980119.82,82.09,true,On Track,ADV0061,GOAL000181
KPI000182,New Households KPI,New Households,27,29.55,20.25,109.43,true,On Track,ADV0061,GOAL000182
KPI000183,Managed Revenue KPI,Managed Revenue,705620.04,393667.32,529215.03,55.79,false,Off Track,ADV0061,GOAL000183
KPI000184,NNM Growth KPI,NNM Growth,4852132.09,2403748.67,3639099.07,49.54,false,Off Track,ADV0062,GOAL000184
KPI000185,New Households KPI,New Households,15,7.23,11.25,48.2,false,Off Track,ADV0062,GOAL000185
KPI000186,Managed Revenue KPI,Managed Revenue,708405.65,854778.45,531304.24,120.66,true,On Track,ADV0062,GOAL000186
KPI000187,NNM Growth KPI,NNM Growth,2534354.04,3166675.97,1900765.53,124.95,true,On Track,ADV0063,GOAL000187
KPI000188,New Households KPI,New Households,13,12.63,9.75,97.14,true,On Track,ADV0063,GOAL000188
KPI000189,Managed Revenue KPI,Managed Revenue,739449.25,403566.09,554586.94,54.58,false,Off Track,ADV0063,GOAL000189
KPI000190,NNM Growth KPI,NNM Growth,4402646.0,3654752.61,3301984.5,83.01,true,On Track,ADV0064,GOAL000190
KPI000191,New Households KPI,New Households,16,15.33,12.0,95.83,true,On Track,ADV0064,GOAL000191
KPI000192,Managed Revenue KPI,Managed Revenue,469054.74,376406.2,351791.05,80.25,true,On Track,ADV0064,GOAL000192
KPI000193,NNM Growth KPI,NNM Growth,2779376.76,3022062.74,2084532.57,108.73,true,On Track,ADV0065,GOAL000193
KPI000194,New Households KPI,New Households,29,14.92,21.75,51.44,false,Off Track,ADV0065,GOAL000194
KPI000195,Managed Revenue KPI,Managed Revenue,379661.6,271059.29,284746.2,71.39,false,Off Track,ADV0065,GOAL000195
